,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Oklahoma,40430,37443.0,,42586.0,78252.6,16562.6,26963.9,15756.9,18575.0,-2987.0,,2156.0,37822.6,-23867.4,-13466.1,-24673.1,-21855.0,,True,False,False,False,False,False
Oregon,11571,15351.0,,18081.0,69633.3,9196.4,12212.8,12165.0,11575.0,3780.0,,6510.0,58062.3,-2374.6,641.8,594.0,4.0,,False,False,True,True,True,True
Pennsylvania,37268,36379.0,,752.0,51867.6,17873.6,27352.7,23453.4,17478.0,-889.0,,-36516.0,14599.6,-19394.4,-9915.3,-13814.6,-19790.0,,False,False,False,False,False,False
Rhode Island,4573,5012.0,,21.0,3143.0,1647.2,5159.1,4025.2,2638.0,439.0,,-4552.0,-1430.0,-2925.8,586.1,-547.8,-1935.0,,False,False,False,False,False,False
South Carolina,45813,62027.0,,50915.0,71759.3,28076.5,40672.4,27141.8,29089.0,16214.0,,5102.0,25946.3,-17736.5,-5140.6,-18671.2,-16724.0,,True,False,False,True,False,False
South Dakota,11656,4270.0,,719.0,4210.4,3042.9,9094.3,9109.5,5086.0,-7386.0,,-10937.0,-7445.6,-8613.1,-2561.7,-2546.5,-6570.0,,False,False,False,True,True,True
Tennessee,70306,86807.0,,80841.0,64682.8,63068.3,88983.3,51946.6,31128.0,16501.0,,10535.0,-5623.2,-7237.7,18677.3,-18359.4,-39178.0,,True,True,True,False,False,False
Texas,257718,370258.0,,308820.0,1511871.6,164191.9,282373.5,192716.0,199011.0,112540.0,,51102.0,1254153.6,-93526.1,24655.5,-65002.0,-58707.0,,True,False,True,True,True,True
Utah,25796,21343.0,,17707.0,35960.8,11564.1,20889.7,12088.1,11566.0,-4453.0,,-8089.0,10164.8,-14231.9,-4906.3,-13707.9,-14230.0,,False,False,False,False,False,False
Vermont,285,231.0,,26.0,146.2,126.7,397.1,211.1,153.0,-54.0,,-259.0,-138.8,-158.3,112.1,-73.9,-132.0,,False,False,False,False,False,False
Virginia,46219,58716.0,,11962.0,172506.7,30105.5,81574.7,68994.9,0.0,12497.0,,-34257.0,126287.7,-16113.5,35355.7,22775.9,-46219.0,,False,False,False,False,False,False
Washington,24330,34874.0,,36300.0,100769.0,19540.9,35216.6,25527.1,24258.0,10544.0,,11970.0,76439.0,-4789.1,10886.6,1197.1,-72.0,,False,False,True,False,True,True
West Virginia,7604,5775.0,,5339.0,4104.6,3927.0,3940.8,4830.2,5915.0,-1829.0,,-2265.0,-3499.4,-3677.0,-3663.2,-2773.8,-1689.0,,False,False,False,False,False,True
Wisconsin,53712,41517.0,,13861.0,69714.4,24159.8,35333.8,35436.5,32229.0,-12195.0,,-39851.0,16002.4,-29552.2,-18378.2,-18275.5,-21483.0,,False,False,False,False,False,False
Wyoming,2466,1722.0,,1389.0,26.8,877.5,1845.2,698.3,1450.0,-744.0,,-1077.0,-2439.2,-1588.5,-620.8,-1767.7,-1016.0,,False,False,False,True,False,False
US,2081012,2641359.0,1476982.0,2248129.0,6128575.7,1323147.5,1875261.1,1616521.9,1360151.0,560347.0,-604030.0,167117.0,4047563.7,-757864.5,-205750.9,-464490.1,-720861.0,False,True,False,False,True,True,False
