,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,308566.0,306160,2406.0,0.8%
QJHong-Encounter,295395.5,306160,-10764.5,-3.5%
DDS-NBDS,294791.2,306160,-11368.8,-3.7%
JHUAPL-Bucky,294310.8,306160,-11849.2,-3.9%
USC-SI_kJalpha,290784.0,306160,-15376.0,-5.0%
UMich-RidgeTfReg,287647.3,306160,-18512.7,-6.0%
LNQ-ens1,287365.7,306160,-18794.3,-6.1%
USACE-ERDC_SEIR,327320.3,306160,21160.3,6.9%
COVIDhub-baseline,279847.0,306160,-26313.0,-8.6%
CEID-Walk,278032.0,306160,-28128.0,-9.2%
IowaStateLW-STEM,277733.0,306160,-28427.0,-9.3%
IQVIA_ACOE-STAN,277536.0,306160,-28624.0,-9.3%
Geneva-DetGrowth,277030.0,306160,-29130.0,-9.5%
JCB-PRM,272347.8,306160,-33812.2,-11.0%
IBF-TimeSeries,271396.0,306160,-34764.0,-11.4%
UCLA-SuEIR,268948.1,306160,-37211.9,-12.2%
COVIDhub-ensemble,265469.0,306160,-40691.0,-13.3%
LANL-GrowthRate,259991.8,306160,-46168.2,-15.1%
CU-select,256109.0,306160,-50051.0,-16.3%
Columbia_UNC-SurvCon,245060.0,306160,-61100.0,-20.0%
Karlen-pypm,243590.4,306160,-62569.6,-20.4%
Covid19Sim-Simulator,230175.6,306160,-75984.4,-24.8%
JHU_IDD-CovidSP,202821.6,306160,-103338.4,-33.8%
RobertWalraven-ESG,188014.6,306160,-118145.4,-38.6%
CovidAnalytics-DELPHI,171553.0,306160,-134607.0,-44.0%
