,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,393,186.0,201.6,,188.0,252.0,,,,,,,,275.0,,248.6,93.6,,45.9,107.8,,154.0,61.0,,123.1,190.7,,,,,265.1,412.9,-207.0,-191.4,,-205.0,-141.0,,,,,,,,-118.0,,-144.4,-299.4,,-347.1,-285.2,,-239.0,-332.0,,-269.9,-202.3,,,,,-127.9,19.9,True,,True,True,,,,,,,,True,,True,False,,False,False,,False,False,,False,True,,,,,True,True
01003,935,705.0,706.1,,571.0,752.0,,,,,,,,558.0,,786.4,730.5,,378.2,514.7,,538.0,205.0,,331.1,817.0,485.0,,,,1067.7,2338.7,-230.0,-228.9,,-364.0,-183.0,,,,,,,,-377.0,,-148.6,-204.5,,-556.8,-420.3,,-397.0,-730.0,,-603.9,-118.0,-450.0,,,,132.7,1403.7,True,,False,True,,,,,,,,False,,True,True,,False,False,,False,False,,False,True,False,,,,True,False
01005,266,0.0,0.0,,19.0,21.0,,,,,,,,131.0,,97.6,50.2,,46.7,17.0,,,2.0,,6.1,7.2,,,,,16.9,173.4,-266.0,-266.0,,-247.0,-245.0,,,,,,,,-135.0,,-168.4,-215.8,,-219.3,-249.0,,,-264.0,,-259.9,-258.8,,,,,-249.1,-92.6,False,,True,True,,,,,,,,True,,True,True,,True,True,,,True,,True,True,,,,,True,True
01007,106,81.0,76.9,,70.0,42.0,,,,,,,,152.0,,172.3,75.9,,29.9,62.9,,,18.0,,26.6,89.1,,,,,114.3,574.9,-25.0,-29.1,,-36.0,-64.0,,,,,,,,46.0,,66.3,-30.1,,-76.1,-43.1,,,-88.0,,-79.4,-16.9,,,,,8.3,468.9,False,,False,False,,,,,,,,False,,False,False,,False,False,,,False,,False,True,,,,,True,False
01009,549,174.0,172.2,,169.0,254.0,,,,,,,,236.0,,344.5,242.7,,47.5,145.5,,132.0,63.0,,108.0,144.3,,,,,264.7,1727.3,-375.0,-376.8,,-380.0,-295.0,,,,,,,,-313.0,,-204.5,-306.3,,-501.5,-403.5,,-417.0,-486.0,,-441.0,-404.7,,,,,-284.3,1178.3,False,,False,True,,,,,,,,True,,True,True,,False,False,,False,False,,False,False,,,,,True,False
01011,60,27.0,21.8,,22.0,2.0,,,,,,,,108.0,,29.6,20.5,,3.3,22.3,,,43.0,,19.9,28.5,,,,,45.6,175.3,-33.0,-38.2,,-38.0,-58.0,,,,,,,,48.0,,-30.4,-39.5,,-56.7,-37.7,,,-17.0,,-40.1,-31.5,,,,,-14.4,115.3,False,,False,False,,,,,,,,False,,True,False,,False,False,,,True,,False,True,,,,,True,False
01013,63,78.0,82.4,,69.0,73.0,,,,,,,,95.0,,184.6,20.9,,21.9,63.0,,120.0,15.0,,44.3,67.6,,,,,86.1,73.3,15.0,19.4,,6.0,10.0,,,,,,,,32.0,,121.6,-42.1,,-41.1,-0.0,,57.0,-48.0,,-18.7,4.6,,,,,23.1,10.3,False,,True,True,,,,,,,,False,,False,False,,False,True,,False,False,,False,True,,,,,False,True
01015,968,693.0,623.9,,579.0,832.0,,,,,,,,466.0,,1143.9,662.9,,378.9,526.7,,805.0,323.0,,185.4,611.1,,,,,940.7,1386.6,-275.0,-344.1,,-389.0,-136.0,,,,,,,,-502.0,,175.9,-305.1,,-589.1,-441.3,,-163.0,-645.0,,-782.6,-356.9,,,,,-27.3,418.6,False,,False,True,,,,,,,,False,,True,False,,False,False,,True,False,,False,False,,,,,True,False
01017,312,0.0,0.0,,11.0,3.0,,,,,,,,115.0,,75.4,69.7,,2.5,29.1,,,5.0,,11.7,6.3,,,,,20.8,120.5,-312.0,-312.0,,-301.0,-309.0,,,,,,,,-197.0,,-236.6,-242.3,,-309.5,-282.9,,,-307.0,,-300.3,-305.7,,,,,-291.2,-191.5,False,,True,True,,,,,,,,True,,True,True,,True,True,,,True,,True,True,,,,,True,True
01019,244,69.0,62.9,,63.0,42.0,,,,,,,,73.0,,209.8,101.9,,13.1,49.4,,,15.0,,33.7,61.6,,,,,86.3,607.5,-175.0,-181.1,,-181.0,-202.0,,,,,,,,-171.0,,-34.2,-142.1,,-230.9,-194.6,,,-229.0,,-210.3,-182.4,,,,,-157.7,363.5,False,,False,False,,,,,,,,True,,True,True,,False,False,,,False,,False,False,,,,,True,False
