,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,694,704.0,2098.0,,,,1001.0,,604.2,,,10.0,1404.0,,,,307.0,,-89.8,,,False,,,,False,,False,,
01003,2271,3800.0,7274.6,,,,5122.0,,3889.6,,,1529.0,5003.6,,,,2851.0,,1618.6,,,False,,,,False,,False,,
01005,271,304.0,,,,,476.0,,374.6,,,33.0,,,,,205.0,,103.6,,,,,,,False,,False,,
01007,277,384.0,,,,,361.0,,251.5,,,107.0,,,,,84.0,,-25.5,,,,,,,True,,True,,
01009,803,1080.0,1037.8,,,,1000.0,,2076.4,,,277.0,234.8,,,,197.0,,1273.4,,,True,,,,True,,False,,
01011,164,224.0,,,,,242.0,,86.8,,,60.0,,,,,78.0,,-77.2,,,,,,,False,,False,,
01013,151,264.0,,,,,492.0,,115.2,,,113.0,,,,,341.0,,-35.8,,,,,,,False,,True,,
01015,1944,3272.0,3594.9,,,,2158.0,,2390.9,,,1328.0,1650.9,,,,214.0,,446.9,,,False,,,,True,,True,,
01017,288,320.0,,,,,528.0,,289.3,,,32.0,,,,,240.0,,1.3,,,,,,,False,,True,,
01019,342,240.0,,,,,350.0,,244.1,,,-102.0,,,,,8.0,,-97.9,,,,,,,True,,True,,
01021,848,824.0,,,,,979.0,,3680.7,,,-24.0,,,,,131.0,,2832.7,,,,,,,False,,False,,
01023,73,120.0,,,,,302.0,,83.0,,,47.0,,,,,229.0,,10.0,,,,,,,False,,True,,
01025,589,384.0,,,,,749.0,,470.6,,,-205.0,,,,,160.0,,-118.4,,,,,,,True,,True,,
01027,372,416.0,,,,,164.0,,248.8,,,44.0,,,,,-208.0,,-123.2,,,,,,,False,,False,,
01029,280,136.0,,,,,136.0,,278.3,,,-144.0,,,,,-144.0,,-1.7,,,,,,,False,,True,,
01031,633,616.0,601.7,,,,1164.0,,812.4,,,-17.0,-31.3,,,,531.0,,179.4,,,False,,,,False,,False,,
01033,570,1472.0,2446.7,,,,1175.0,,1902.1,,,902.0,1876.7,,,,605.0,,1332.1,,,False,,,,True,,False,,
01035,151,272.0,,,,,362.0,104.4,116.6,,,121.0,,,,,211.0,-46.6,-34.4,,,,,,,False,True,True,,
01037,81,64.0,,,,,83.0,,77.6,,,-17.0,,,,,2.0,,-3.4,,,,,,,True,,True,,
01039,596,472.0,,,,,1109.0,290.7,209.5,,,-124.0,,,,,513.0,-305.3,-386.5,,,,,,,False,False,False,,
01041,235,448.0,,,,,271.0,81.3,225.7,,,213.0,,,,,36.0,-153.7,-9.3,,,,,,,True,True,True,,
01043,719,1264.0,1998.8,,,,1690.0,766.1,2408.7,,,545.0,1279.8,,,,971.0,47.1,1689.7,,,False,,,,False,True,False,,
01045,603,728.0,,,,,1062.0,327.0,633.0,,,125.0,,,,,459.0,-276.0,30.0,,,,,,,False,False,True,,
01047,436,648.0,,,,,1117.0,13.4,382.4,,,212.0,,,,,681.0,-422.6,-53.6,,,,,,,False,False,True,,
01049,721,1448.0,1773.3,,,,1698.0,538.0,1383.1,,,727.0,1052.3,,,,977.0,-183.0,662.1,,,False,,,,False,True,True,,
01051,1046,1056.0,1088.6,,,,1396.0,497.4,720.1,,,10.0,42.6,,,,350.0,-548.6,-325.9,,,False,,,,False,False,False,,
01053,578,1136.0,,,,,1386.0,304.7,422.3,,,558.0,,,,,808.0,-273.3,-155.7,,,,,,,False,True,True,,
01055,1515,2152.0,2278.9,,,,2023.0,901.0,975.3,,,637.0,763.9,,,,508.0,-614.0,-539.7,,,False,,,,True,True,True,,
01057,282,264.0,,,,,260.0,149.8,212.0,,,-18.0,,,,,-22.0,-132.2,-70.0,,,,,,,False,False,False,,
01059,569,720.0,,,,,906.0,262.3,555.9,,,151.0,,,,,337.0,-306.7,-13.1,,,,,,,False,False,True,,
01061,390,264.0,,,,,733.0,210.5,168.6,,,-126.0,,,,,343.0,-179.5,-221.4,,,,,,,False,False,False,,
01063,53,64.0,,,,,132.0,0.5,44.3,,,11.0,,,,,79.0,-52.5,-8.7,,,,,,,False,False,True,,
01065,188,232.0,,,,,335.0,6.9,319.2,,,44.0,,,,,147.0,-181.1,131.2,,,,,,,False,False,False,,
01067,244,256.0,,,,,203.0,89.6,294.3,,,12.0,,,,,-41.0,-154.4,50.3,,,,,,,False,False,False,,
01069,1571,1728.0,3978.5,,,,2335.0,873.7,4576.7,,,157.0,2407.5,,,,764.0,-697.3,3005.7,,,False,,,,False,False,False,,
01071,752,1160.0,1470.9,,,,854.0,414.8,950.1,,,408.0,718.9,,,,102.0,-337.2,198.1,,,False,,,,True,True,True,,
01073,7861,10960.0,14719.9,,,,14041.0,4108.5,7628.2,,,3099.0,6858.9,,,,6180.0,-3752.5,-232.8,,,False,,,,False,False,True,,
01075,166,232.0,,,,,239.0,147.0,428.9,,,66.0,,,,,73.0,-19.0,262.9,,,,,,,False,True,False,,
01077,667,1152.0,1970.7,,,,1911.0,721.2,1135.5,,,485.0,1303.7,,,,1244.0,54.2,468.5,,,False,,,,False,True,True,,
01079,300,464.0,,,,,692.0,318.3,131.8,,,164.0,,,,,392.0,18.3,-168.2,,,,,,,False,True,False,,
01081,3257,1880.0,4810.6,,,,3040.0,1006.1,1231.5,,,-1377.0,1553.6,,,,-217.0,-2250.9,-2025.5,,,False,,,,True,False,False,,
01083,907,1232.0,2684.8,,,,1620.0,750.4,1421.2,,,325.0,1777.8,,,,713.0,-156.6,514.2,,,False,,,,False,True,False,,
01085,101,120.0,,,,,171.0,1.5,49.4,,,19.0,,,,,70.0,-99.5,-51.6,,,,,,,False,False,False,,
01087,161,160.0,,,,,202.0,43.8,279.7,,,-1.0,,,,,41.0,-117.2,118.7,,,,,,,False,False,False,,
01089,2946,5400.0,9602.0,,,,5007.0,2887.3,10642.7,,,2454.0,6656.0,,,,2061.0,-58.7,7696.7,,,False,,,,True,True,False,,
01091,201,264.0,,,,,550.0,135.8,467.7,,,63.0,,,,,349.0,-65.2,266.7,,,,,,,False,False,False,,
01093,401,520.0,,,,,627.0,260.4,3737.8,,,119.0,,,,,226.0,-140.6,3336.8,,,,,,,False,False,False,,
