,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,4404028.9,4397063,6965.9,0.2%
DDS-NBDS,4340403.0,4397063,-56660.0,-1.3%
TTU-squider,4485937.1,4397063,88874.1,2.0%
UVA-Ensemble,4542020.8,4397063,144957.8,3.3%
QJHong-Encounter,4180899.0,4397063,-216164.0,-4.9%
JHU_CSSE-DECOM,4132612.0,4397063,-264451.0,-6.0%
JHUAPL-Bucky,4128213.7,4397063,-268849.3,-6.1%
BPagano-RtDriven,4120171.4,4397063,-276891.6,-6.3%
OneQuietNight-ML,4747274.0,4397063,350211.0,8.0%
JCB-PRM,4798508.9,4397063,401445.9,9.1%
OliverWyman-Navigator,3969574.0,4397063,-427489.0,-9.7%
MSRA-DeepST,3735591.7,4397063,-661471.3,-15.0%
IowaStateLW-STEM,3653307.0,4397063,-743756.0,-16.9%
Covid19Sim-Simulator,3518452.4,4397063,-878610.6,-20.0%
COVIDhub-ensemble,3488557.0,4397063,-908506.0,-20.7%
UCF-AEM,3486769.0,4397063,-910294.0,-20.7%
LANL-GrowthRate,3472580.5,4397063,-924482.5,-21.0%
CEID-Walk,3459844.3,4397063,-937218.7,-21.3%
IBF-TimeSeries,3433436.0,4397063,-963627.0,-21.9%
COVIDhub-baseline,3421155.0,4397063,-975908.0,-22.2%
UMich-RidgeTfReg,3345319.5,4397063,-1051743.5,-23.9%
USC-SI_kJalpha,3265641.0,4397063,-1131422.0,-25.7%
UCLA-SuEIR,3226652.6,4397063,-1170410.4,-26.6%
CU-select,3212718.0,4397063,-1184345.0,-26.9%
CovidAnalytics-DELPHI,5588845.0,4397063,1191782.0,27.1%
LNQ-ens1,3081249.5,4397063,-1315813.5,-29.9%
JHU_IDD-CovidSP,2980653.6,4397063,-1416409.4,-32.2%
Columbia_UNC-SurvCon,2581956.0,4397063,-1815107.0,-41.3%
USACE-ERDC_SEIR,2417189.2,4397063,-1979873.8,-45.0%
RobertWalraven-ESG,2060441.0,4397063,-2336622.0,-53.1%
Google_Harvard-CPF,,4397063,,
UCSB-ACTS,,4397063,,
