,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1643,520.0,,,,,424.0,,787.6,,388.3,,382.0,-1123.0,,,,,-1219.0,,-855.4,,-1254.7,,-1261.0,,,,,False,,True,,False,,False
01003,5080,2296.0,,,,,2536.0,,1139.5,,1265.5,,0.0,-2784.0,,,,,-2544.0,,-3940.5,,-3814.5,,-5080.0,,,,,True,,False,,False,,False
01005,300,432.0,,,,,217.0,,502.4,,,,278.0,132.0,,,,,-83.0,,202.4,,,,-22.0,,,,,True,,False,,,,True
01007,762,424.0,,,,,213.0,,758.9,,,,688.0,-338.0,,,,,-549.0,,-3.1,,,,-74.0,,,,,False,,True,,,,True
01009,2244,944.0,,,,,659.0,,1267.5,,385.5,,271.0,-1300.0,,,,,-1585.0,,-976.5,,-1858.5,,-1973.0,,,,,False,,True,,False,,False
01011,105,112.0,,,,,87.0,,96.2,,,,0.0,7.0,,,,,-18.0,,-8.8,,,,-105.0,,,,,False,,False,,,,False
01013,392,136.0,,,,,170.0,,339.7,,,,18.0,-256.0,,,,,-222.0,,-52.3,,,,-374.0,,,,,True,,True,,,,False
01015,4007,4008.0,,,,,1454.0,,1839.4,,2129.0,,0.0,1.0,,,,,-2553.0,,-2167.6,,-1878.0,,-4007.0,,,,,False,,False,,False,,False
01017,769,672.0,,,,,309.0,,708.2,,255.8,,2959.0,-97.0,,,,,-460.0,,-60.8,,-513.2,,2190.0,,,,,False,,True,,False,,False
01019,546,160.0,,,,,349.0,,543.9,,,,97.0,-386.0,,,,,-197.0,,-2.1,,,,-449.0,,,,,True,,True,,,,False
01021,791,720.0,,,,,451.0,,795.5,,500.2,,306.0,-71.0,,,,,-340.0,,4.5,,-290.8,,-485.0,,,,,False,,True,,False,,False
01023,82,32.0,,,,,192.0,,308.8,,,,80.0,-50.0,,,,,110.0,,226.8,,,,-2.0,,,,,False,,False,,,,True
01025,827,672.0,,,,,388.0,,481.4,,440.5,,84.0,-155.0,,,,,-439.0,,-345.6,,-386.5,,-743.0,,,,,False,,False,,False,,False
01027,310,352.0,,,,,122.0,,710.6,,,,338.0,42.0,,,,,-188.0,,400.6,,,,28.0,,,,,False,,False,,,,True
01029,375,328.0,,,,,195.0,,845.9,,,,141.0,-47.0,,,,,-180.0,,470.9,,,,-234.0,,,,,False,,False,,,,False
01031,1388,1184.0,,,,,441.0,,1155.7,,604.0,,692.0,-204.0,,,,,-947.0,,-232.3,,-784.0,,-696.0,,,,,False,,False,,False,,False
01033,2071,976.0,,,,,900.0,,848.7,,587.5,,505.0,-1095.0,,,,,-1171.0,,-1222.3,,-1483.5,,-1566.0,,,,,False,,False,,False,,False
01035,243,56.0,,,,,94.0,,74.4,0.0,,,70.0,-187.0,,,,,-149.0,,-168.6,-243.0,,,-173.0,,,,,True,,True,False,,,True
01037,244,56.0,,,,,64.0,,152.1,0.0,,,101.0,-188.0,,,,,-180.0,,-91.9,-244.0,,,-143.0,,,,,True,,True,False,,,True
01039,960,800.0,,,,,403.0,,698.8,0.2,202.3,,188.0,-160.0,,,,,-557.0,,-261.2,-959.8,-757.7,,-772.0,,,,,False,,False,False,False,,False
01041,223,184.0,,,,,107.0,,438.5,0.0,,,145.0,-39.0,,,,,-116.0,,215.5,-223.0,,,-78.0,,,,,False,,False,False,,,False
01043,3771,1824.0,,,,,1231.0,,1854.7,6.3,691.9,,491.0,-1947.0,,,,,-2540.0,,-1916.3,-3764.7,-3079.1,,-3280.0,,,,,False,,True,False,False,,False
01045,1233,1176.0,,,,,427.0,,689.7,0.9,597.6,,360.0,-57.0,,,,,-806.0,,-543.3,-1232.1,-635.4,,-873.0,,,,,False,,False,False,False,,False
01047,734,160.0,,,,,367.0,,337.0,0.1,58.7,,107.0,-574.0,,,,,-367.0,,-397.0,-733.9,-675.3,,-627.0,,,,,True,,True,False,False,,False
