,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,7943316.0,7794412,148904.0,1.9%
CU-select,7039105.0,7794412,-755307.0,-9.7%
Covid19Sim-Simulator,6423943.3,7794412,-1370468.7,-17.6%
BPagano-RtDriven,6019121.4,7794412,-1775290.6,-22.8%
UCLA-SuEIR,5840444.3,7794412,-1953967.7,-25.1%
JHUAPL-Bucky,5549416.9,7794412,-2244995.1,-28.8%
IBF-TimeSeries,4877045.0,7794412,-2917367.0,-37.4%
COVIDhub-baseline,4362924.0,7794412,-3431488.0,-44.0%
CovidAnalytics-DELPHI,3782478.0,7794412,-4011934.0,-51.5%
JCB-PRM,3780271.0,7794412,-4014141.0,-51.5%
IowaStateLW-STEM,3659873.0,7794412,-4134539.0,-53.0%
USC-SI_kJalpha,3493623.0,7794412,-4300789.0,-55.2%
Columbia_UNC-SurvCon,12232477.0,7794412,4438065.0,56.9%
