,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,89196,59460.0,90537.0,56856.5,67116.0,78323.0,,57610.7,64922.0,94303.4,59067.8,,57292.0,85562.1,87663.3,97707.0,40798.5,65274.5,65664.5,66319.9,80043.7,88927.0,,100778.3,32960.5,,49882.5,81872.8,49234.3,49555.6,73442.0,62668.4,-29736.0,1341.0,-32339.5,-22080.0,-10873.0,,-31585.3,-24274.0,5107.4,-30128.2,,-31904.0,-3633.9,-1532.7,8511.0,-48397.5,-23921.5,-23531.5,-22876.1,-9152.3,-269.0,,11582.3,-56235.5,,-39313.5,-7323.2,-39961.7,-39640.4,-15754.0,-26527.6,True,False,True,True,,False,True,True,False,,False,True,True,True,False,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Alaska,16464,16284.0,10509.6,16721.9,16636.0,13087.0,,16451.5,18423.0,26229.7,22006.5,,,24871.9,25240.5,29764.0,7781.3,31343.6,14302.0,16204.6,20455.5,23560.0,,16183.9,20433.4,,13157.5,28922.8,15828.0,9037.7,20422.0,17494.6,-180.0,-5954.4,257.9,172.0,-3377.0,,-12.5,1959.0,9765.7,5542.5,,,8407.9,8776.5,13300.0,-8682.7,14879.6,-2162.0,-259.4,3991.5,7096.0,,-280.1,3969.4,,-3306.5,12458.8,-636.0,-7426.3,3958.0,1030.6,False,False,True,False,,True,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Arizona,152897,89124.0,76707.0,89671.9,116432.0,99833.0,,79453.3,228602.0,219497.1,116125.1,,110413.0,104371.1,111217.7,145893.0,105248.9,155705.1,147125.0,139179.4,142603.7,126014.0,,182891.7,75514.2,,93771.9,131877.1,120345.9,97775.2,141353.0,104407.7,-63773.0,-76190.0,-63225.1,-36465.0,-53064.0,,-73443.7,75705.0,66600.1,-36771.9,,-42484.0,-48525.9,-41679.3,-7004.0,-47648.1,2808.1,-5772.0,-13717.6,-10293.3,-26883.0,,29994.7,-77382.8,,-59125.1,-21019.9,-32551.1,-55121.8,-11544.0,-48489.3,False,True,True,True,,False,False,False,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True
Arkansas,56293,46620.0,84713.7,45002.8,55868.0,39524.0,,45418.6,31854.0,60475.9,62256.7,,63811.0,70669.1,56299.7,72924.0,28171.5,84171.4,55697.0,53804.3,65723.4,78832.0,,66278.1,22488.1,,55928.7,75111.4,61813.0,31420.7,48495.0,47943.7,-9673.0,28420.7,-11290.2,-425.0,-16769.0,,-10874.4,-24439.0,4182.9,5963.7,,7518.0,14376.1,6.7,16631.0,-28121.5,27878.4,-596.0,-2488.7,9430.4,22539.0,,9985.1,-33804.9,,-364.3,18818.4,5520.0,-24872.3,-7798.0,-8349.3,False,False,True,False,,False,False,True,True,,True,False,True,False,False,False,True,True,True,False,,False,False,,True,False,True,False,True,True
California,754759,329472.0,810210.3,338991.9,456209.0,468333.0,,339026.2,508352.0,556448.1,431341.4,,297788.0,372930.0,759481.8,502825.0,312385.5,760263.8,562058.0,457916.9,426230.4,475055.0,,516582.2,12316.8,,372371.1,434329.8,451582.5,412015.9,487364.0,409140.5,-425287.0,55451.3,-415767.1,-298550.0,-286426.0,,-415732.8,-246407.0,-198310.9,-323417.6,,-456971.0,-381829.0,4722.8,-251934.0,-442373.5,5504.8,-192701.0,-296842.1,-328528.6,-279704.0,,-238176.8,-742442.2,,-382387.9,-320429.2,-303176.5,-342743.1,-267395.0,-345618.5,True,True,True,True,,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,,True,False,,True,True,True,True,True,True
Colorado,111919,141780.0,210954.4,139656.1,177501.0,129555.0,,120765.6,230141.0,302952.2,217339.3,,148968.0,198081.7,219280.0,201006.0,106691.7,348771.9,149741.0,152317.2,202165.6,192813.0,,183408.9,227495.4,,175242.6,258857.1,200861.6,80551.3,145610.0,177527.4,29861.0,99035.4,27737.1,65582.0,17636.0,,8846.6,118222.0,191033.2,105420.3,,37049.0,86162.7,107361.0,89087.0,-5227.3,236852.9,37822.0,40398.2,90246.6,80894.0,,71489.9,115576.4,,63323.6,146938.1,88942.6,-31367.7,33691.0,65608.4,False,True,False,True,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Connecticut,61313,51296.0,56745.4,50996.6,61011.0,50587.0,,51845.2,98359.0,262889.0,68078.4,,55528.0,68091.5,98706.3,84150.0,73344.3,105406.9,86598.5,58633.5,77525.9,73542.0,,34229.4,65247.2,,96825.7,82364.7,114896.6,21584.5,57810.0,80533.0,-10017.0,-4567.6,-10316.4,-302.0,-10726.0,,-9467.8,37046.0,201576.0,6765.4,,-5785.0,6778.5,37393.3,22837.0,12031.3,44093.9,25285.5,-2679.5,16212.9,12229.0,,-27083.6,3934.2,,35512.7,21051.7,53583.6,-39728.5,-3503.0,19220.0,True,False,True,False,,True,False,False,True,,True,True,False,False,False,False,False,True,False,False,,False,True,,False,False,False,False,True,False
Delaware,18815,11704.0,21997.5,11362.8,15338.0,14428.0,,10556.8,16988.0,15399.3,14786.5,,12556.0,13581.8,15765.1,23015.0,10283.2,29449.8,18390.0,16162.0,19108.2,17880.0,,20440.3,4978.2,,12856.5,12754.6,18232.2,15156.3,17806.0,13667.9,-7111.0,3182.5,-7452.2,-3477.0,-4387.0,,-8258.2,-1827.0,-3415.7,-4028.5,,-6259.0,-5233.2,-3049.9,4200.0,-8531.8,10634.8,-425.0,-2653.0,293.2,-935.0,,1625.3,-13836.8,,-5958.5,-6060.4,-582.8,-3658.7,-1009.0,-5147.1,True,False,True,True,,False,True,True,True,,True,True,True,True,False,False,True,True,True,True,,True,False,,True,True,True,True,True,True
District of Columbia,6381,4588.0,6853.4,4537.5,6222.0,4302.0,,4584.0,6655.0,7335.7,4449.5,,5473.0,6005.9,9248.3,7413.0,5423.7,7963.8,6265.5,6071.7,,3194.0,,5488.2,6215.9,,3741.9,6523.6,,5308.4,7434.0,7317.2,-1793.0,472.4,-1843.5,-159.0,-2079.0,,-1797.0,274.0,954.7,-1931.5,,-908.0,-375.1,2867.3,1032.0,-957.3,1582.8,-115.5,-309.3,,-3187.0,,-892.8,-165.1,,-2639.1,142.6,,-1072.6,1053.0,936.2,True,False,True,False,,False,True,True,False,,True,True,False,True,True,True,True,True,,False,,True,True,,False,True,,True,True,True
Florida,261338,226924.0,311017.9,227561.8,267702.0,326380.0,,196755.3,393375.0,521775.0,265300.8,,206182.0,261670.5,250752.4,375271.0,261304.8,353408.6,262000.0,264699.8,277804.8,354449.0,,368002.3,183770.3,,227015.9,292785.8,227814.6,205847.9,284001.0,182894.6,-34414.0,49679.9,-33776.2,6364.0,65042.0,,-64582.7,132037.0,260437.0,3962.8,,-55156.0,332.5,-10585.6,113933.0,-33.2,92070.6,662.0,3361.8,16466.8,93111.0,,106664.3,-77567.7,,-34322.1,31447.8,-33523.4,-55490.1,22663.0,-78443.4,False,True,True,False,,False,False,False,True,,False,True,True,False,True,False,True,True,True,False,,False,False,,True,True,True,False,True,False
Georgia,135496,95596.0,15318.3,69736.2,108841.0,123190.0,,73020.1,200300.0,189532.7,92750.8,,86738.0,116062.0,35784.6,170677.0,65582.4,189381.1,109333.5,116126.2,123271.4,124878.0,,192012.2,77057.5,,74028.5,155114.8,70330.4,79233.7,137099.0,84301.8,-39900.0,-120177.7,-65759.8,-26655.0,-12306.0,,-62475.9,64804.0,54036.7,-42745.2,,-48758.0,-19434.0,-99711.4,35181.0,-69913.6,53885.1,-26162.5,-19369.8,-12224.6,-10618.0,,56516.2,-58438.5,,-61467.5,19618.8,-65165.6,-56262.3,1603.0,-51194.2,False,False,True,True,,False,False,False,False,,False,True,False,True,False,False,True,True,True,True,,False,False,,False,True,False,False,True,False
Hawaii,3014,2408.0,8781.0,2296.9,2440.0,2051.0,,2359.9,2227.0,3035.5,5121.8,,,3446.8,605.1,3795.0,5458.3,2715.0,3294.0,3847.3,3862.2,5555.0,,2571.7,2445.2,,2118.6,4571.6,3510.1,3699.5,2236.0,1852.0,-606.0,5767.0,-717.1,-574.0,-963.0,,-654.1,-787.0,21.5,2107.8,,,432.8,-2408.9,781.0,2444.3,-299.0,280.0,833.3,848.2,2541.0,,-442.3,-568.8,,-895.4,1557.6,496.1,685.5,-778.0,-1162.0,False,False,True,False,,False,False,True,False,,,True,False,False,False,True,True,False,False,False,,True,True,,False,False,True,False,False,False
