,mean_rank
LNQ-ens1,9.5
COVIDhub-ensemble,9.8
LANL-GrowthRate,10.4
CU-select,10.9
RobertWalraven-ESG,11.9
USC-SI_kJalpha,12.2
JHU_IDD-CovidSP,12.3
UCLA-SuEIR,12.3
COVIDhub-baseline,12.4
Covid19Sim-Simulator,12.6
MSRA-DeepST,12.9
CEID-Walk,13.2
UVA-Ensemble,13.4
JCB-PRM,13.5
IowaStateLW-STEM,13.7
Google_Harvard-CPF,14.1
OneQuietNight-ML,14.2
USACE-ERDC_SEIR,14.7
UCSB-ACTS,15.9
JHU_CSSE-DECOM,16.1
UMich-RidgeTfReg,16.5
BPagano-RtDriven,16.6
JHUAPL-Bucky,16.6
TTU-squider,17.0
CovidAnalytics-DELPHI,17.8
DDS-NBDS,18.3
Karlen-pypm,19.3
