,mean_rank
OliverWyman-Navigator,8.9
MSRA-DeepST,10.2
OneQuietNight-ML,10.9
COVIDhub-ensemble,11.4
LANL-GrowthRate,11.6
JHU_CSSE-DECOM,11.7
IowaStateLW-STEM,12.4
DDS-NBDS,12.5
LNQ-ens1,12.6
Google_Harvard-CPF,13.3
JHUAPL-Bucky,13.3
UVA-Ensemble,13.3
CU-select,13.7
JCB-PRM,14.2
COVIDhub-baseline,14.3
USC-SI_kJalpha,14.3
Karlen-pypm,14.3
UCLA-SuEIR,14.3
CEID-Walk,14.5
Covid19Sim-Simulator,14.6
BPagano-RtDriven,14.9
RobertWalraven-ESG,15.1
JHU_IDD-CovidSP,16.0
CovidAnalytics-DELPHI,17.0
UCSB-ACTS,18.9
TTU-squider,19.5
USACE-ERDC_SEIR,20.4
