,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,104061,66805.0,97958.1,84634.0,,22055.0,,76711.0,77895.1,58302.7,48609.8,75512.2,78991.5,,,33260.2,81724.7,33015.0,-37256.0,-6102.9,-19427.0,,-82006.0,,-27350.0,-26165.9,-45758.3,-55451.2,-28548.8,-25069.5,,,-70800.8,-22336.3,-71046.0,True,True,,False,,True,True,False,False,True,True,,,False,True,False
Alaska,20535,19235.0,18831.0,14848.0,,8513.0,,,28912.8,34147.5,11222.4,37342.4,27554.0,,,20230.4,16423.8,0.0,-1300.0,-1704.0,-5687.0,,-12022.0,,,8377.8,13612.5,-9312.6,16807.4,7019.0,,,-304.6,-4111.2,-20535.0,False,False,,False,,,False,False,False,False,False,,,True,False,False
Arizona,175178,78345.0,52112.9,111929.0,,5448.0,,71096.0,110291.4,115754.7,119784.0,166019.1,130694.5,,,34949.2,102175.3,72101.0,-96833.0,-123065.1,-63249.0,,-169730.0,,-104082.0,-64886.6,-59423.3,-55394.0,-9158.9,-44483.5,,,-140228.8,-73002.7,-103077.0,False,True,,False,,False,True,True,True,True,True,,,False,True,False
Arkansas,67948,56690.0,38475.8,57974.0,,23347.0,,70917.0,77019.5,126601.0,35158.4,73967.1,64339.0,,,30490.2,36359.5,26797.0,-11258.0,-29472.2,-9974.0,,-44601.0,,2969.0,9071.5,58653.0,-32789.6,6019.1,-3609.0,,,-37457.8,-31588.5,-41151.0,False,True,,False,,True,True,False,False,True,True,,,False,False,False
California,839847,268525.0,414097.7,404290.0,,28939.0,,276526.0,354999.1,498567.2,292732.8,419645.2,442214.5,,,131822.5,599817.9,334649.0,-571322.0,-425749.3,-435557.0,,-810908.0,,-563321.0,-484847.9,-341279.8,-547114.2,-420201.8,-397632.5,,,-708024.5,-240029.1,-505198.0,True,True,,False,,True,True,True,True,True,True,,,False,True,True
Colorado,147364,156335.0,252949.4,183204.0,,685468.0,,123754.0,167253.5,221512.7,130100.8,400749.1,346331.0,,,104938.0,100096.3,81749.0,8971.0,105585.4,35840.0,,538104.0,,-23610.0,19889.5,74148.7,-17263.2,253385.1,198967.0,,,-42426.0,-47267.7,-65615.0,False,False,,False,,False,False,False,False,False,False,,,False,False,False
Connecticut,74137,52600.0,47683.2,76024.0,,59595.0,,35085.0,67451.9,69172.6,77548.1,127261.7,70373.0,,,49336.4,29265.9,29107.0,-21537.0,-26453.8,1887.0,,-14542.0,,-39052.0,-6685.1,-4964.4,3411.1,53124.7,-3764.0,,,-24800.6,-44871.1,-45030.0,False,True,,True,,False,True,True,True,False,True,,,False,False,False
Delaware,21741,10685.0,13316.3,16708.0,,5070.0,,12776.0,13600.3,18951.6,10555.6,16342.3,15943.5,,,5672.6,15760.6,8656.0,-11056.0,-8424.7,-5033.0,,-16671.0,,-8965.0,-8140.7,-2789.4,-11185.4,-5398.7,-5797.5,,,-16068.4,-5980.4,-13085.0,True,True,,False,,True,True,True,False,True,True,,,False,True,False
District of Columbia,7528,4615.0,3738.5,7242.0,,2755.0,,4822.0,6423.9,5914.7,6674.8,8963.1,6023.0,,,2663.3,7961.0,4096.0,-2913.0,-3789.5,-286.0,,-4773.0,,-2706.0,-1104.1,-1613.3,-853.2,1435.1,-1505.0,,,-4864.7,433.0,-3432.0,False,True,,False,,True,True,True,True,True,True,,,False,True,False
Florida,318069,190095.0,319165.2,195225.0,,28786.0,,164571.0,266225.3,180055.1,260840.3,311535.2,242261.0,,,87060.2,253647.1,96740.0,-127974.0,1096.2,-122844.0,,-289283.0,,-153498.0,-51843.7,-138013.9,-57228.7,-6533.8,-75808.0,,,-231008.8,-64421.9,-221329.0,True,True,,False,,False,True,False,True,True,True,,,False,True,False
