,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,221510,78295.0,70229.4,,81009.3,,81081.0,85214.7,70895.3,36177.2,90113.0,-143215.0,-151280.6,,-140500.7,,-140429.0,-136295.3,-150614.7,-185332.8,-131397.0,False,,True,,True,True,False,False,True
Hawaii,5091,3626.0,10810.1,,4487.7,,,7039.6,6548.9,1764.7,711.0,-1465.0,5719.1,,-603.3,,,1948.6,1457.9,-3326.3,-4380.0,False,,True,,,False,True,False,False
Idaho,64461,41398.0,139776.9,,44126.4,,38466.0,52787.3,79832.2,10155.8,14630.0,-23063.0,75315.9,,-20334.6,,-25995.0,-11673.7,15371.2,-54305.2,-49831.0,False,,True,,False,True,True,False,False
Illinois,477820,236229.0,359055.4,,325549.5,,226047.0,248755.8,281692.9,129194.2,117665.0,-241591.0,-118764.6,,-152270.5,,-251773.0,-229064.2,-196127.1,-348625.8,-360155.0,True,,True,,False,True,True,False,False
Indiana,278513,132328.0,137766.7,,122377.8,,123411.0,136851.5,197061.5,66662.2,222399.0,-146185.0,-140746.3,,-156135.2,,-155102.0,-141661.5,-81451.5,-211850.8,-56114.0,True,,False,,False,True,True,False,True
Iowa,138449,95718.0,89321.3,,97965.2,,73729.0,83253.8,105120.1,42722.9,179684.0,-42731.0,-49127.7,,-40483.8,,-64720.0,-55195.2,-33328.9,-95726.1,41235.0,False,,True,,False,False,True,False,True
Kansas,116580,50715.0,50539.5,,52308.9,,41767.0,50434.9,67222.5,27925.6,26127.0,-65865.0,-66040.5,,-64271.1,,-74813.0,-66145.1,-49357.5,-88654.4,-90453.0,False,,True,,False,False,True,False,False
Kentucky,133344,82173.0,99006.1,,87310.6,,73731.0,83600.5,157541.2,45494.2,134230.0,-51171.0,-34337.9,,-46033.4,,-59613.0,-49743.5,24197.2,-87849.8,886.0,True,,True,,False,True,True,False,True
Louisiana,95785,23800.0,22922.6,,26067.9,,29510.0,38449.5,25924.1,10764.9,8086.0,-71985.0,-72862.4,,-69717.1,,-66275.0,-57335.5,-69860.9,-85020.1,-87699.0,False,,True,,True,True,True,False,False
Maine,12076,3682.0,404.2,,2425.9,,4794.0,1881.2,16017.0,2233.0,10884.0,-8394.0,-11671.8,,-9650.1,,-7282.0,-10194.8,3941.0,-9843.0,-1192.0,False,,False,,True,False,True,False,True
