,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,116386,61182.0,117345.1,81129.0,,57626.7,24169.0,,52076.0,56402.3,62098.3,53030.0,27127.3,46489.0,-55204.0,959.1,-35257.0,,-58759.3,-92217.0,,-64310.0,-59983.7,-54287.7,-63356.0,-89258.7,-69897.0,True,True,,False,False,,False,False,True,False,False,False
Alaska,24382,17706.0,3604.0,14237.0,,16793.9,8809.0,,,16093.7,38917.9,34240.0,15280.4,76.0,-6676.0,-20778.0,-10145.0,,-7588.1,-15573.0,,,-8288.3,14535.9,9858.0,-9101.6,-24306.0,False,False,,False,False,,,False,False,False,False,False
Arizona,190847,68628.0,120618.5,129810.0,,70179.7,5009.0,,43044.0,55836.0,53006.5,110244.5,29813.4,81147.0,-122219.0,-70228.5,-61037.0,,-120667.3,-185838.0,,-147803.0,-135011.0,-137840.5,-80602.5,-161033.6,-109700.0,True,True,,True,False,,False,False,False,True,False,True
Arkansas,79286,51828.0,51604.7,77440.0,,48144.9,26847.0,,49547.0,45096.6,55443.7,61602.0,21575.2,36016.0,-27458.0,-27681.3,-1846.0,,-31141.1,-52439.0,,-29739.0,-34189.4,-23842.3,-17684.0,-57710.8,-43270.0,False,True,,False,False,,False,False,True,True,False,False
California,873195,223314.0,267886.5,407893.0,,223704.2,34040.0,,146643.0,165337.7,189490.7,307968.5,118547.6,266783.0,-649881.0,-605308.5,-465302.0,,-649490.8,-839155.0,,-726552.0,-707857.3,-683704.3,-565226.5,-754647.4,-606412.0,True,True,,True,False,,False,False,False,True,False,True
Colorado,178631,123702.0,315682.0,189732.0,,119184.2,805599.0,,96667.0,106032.1,108910.2,250426.5,103670.2,88845.0,-54929.0,137051.0,11101.0,,-59446.8,626968.0,,-81964.0,-72598.9,-69720.8,71795.5,-74960.8,-89786.0,False,True,,False,False,,False,False,False,False,False,False
Connecticut,84657,41508.0,51202.5,50421.0,,48319.9,43413.0,,29207.0,46178.9,31897.9,44423.0,39273.7,45476.0,-43149.0,-33454.5,-34236.0,,-36337.1,-41244.0,,-55450.0,-38478.1,-52759.1,-40234.0,-45383.3,-39181.0,True,True,,True,True,,False,True,False,True,False,True
Delaware,23878,7842.0,2980.6,13072.0,,9223.6,4282.0,,6070.0,6332.1,6557.3,10093.0,4993.3,9876.0,-16036.0,-20897.4,-10806.0,,-14654.4,-19596.0,,-17808.0,-17545.9,-17320.7,-13785.0,-18884.7,-14002.0,False,True,,True,False,,False,False,False,True,False,True
District of Columbia,8451,3750.0,24355.9,2843.0,,3822.1,593.0,,2345.0,3077.6,2478.4,5066.0,2800.2,5100.0,-4701.0,15904.9,-5608.0,,-4628.9,-7858.0,,-6106.0,-5373.4,-5972.6,-3385.0,-5650.8,-3351.0,False,False,,True,False,,False,False,False,True,False,True
Florida,356088,207180.0,236177.8,398801.0,,226715.9,32194.0,,134848.0,185431.8,176081.7,269909.0,93532.4,139380.0,-148908.0,-119910.2,42713.0,,-129372.1,-323894.0,,-221240.0,-170656.2,-180006.3,-86179.0,-262555.6,-216708.0,True,True,,True,False,,False,False,False,True,False,False
Georgia,177263,66210.0,122736.2,70679.0,,71189.1,21193.0,,60660.0,81728.5,65892.0,65206.0,28660.1,66538.0,-111053.0,-54526.8,-106584.0,,-106073.9,-156070.0,,-116603.0,-95534.5,-111371.0,-112057.0,-148602.9,-110725.0,True,True,,True,False,,False,True,False,False,False,True
Hawaii,4324,4488.0,191.5,10957.0,,3716.3,1242.0,,,3094.9,3987.6,4776.0,2165.7,2547.0,164.0,-4132.5,6633.0,,-607.7,-3082.0,,,-1229.1,-336.4,452.0,-2158.3,-1777.0,False,False,,False,False,,,False,False,False,False,False
Idaho,56757,46224.0,28808.2,58267.0,,38449.5,17717.0,,48179.0,44289.0,63797.0,46013.5,20946.3,15804.0,-10533.0,-27948.8,1510.0,,-18307.5,-39040.0,,-8578.0,-12468.0,7040.0,-10743.5,-35810.7,-40953.0,False,True,,False,False,,True,False,True,False,False,False
