,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1101,648.0,,660.1,,661.0,682.0,,,,,777.3,,664.0,,793.8,,429.5,,793.0,668.7,,1060.0,,,,,383.4,,,,,643.7,-453.0,,-440.9,,-440.0,-419.0,,,,,-323.7,,-437.0,,-307.2,,-671.5,,-308.0,-432.3,,-41.0,,,,,-717.6,,,,,-457.3,,True,,True,True,,,,,True,,True,,True,,False,,True,True,,True,,,,,False,,,,,False
01003,3591,2140.0,,2149.0,,2238.0,3473.0,,,,,1930.9,,1729.0,,2330.8,,1429.3,,3232.5,2819.2,,3581.0,,,,,1213.9,2508.0,,,,2558.2,-1451.0,,-1442.0,,-1353.0,-118.0,,,,,-1660.1,,-1862.0,,-1260.2,,-2161.7,,-358.5,-771.8,,-10.0,,,,,-2377.1,-1083.0,,,,-1032.8,,True,,True,True,,,,,False,,False,,True,,False,,True,True,,True,,,,,False,True,,,,True
01005,173,136.0,,125.8,,120.0,86.0,,,,,258.0,,247.0,,30.9,,110.3,,111.0,165.7,,342.0,,,,,87.8,,,,,150.9,-37.0,,-47.2,,-53.0,-87.0,,,,,85.0,,74.0,,-142.1,,-62.7,,-62.0,-7.3,,169.0,,,,,-85.2,,,,,-22.1,,False,,False,False,,,,,False,,False,,False,,False,,False,True,,False,,,,,False,,,,,True
01007,565,232.0,,227.4,,225.0,203.0,,,,,368.0,,297.0,,95.7,,174.8,,363.0,505.9,,411.0,,,,,,,,,,187.9,-333.0,,-337.6,,-340.0,-362.0,,,,,-197.0,,-268.0,,-469.3,,-390.2,,-202.0,-59.1,,-154.0,,,,,,,,,,-377.1,,False,,False,False,,,,,True,,True,,False,,False,,True,True,,True,,,,,,,,,,False
01009,1456,868.0,,857.5,,853.0,1235.0,,,,,1099.6,,823.0,,938.6,,506.2,,848.0,809.9,,1281.0,,,,,351.0,,,,,792.9,-588.0,,-598.5,,-603.0,-221.0,,,,,-356.4,,-633.0,,-517.4,,-949.8,,-608.0,-646.1,,-175.0,,,,,-1105.0,,,,,-663.1,,False,,False,True,,,,,True,,False,,True,,False,,False,False,,True,,,,,False,,,,,False
01011,65,52.0,,49.4,,49.0,0.0,,,,,109.0,,103.0,,20.1,,38.1,,37.0,85.2,,142.0,,,,,,,,,,67.7,-13.0,,-15.6,,-16.0,-65.0,,,,,44.0,,38.0,,-44.9,,-26.9,,-28.0,20.2,,77.0,,,,,,,,,,2.7,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,,,,,,,,,,True
01013,269,228.0,,240.7,,207.0,8.0,,,,,286.5,,194.0,,283.7,,113.7,,232.0,201.6,,389.0,,,,,138.5,,,,,205.4,-41.0,,-28.3,,-62.0,-261.0,,,,,17.5,,-75.0,,14.7,,-155.3,,-37.0,-67.4,,120.0,,,,,-130.5,,,,,-63.6,,True,,False,False,,,,,True,,False,,True,,False,,True,False,,False,,,,,False,,,,,False
01015,2670,1816.0,,1691.5,,1684.0,5549.0,,,,,1730.8,,1524.0,,3815.5,,1074.5,,1568.5,1669.6,,2678.0,,,,,1148.0,,,,,2062.1,-854.0,,-978.5,,-986.0,2879.0,,,,,-939.2,,-1146.0,,1145.5,,-1595.5,,-1101.5,-1000.4,,8.0,,,,,-1522.0,,,,,-607.9,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,False,,,,,True
01017,447,452.0,,463.9,,428.0,505.0,,,,,618.2,,343.0,,854.3,,254.4,,725.5,408.9,,748.0,,,,,238.5,,,,,335.5,5.0,,16.9,,-19.0,58.0,,,,,171.2,,-104.0,,407.3,,-192.6,,278.5,-38.1,,301.0,,,,,-208.5,,,,,-111.5,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,,,,,False,,,,,False
01019,299,324.0,,311.5,,302.0,296.0,,,,,454.8,,353.0,,328.2,,181.3,,292.0,294.3,,563.0,,,,,,,,,,352.1,25.0,,12.5,,3.0,-3.0,,,,,155.8,,54.0,,29.2,,-117.7,,-7.0,-4.7,,264.0,,,,,,,,,,53.1,,True,,True,True,,,,,False,,False,,False,,False,,True,True,,False,,,,,,,,,,False
