,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,719,488.0,,501.3,,398.0,384.0,,,,,458.2,340.4,,,,381.0,,483.7,,261.0,321.5,,385.0,498.4,,,607.0,590.0,34.3,,,,,377.0,558.2,,,,678.9,-231.0,,-217.7,,-321.0,-335.0,,,,,-260.8,-378.6,,,,-338.0,,-235.3,,-458.0,-397.5,,-334.0,-220.6,,,-112.0,-129.0,-684.7,,,,,-342.0,-160.8,,,,-40.1,,True,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,True,,,True,True,False,,,,,False,True,,,,True
01003,2096,1786.0,,1785.1,,1820.0,2348.0,,,,,1561.6,2007.0,,,,989.0,,2640.8,,853.4,1337.5,,2330.0,1837.3,,,2344.0,2237.0,191.1,,,,,1581.2,1546.9,2184.0,,,2346.5,-310.0,,-310.9,,-276.0,252.0,,,,,-534.4,-89.0,,,,-1107.0,,544.8,,-1242.6,-758.5,,234.0,-258.7,,,248.0,141.0,-1904.9,,,,,-514.8,-549.1,88.0,,,250.5,,False,,True,True,,,,,False,True,,,,False,,False,,False,False,,True,True,,,True,True,False,,,,,False,False,True,,,True
01005,111,92.0,,85.1,,90.0,52.0,,,,,123.6,52.6,,,,134.0,,118.0,,55.3,,,53.0,90.0,,,95.0,147.0,5.4,,,,,,125.7,,,,139.7,-19.0,,-25.9,,-21.0,-59.0,,,,,12.6,-58.4,,,,23.0,,7.0,,-55.7,,,-58.0,-21.0,,,-16.0,36.0,-105.6,,,,,,14.7,,,,28.7,,False,,False,False,,,,,True,False,,,,False,,True,,False,,,False,False,,,True,False,False,,,,,,True,,,,False
01007,318,208.0,,192.3,,170.0,141.0,,,,,180.7,122.6,,,,162.0,,278.9,,112.6,,,125.0,186.0,,,213.0,279.0,26.6,,,,,,222.6,,,,196.4,-110.0,,-125.7,,-148.0,-177.0,,,,,-137.3,-195.4,,,,-156.0,,-39.1,,-205.4,,,-193.0,-132.0,,,-105.0,-39.0,-291.4,,,,,,-95.4,,,,-121.6,,False,,False,False,,,,,False,False,,,,False,,True,,False,,,False,False,,,True,True,False,,,,,,True,,,,False
01009,910,718.0,,716.1,,621.0,633.0,,,,,540.9,531.9,,,,510.0,,716.0,,318.8,475.5,,512.0,632.1,,,869.0,766.0,64.5,,,,,561.8,595.9,,,,942.7,-192.0,,-193.9,,-289.0,-277.0,,,,,-369.1,-378.1,,,,-400.0,,-194.0,,-591.2,-434.5,,-398.0,-277.9,,,-41.0,-144.0,-845.5,,,,,-348.2,-314.1,,,,32.7,,False,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,False,,,True,True,False,,,,,False,False,,,,True
01011,39,34.0,,32.9,,34.0,0.0,,,,,72.5,23.3,,,,55.0,,39.6,,16.7,,,15.0,32.2,,,39.0,69.0,3.6,,,,,,45.6,,,,49.2,-5.0,,-6.1,,-5.0,-39.0,,,,,33.5,-15.7,,,,16.0,,0.6,,-22.3,,,-24.0,-6.8,,,0.0,30.0,-35.4,,,,,,6.6,,,,10.2,,False,,False,False,,,,,False,False,,,,False,,True,,False,,,False,False,,,True,False,False,,,,,,False,,,,False
01013,176,120.0,,127.8,,117.0,14.0,,,,,174.3,115.2,,,,112.0,,99.1,,56.8,,,118.0,140.0,,,158.0,172.0,5.5,,,,,,152.1,,,,105.5,-56.0,,-48.2,,-59.0,-162.0,,,,,-1.7,-60.8,,,,-64.0,,-76.9,,-119.2,,,-58.0,-36.0,,,-18.0,-4.0,-170.5,,,,,,-23.9,,,,-70.5,,True,,False,False,,,,,True,False,,,,False,,False,,False,,,False,True,,,True,True,False,,,,,,True,,,,False
01015,1567,1452.0,,1428.8,,1358.0,2015.0,,,,,1218.1,841.1,,,,943.0,,1746.4,,569.5,813.0,,1386.5,1358.3,,,1696.0,1606.0,169.0,,,,,1205.9,1517.6,,,,1947.8,-115.0,,-138.2,,-209.0,448.0,,,,,-348.9,-725.9,,,,-624.0,,179.4,,-997.5,-754.0,,-180.5,-208.7,,,129.0,39.0,-1398.0,,,,,-361.1,-49.4,,,,380.8,,False,,False,False,,,,,False,False,,,,False,,False,,False,False,,False,False,,,False,True,False,,,,,False,True,,,,False
01017,215,266.0,,263.5,,228.0,266.0,,,,,238.6,168.0,,,,207.0,,291.8,,159.0,189.5,,171.0,223.3,,,272.0,318.0,22.4,,,,,,296.4,,,,233.4,51.0,,48.5,,13.0,51.0,,,,,23.6,-47.0,,,,-8.0,,76.8,,-56.0,-25.5,,-44.0,8.3,,,57.0,103.0,-192.6,,,,,,81.4,,,,18.4,,True,,True,False,,,,,True,True,,,,True,,False,,False,True,,True,True,,,False,False,False,,,,,,False,,,,True
01019,188,136.0,,131.6,,116.0,107.0,,,,,145.5,114.9,,,,202.0,,98.4,,83.9,,,96.0,137.7,,,133.0,221.0,9.4,,,,,,182.4,,,,61.4,-52.0,,-56.4,,-72.0,-81.0,,,,,-42.5,-73.1,,,,14.0,,-89.6,,-104.1,,,-92.0,-50.3,,,-55.0,33.0,-178.6,,,,,,-5.6,,,,-126.6,,False,,False,False,,,,,True,False,,,,True,,False,,False,,,False,True,,,False,True,False,,,,,,True,,,,False
