,count,mean,median,std,min,25%,75%,max
OneQuietNight-ML,3134,373.6,87.0,2380.6,0.0,32.0,235.0,112000.0
OliverWyman-Navigator,3042,387.4,101.0,1982.6,0.0,39.0,278.0,86257.0
COVIDhub-ensemble,3141,436.7,96.0,2627.3,0.0,33.0,271.0,120052.0
LANL-GrowthRate,3104,448.3,122.0,1896.9,0.0,42.0,341.0,80569.0
LNQ-ens1,3140,449.5,97.5,2774.9,0.0,30.7,290.4,127744.8
COVIDhub-baseline,3141,466.8,106.0,2859.9,0.0,37.0,296.0,132616.0
CEID-Walk,3141,467.1,106.3,2873.2,0.0,37.4,303.6,133520.0
IowaStateLW-STEM,3103,499.0,104.0,3066.4,0.0,39.0,294.0,142344.0
JHU_IDD-CovidSP,3139,501.5,159.2,3017.5,0.0,63.4,367.7,143255.9
CU-select,3135,504.0,113.0,3140.1,0.0,41.0,302.0,145795.0
UVA-Ensemble,3131,518.5,120.6,1894.2,0.0,39.5,347.7,43100.8
JHUAPL-Bucky,3141,574.1,153.5,2229.1,0.0,53.9,416.0,67474.0
Google_Harvard-CPF,3140,612.6,145.0,3269.1,0.0,49.8,387.3,149981.2
