,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,5443209.6,8601029,-3157819.4,-36.7%
JHUAPL-Bucky,4918011.4,8601029,-3683017.6,-42.8%
BPagano-RtDriven,4463925.6,8601029,-4137103.4,-48.1%
JCB-PRM,4116664.4,8601029,-4484364.6,-52.1%
IBF-TimeSeries,4058263.0,8601029,-4542766.0,-52.8%
COVIDhub-baseline,3840648.0,8601029,-4760381.0,-55.3%
UCLA-SuEIR,3826283.3,8601029,-4774745.7,-55.5%
USC-SI_kJalpha,3739792.0,8601029,-4861237.0,-56.5%
IowaStateLW-STEM,3708599.0,8601029,-4892430.0,-56.9%
Columbia_UNC-SurvCon,16935695.0,8601029,8334666.0,96.9%
