,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,136073,92912.0,51616.0,,95080.7,,56507.0,62267.1,67391.5,35530.9,92384.5,52054.0,-43161.0,-84457.0,,-40992.3,,-79566.0,-73805.9,-68681.5,-100542.1,-43688.5,-84019.0,False,,True,,False,False,False,False,False,False
Alaska,30143,13800.0,1941.8,,14513.5,,,22077.5,27445.9,4833.4,22583.8,3110.0,-16343.0,-28201.2,,-15629.5,,,-8065.5,-2697.1,-25309.6,-7559.2,-27033.0,False,,True,,,True,True,False,True,False
Arizona,211459,50504.0,68237.4,,53991.1,,34412.0,81356.2,36724.4,24270.0,69823.5,39813.0,-160955.0,-143221.6,,-157467.9,,-177047.0,-130102.8,-174734.6,-187189.0,-141635.5,-171646.0,True,,True,,False,True,False,False,True,False
Arkansas,94796,55168.0,39264.7,,54999.3,,60352.0,47809.0,74003.5,19042.5,33858.7,33948.0,-39628.0,-55531.3,,-39796.7,,-34444.0,-46987.0,-20792.5,-75753.5,-60937.3,-60848.0,False,,False,,True,False,True,False,False,False
California,962282,240560.0,370366.2,,263700.4,,130917.0,209083.1,147836.3,129766.9,361835.3,277269.0,-721722.0,-591915.8,,-698581.6,,-831365.0,-753198.9,-814445.7,-832515.1,-600446.7,-685013.0,True,,True,,False,False,False,False,True,True
Colorado,213198,72248.0,27471.9,,83232.4,,56734.0,108405.5,65394.2,29350.7,103120.4,92723.0,-140950.0,-185726.1,,-129965.6,,-156464.0,-104792.5,-147803.8,-183847.3,-110077.6,-120475.0,False,,True,,False,True,False,False,True,True
Connecticut,96730,25776.0,64835.0,,30131.9,,16491.0,33896.2,15305.5,15146.6,13258.6,20713.0,-70954.0,-31895.0,,-66598.1,,-80239.0,-62833.8,-81424.5,-81583.4,-83471.4,-76017.0,True,,True,,False,True,False,False,False,False
Delaware,26289,7240.0,9260.8,,7226.8,,5918.0,8845.8,4568.8,5407.1,4682.7,6457.0,-19049.0,-17028.2,,-19062.2,,-20371.0,-17443.2,-21720.2,-20881.9,-21606.3,-19832.0,True,,False,,False,True,False,False,False,False
District of Columbia,9636,2976.0,359.8,,2890.4,,2620.0,3716.9,1795.3,1288.5,3071.8,2672.0,-6660.0,-9276.2,,-6745.6,,-7016.0,-5919.1,-7840.7,-8347.5,-6564.2,-6964.0,False,,False,,False,True,False,False,True,False
Florida,416914,190160.0,133141.3,,157185.2,,173888.0,209358.6,127216.1,70024.1,165326.3,155330.0,-226754.0,-283772.7,,-259728.8,,-243026.0,-207555.4,-289697.9,-346889.9,-251587.7,-261584.0,False,,False,,False,True,False,False,False,False
Georgia,232695,81768.0,81049.0,,86867.7,,65802.0,77807.6,81565.7,40312.2,69435.0,62652.0,-150927.0,-151646.0,,-145827.3,,-166893.0,-154887.4,-151129.3,-192382.8,-163260.0,-170043.0,False,,True,,False,False,False,False,False,False
