,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,440,279.0,,284.2,,284.0,256.0,,,,,201.3,,234.7,,,,247.0,,364.6,155.7,211.0,,383.5,298.0,317.9,356.0,290.0,331.0,,,,,265.2,339.1,,,,351.4,-161.0,,-155.8,,-156.0,-184.0,,,,,-238.7,,-205.3,,,,-193.0,,-75.4,-284.3,-229.0,,-56.5,-142.0,-122.1,-84.0,-150.0,-109.0,,,,,-174.8,-100.9,,,,-88.6,,True,,True,False,,,,,False,,False,,,,False,,True,False,False,,True,True,True,True,True,True,,,,,False,True,,,,True
01003,1057,1039.0,,1053.4,,986.0,986.0,,,,,739.9,,1395.3,,,,696.0,,1165.0,573.8,782.0,,1303.0,1171.5,1152.8,1323.0,1088.0,1000.5,,,,,978.2,988.4,854.0,,,1257.9,-18.0,,-3.6,,-71.0,-71.0,,,,,-317.1,,338.3,,,,-361.0,,108.0,-483.2,-275.0,,246.0,114.5,95.8,266.0,31.0,-56.5,,,,,-78.8,-68.6,-203.0,,,200.9,,True,,False,False,,,,,False,,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,False,,,False
01005,61,50.0,,49.1,,49.0,36.0,,,,,49.6,,45.7,,,,89.0,,64.6,21.3,,,26.0,48.4,54.7,65.0,64.0,82.6,,,,,,56.4,,,,78.0,-11.0,,-11.9,,-12.0,-25.0,,,,,-11.4,,-15.3,,,,28.0,,3.6,-39.7,,,-35.0,-12.6,-6.3,4.0,3.0,21.6,,,,,,-4.6,,,,17.0,,False,,False,False,,,,,False,,False,,,,False,,True,False,,,False,False,True,True,True,False,,,,,,True,,,,False
01007,184,134.0,,126.2,,124.0,80.0,,,,,96.1,,168.1,,,,110.0,,68.6,53.7,,,140.0,141.4,144.2,159.0,138.0,113.0,,,,,,136.0,,,,167.3,-50.0,,-57.8,,-60.0,-104.0,,,,,-87.9,,-15.9,,,,-74.0,,-115.4,-130.3,,,-44.0,-42.6,-39.8,-25.0,-46.0,-71.0,,,,,,-48.0,,,,-16.7,,False,,False,False,,,,,False,,True,,,,False,,False,False,,,True,True,True,True,True,False,,,,,,True,,,,True
01009,447,463.0,,467.8,,425.0,435.0,,,,,266.5,,536.7,,,,343.0,,596.8,186.0,313.5,,468.0,435.8,439.4,556.0,435.0,455.7,,,,,438.4,408.1,,,,414.8,16.0,,20.8,,-22.0,-12.0,,,,,-180.5,,89.7,,,,-104.0,,149.8,-261.0,-133.5,,21.0,-11.2,-7.6,109.0,-12.0,8.7,,,,,-8.6,-38.9,,,,-32.2,,False,,False,True,,,,,False,,False,,,,False,,False,False,False,,False,True,True,False,True,True,,,,,True,False,,,,False
01011,27,12.0,,12.0,,14.0,0.0,,,,,25.9,,14.0,,,,35.0,,13.6,11.1,,,10.0,17.6,20.0,7.0,26.0,50.5,,,,,,14.6,,,,13.8,-15.0,,-15.0,,-13.0,-27.0,,,,,-1.1,,-13.0,,,,8.0,,-13.4,-15.9,,,-17.0,-9.4,-7.0,-20.0,-1.0,23.5,,,,,,-12.4,,,,-13.2,,True,,True,False,,,,,True,,True,,,,True,,True,False,,,False,True,True,False,True,False,,,,,,True,,,,True
01013,95,81.0,,84.8,,79.0,7.0,,,,,77.4,,105.3,,,,69.0,,112.4,47.0,,,90.0,99.3,110.7,82.0,90.0,81.9,,,,,,79.2,,,,77.2,-14.0,,-10.2,,-16.0,-88.0,,,,,-17.6,,10.3,,,,-26.0,,17.4,-48.0,,,-5.0,4.3,15.7,-13.0,-5.0,-13.1,,,,,,-15.8,,,,-17.8,,True,,False,False,,,,,False,,True,,,,False,,False,False,,,True,True,False,True,True,True,,,,,,False,,,,False
01015,834,733.0,,742.7,,729.0,758.0,,,,,511.4,,804.2,,,,654.0,,984.8,358.7,526.0,,789.0,702.7,696.1,959.0,750.0,899.5,,,,,663.8,703.8,,,,946.0,-101.0,,-91.3,,-105.0,-76.0,,,,,-322.6,,-29.8,,,,-180.0,,150.8,-475.3,-308.0,,-45.0,-131.3,-137.9,125.0,-84.0,65.5,,,,,-170.2,-130.2,,,,112.0,,True,,False,True,,,,,False,,True,,,,False,,False,False,False,,True,False,False,False,True,True,,,,,False,False,,,,False
01017,119,96.0,,98.8,,113.0,126.0,,,,,96.5,,111.1,,,,134.0,,90.3,64.4,99.0,,97.5,113.1,128.8,110.0,120.0,128.6,,,,,,95.0,,,,123.6,-23.0,,-20.2,,-6.0,7.0,,,,,-22.5,,-7.9,,,,15.0,,-28.7,-54.6,-20.0,,-21.5,-5.9,9.8,-9.0,1.0,9.6,,,,,,-24.0,,,,4.6,,True,,True,True,,,,,True,,True,,,,True,,False,False,True,,True,True,True,True,True,True,,,,,,False,,,,True
01019,91,97.0,,96.5,,97.0,82.0,,,,,67.7,,136.1,,,,132.0,,74.3,48.6,,,101.0,101.7,106.7,115.0,111.0,117.3,,,,,,94.9,,,,97.6,6.0,,5.5,,6.0,-9.0,,,,,-23.3,,45.1,,,,41.0,,-16.7,-42.4,,,10.0,10.7,15.7,24.0,20.0,26.3,,,,,,3.9,,,,6.6,,True,,False,False,,,,,False,,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,True,,,,False
