,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,1263,840.0,,1129.0,,,,384.0,,1102.3,545.4,,1160.0,,,533.5,,,-423.0,,-134.0,,,,-879.0,,-160.7,-717.6,,-103.0,,,-729.5,,,,True,,,,False,,True,False,,True,,,False,,
01003,4126,2040.0,,2638.0,,,,1187.0,,1585.8,1545.2,,2441.5,,,1208.8,,,-2086.0,,-1488.0,,,,-2939.0,,-2540.2,-2580.8,,-1684.5,,,-2917.2,,,,True,,,,False,,False,False,,True,,,False,,
01005,207,155.0,,195.0,,,,169.0,,61.3,153.8,,161.0,,,128.1,,,-52.0,,-12.0,,,,-38.0,,-145.7,-53.2,,-46.0,,,-78.9,,,,True,,,,True,,False,False,,True,,,False,,
01007,623,270.0,,267.0,,,,191.0,,277.3,225.4,,371.0,,,,,,-353.0,,-356.0,,,,-432.0,,-345.7,-397.6,,-252.0,,,,,,,False,,,,False,,True,False,,True,,,,,
01009,1673,1160.0,,1533.0,,,,595.0,,628.0,725.4,,1682.5,,,488.6,,,-513.0,,-140.0,,,,-1078.0,,-1045.0,-947.6,,9.5,,,-1184.4,,,,True,,,,False,,False,False,,True,,,False,,
01011,78,60.0,,0.0,,,,83.0,,12.3,59.2,,41.0,,,,,,-18.0,,-78.0,,,,5.0,,-65.7,-18.8,,-37.0,,,,,,,False,,,,True,,False,False,,False,,,,,
01013,326,145.0,,70.0,,,,123.0,,86.9,123.4,,228.0,,,72.7,,,-181.0,,-256.0,,,,-203.0,,-239.1,-202.6,,-98.0,,,-253.3,,,,False,,,,False,,False,False,,True,,,False,,
01015,3124,1585.0,,1636.0,,,,1206.0,,540.7,1245.6,,2351.0,,,1012.3,,,-1539.0,,-1488.0,,,,-1918.0,,-2583.3,-1878.4,,-773.0,,,-2111.7,,,,True,,,,False,,False,False,,True,,,False,,
01017,560,365.0,,432.0,,,,248.0,,59.1,305.9,,532.0,,,286.9,,,-195.0,,-128.0,,,,-312.0,,-500.9,-254.1,,-28.0,,,-273.1,,,,True,,,,False,,False,False,,True,,,False,,
01019,380,310.0,,361.0,,,,262.0,,51.2,189.4,,411.0,,,,,,-70.0,,-19.0,,,,-118.0,,-328.8,-190.6,,31.0,,,,,,,True,,,,False,,False,False,,True,,,,,
