,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,6368646.9,9166772,-2798125.1,-30.5%
Columbia_UNC-SurvCon,6263879.0,9166772,-2902893.0,-31.7%
BPagano-RtDriven,5068131.2,9166772,-4098640.8,-44.7%
JCB-PRM,4575898.7,9166772,-4590873.3,-50.1%
JHUAPL-Bucky,4222106.3,9166772,-4944665.7,-53.9%
IBF-TimeSeries,4094557.0,9166772,-5072215.0,-55.3%
COVIDhub-baseline,3750344.0,9166772,-5416428.0,-59.1%
USACE-ERDC_SEIR,3493345.8,9166772,-5673426.2,-61.9%
USC-SI_kJalpha,3457281.0,9166772,-5709491.0,-62.3%
IowaStateLW-STEM,3407566.0,9166772,-5759206.0,-62.8%
UCLA-SuEIR,2939830.9,9166772,-6226941.1,-67.9%
