,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,74911,42855.0,40543.8,41607.9,45182.0,40750.0,,45393.5,50047.0,60546.5,54842.3,,42008.0,56867.1,46896.6,52130.0,29793.0,52031.9,50413.5,45004.1,52714.8,54841.0,57601.0,,70284.8,44352.8,,36359.4,75969.4,,29650.8,44755.0,51005.5,-32056.0,-34367.2,-33303.1,-29729.0,-34161.0,,-29517.5,-24864.0,-14364.5,-20068.7,,-32903.0,-18043.9,-28014.4,-22781.0,-45118.0,-22879.1,-24497.5,-29906.9,-22196.2,-20070.0,-17310.0,,-4626.2,-30558.2,,-38551.6,1058.4,,-45260.2,-30156.0,-23905.5,False,False,True,False,,True,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,,True,True,,False,True,,False,True,True
Alaska,12244,12660.0,13539.2,12776.9,12649.0,8070.0,,11387.5,12503.0,11563.6,16527.4,,,16580.1,8923.7,13644.0,3291.0,14269.2,11914.5,12223.3,14213.1,10571.0,15133.0,,9222.7,20364.2,,15283.8,23333.2,,9265.0,13257.0,16126.2,416.0,1295.2,532.9,405.0,-4174.0,,-856.5,259.0,-680.4,4283.4,,,4336.1,-3320.3,1400.0,-8953.0,2025.2,-329.5,-20.7,1969.1,-1673.0,2889.0,,-3021.3,8120.2,,3039.8,11089.2,,-2979.0,1013.0,3882.2,False,False,True,False,,False,True,False,False,,,False,False,False,False,False,True,True,False,False,False,,False,False,,False,False,,False,False,False
Arizona,125457,82320.0,91857.8,83372.7,89138.0,84196.0,,78786.6,183335.0,128367.0,106789.1,,78850.0,102524.1,142672.9,111779.0,85832.4,140618.6,110721.0,74387.4,100218.4,121225.0,97337.0,,136189.8,60649.6,,77090.0,134776.8,,61483.9,84343.0,135289.6,-43137.0,-33599.2,-42084.3,-36319.0,-41261.0,,-46670.4,57878.0,2910.0,-18667.9,,-46607.0,-22932.9,17215.9,-13678.0,-39624.6,15161.6,-14736.0,-51069.6,-25238.6,-4232.0,-28120.0,,10732.8,-64807.4,,-48367.0,9319.8,,-63973.1,-41114.0,9832.6,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,True,False,True,True,True,,True,False,,False,True,,False,True,True
Arkansas,45088,33615.0,31124.7,33843.5,33986.0,30925.0,,33717.1,44844.0,37150.4,39602.7,,42617.0,50152.6,31063.3,40775.0,21902.4,57346.1,32107.0,31276.8,35988.8,38850.0,42880.0,,51865.4,16062.4,,36622.3,63232.2,,18018.7,32647.0,39353.8,-11473.0,-13963.3,-11244.5,-11102.0,-14163.0,,-11370.9,-244.0,-7937.6,-5485.3,,-2471.0,5064.6,-14024.7,-4313.0,-23185.6,12258.1,-12981.0,-13811.2,-9099.2,-6238.0,-2208.0,,6777.4,-29025.6,,-8465.7,18144.2,,-27069.3,-12441.0,-5734.2,False,True,True,False,,True,True,True,True,,True,True,False,True,False,False,False,False,True,True,True,,True,False,,True,False,,False,False,True
California,657618,285567.0,483645.5,293143.4,333172.0,299760.0,,289823.5,485085.0,410092.1,380567.2,,293204.0,372800.8,506744.5,332939.0,267817.0,517354.2,381739.5,333942.3,277987.0,418200.0,363543.0,,373514.3,7710.5,,338719.5,503500.5,,299876.2,269668.0,462552.2,-372051.0,-173972.5,-364474.6,-324446.0,-357858.0,,-367794.5,-172533.0,-247525.9,-277050.8,,-364414.0,-284817.2,-150873.5,-324679.0,-389801.0,-140263.8,-275878.5,-323675.7,-379631.0,-239418.0,-294075.0,,-284103.7,-649907.5,,-318898.5,-154117.5,,-357741.8,-387950.0,-195065.8,True,True,True,True,,True,True,True,True,,True,True,True,True,False,True,True,True,False,True,True,,True,False,,True,True,,True,False,True
Colorado,81315,91812.0,97355.5,92210.2,91990.0,65889.0,,89194.2,140006.0,96810.7,139254.3,,90038.0,146374.5,91333.3,109162.0,65984.3,76942.5,77687.0,78280.3,102716.5,99215.0,100567.0,,185956.8,185852.8,,99402.4,218325.7,,52252.8,82976.0,134287.9,10497.0,16040.5,10895.2,10675.0,-15426.0,,7879.2,58691.0,15495.7,57939.3,,8723.0,65059.5,10018.3,27847.0,-15330.7,-4372.5,-3628.0,-3034.7,21401.5,17900.0,19252.0,,104641.8,104537.8,,18087.4,137010.7,,-29062.2,1661.0,52972.9,False,False,False,False,,True,False,False,False,,True,False,True,False,False,True,True,True,False,False,False,,False,False,,False,False,,False,True,False
Connecticut,50201,33336.0,39495.0,34450.7,34405.0,23851.0,,32975.3,53126.0,109990.0,44307.1,,34470.0,50183.3,34809.9,42356.0,38997.6,81371.5,46137.5,27964.9,43331.2,27226.0,41022.0,,15705.7,59612.2,,42032.7,75769.8,,11470.0,21107.0,48283.8,-16865.0,-10706.0,-15750.3,-15796.0,-26350.0,,-17225.7,2925.0,59789.0,-5893.9,,-15731.0,-17.7,-15391.1,-7845.0,-11203.4,31170.5,-4063.5,-22236.1,-6869.8,-22975.0,-9179.0,,-34495.3,9411.2,,-8168.3,25568.8,,-38731.0,-29094.0,-1917.2,True,True,True,False,,False,True,False,True,,True,True,True,True,True,False,True,False,True,False,True,,False,True,,True,False,,False,False,True
Delaware,15466,10047.0,16180.0,10044.3,11171.0,10846.0,,9198.0,15384.0,11003.9,13103.4,,10349.0,12428.6,12040.9,11698.0,8118.1,18153.6,12654.5,10890.1,15499.4,14663.0,12676.0,,16311.9,3745.8,,10830.3,13734.2,,10476.0,11779.0,13352.1,-5419.0,714.0,-5421.7,-4295.0,-4620.0,,-6268.0,-82.0,-4462.1,-2362.6,,-5117.0,-3037.4,-3425.1,-3768.0,-7347.9,2687.6,-2811.5,-4575.9,33.4,-803.0,-2790.0,,845.9,-11720.2,,-4635.7,-1731.8,,-4990.0,-3687.0,-2113.9,True,False,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,,True,True,True
District of Columbia,5034,3231.0,3482.0,3246.1,3816.0,2806.0,,3116.8,5218.0,6265.2,3458.1,,3951.0,4496.5,3452.4,3615.0,4740.4,6134.9,4828.0,4797.1,,3998.0,2384.0,,4035.2,5059.2,,2450.3,6231.4,,6393.6,2929.0,4633.2,-1803.0,-1552.0,-1787.9,-1218.0,-2228.0,,-1917.2,184.0,1231.2,-1575.9,,-1083.0,-537.5,-1581.6,-1419.0,-293.6,1100.9,-206.0,-236.9,,-1036.0,-2650.0,,-998.8,25.2,,-2583.7,1197.4,,1359.6,-2105.0,-400.8,True,True,True,False,,False,True,True,True,,True,True,True,True,True,True,True,True,,True,False,,True,True,,False,True,,True,False,True
Florida,207868,160410.0,217086.8,154483.2,183668.0,162271.0,,148577.3,296879.0,205783.9,206766.2,,156544.0,199789.3,203057.6,206875.0,181134.1,270497.9,209872.0,169802.3,191738.0,219686.0,194608.0,,280184.4,180633.2,,185651.6,340716.7,,145724.2,126732.0,158246.6,-47458.0,9218.8,-53384.8,-24200.0,-45597.0,,-59290.7,89011.0,-2084.1,-1101.8,,-51324.0,-8078.7,-4810.4,-993.0,-26733.9,62629.9,2004.0,-38065.7,-16130.0,11818.0,-13260.0,,72316.4,-27234.8,,-22216.4,132848.7,,-62143.8,-81136.0,-49621.4,True,False,True,True,,False,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,,False,True,,True,False,,False,False,False
