,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,27063,25252.0,27780.2,24685.9,27369.0,24794.0,,25797.5,27951.0,24822.4,28504.6,32659.9,,31260.8,26808.0,28026.0,28893.1,29573.2,27789.0,13475.1,18586.5,33390.8,25756.0,27358.3,26609.0,31093.0,25826.0,,30342.3,19807.4,,23727.7,27730.4,24460.8,,28200.0,35900.0,26420.5,-1811.0,717.2,-2377.1,306.0,-2269.0,,-1265.5,888.0,-2240.6,1441.6,5596.9,,4197.8,-255.0,963.0,1830.1,2510.2,726.0,-13587.9,-8476.5,6327.8,-1307.0,295.3,-454.0,4030.0,-1237.0,,3279.3,-7255.6,,-3335.3,667.4,-2602.2,,1137.0,8837.0,-642.5,True,False,True,False,,True,True,False,True,False,,False,True,True,False,False,True,False,False,False,True,True,True,False,True,,False,False,,False,True,False,,True,False,True
Alaska,3191,4226.0,5160.0,4127.8,4372.0,3873.0,,5008.0,3704.0,4348.8,3808.0,4770.4,,4531.0,,,5017.7,6823.5,4652.0,2106.8,3639.5,4760.0,3827.0,4021.1,4696.3,4740.0,3785.0,,4570.1,4402.7,,4129.6,6573.7,3644.5,,4506.0,4598.4,5095.3,1035.0,1969.0,936.8,1181.0,682.0,,1817.0,513.0,1157.8,617.0,1579.4,,1340.0,,,1826.7,3632.5,1461.0,-1084.2,448.5,1569.0,636.0,830.1,1505.3,1549.0,594.0,,1379.1,1211.7,,938.6,3382.7,453.5,,1315.0,1407.4,1904.3,False,True,False,True,,False,True,False,True,False,,False,,,False,False,False,False,True,False,True,True,False,False,True,,False,False,,True,False,True,,False,False,False
Arizona,45642,43689.0,56536.8,43643.0,47193.0,43590.0,,46291.2,68507.0,47971.6,49358.2,50853.2,,49554.3,47951.0,48514.0,51406.5,53786.6,45758.0,32399.5,42572.5,58181.9,47540.5,46323.8,48068.7,47399.0,46817.0,,52282.2,22907.9,,43408.0,50661.3,36493.5,,45759.0,91238.8,55237.2,-1953.0,10894.8,-1999.0,1551.0,-2052.0,,649.2,22865.0,2329.6,3716.2,5211.2,,3912.3,2309.0,2872.0,5764.5,8144.6,116.0,-13242.5,-3069.5,12539.9,1898.5,681.8,2426.7,1757.0,1175.0,,6640.2,-22734.1,,-2234.0,5019.3,-9148.5,,117.0,45596.8,9595.2,False,False,True,False,,True,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,True,False,True,True,,False,False,,False,False,False,,True,False,False
Arkansas,15862,14870.0,21900.6,14882.0,15034.0,13149.0,,15111.3,15326.0,14175.7,15060.3,17229.1,,16747.4,15919.0,17535.0,16939.4,14036.1,15818.0,7684.6,15675.0,12931.6,14458.0,14759.3,14653.2,18149.0,13872.0,,17488.6,13872.0,,14990.6,18416.5,14044.2,,15849.0,18775.7,14538.9,-992.0,6038.6,-980.0,-828.0,-2713.0,,-750.7,-536.0,-1686.3,-801.7,1367.1,,885.4,57.0,1673.0,1077.4,-1825.9,-44.0,-8177.4,-187.0,-2930.4,-1404.0,-1102.7,-1208.8,2287.0,-1990.0,,1626.6,-1990.0,,-871.4,2554.5,-1817.8,,-13.0,2913.7,-1323.1,False,True,True,False,,True,True,False,True,False,,True,True,False,False,False,True,False,True,False,False,False,False,False,False,,False,False,,True,False,False,,True,False,False
California,294162,211235.0,273713.6,211901.2,235894.0,260988.0,,216549.6,232480.0,220983.3,267849.2,242765.6,,301782.1,173415.0,221610.0,214380.9,313858.0,,122408.0,184604.5,271793.9,274522.5,273874.0,232245.2,227257.0,229849.0,,256083.9,186739.7,,223634.5,193215.3,196078.6,,239309.0,572803.4,,-82927.0,-20448.4,-82260.8,-58268.0,-33174.0,,-77612.4,-61682.0,-73178.7,-26312.8,-51396.4,,7620.1,-120747.0,-72552.0,-79781.1,19696.0,,-171754.0,-109557.5,-22368.1,-19639.5,-20288.0,-61916.8,-66905.0,-64313.0,,-38078.1,-107422.3,,-70527.5,-100946.7,-98083.4,,-54853.0,278641.4,,True,True,True,True,,True,True,True,True,True,,True,False,True,True,True,,False,False,True,True,True,True,True,True,,True,False,,True,False,False,,True,False,
Colorado,20964,28287.0,40819.3,28613.9,27681.0,26815.0,,29580.8,29372.0,22134.6,23940.0,33214.1,,26647.2,30758.0,30872.0,33684.9,24411.5,27911.0,17555.1,27474.5,27298.9,22476.0,24270.3,26000.4,27712.0,22621.0,,28363.1,20589.3,,27609.7,44206.9,27052.4,,29034.0,38346.7,27285.4,7323.0,19855.3,7649.9,6717.0,5851.0,,8616.8,8408.0,1170.6,2976.0,12250.1,,5683.2,9794.0,9908.0,12720.9,3447.5,6947.0,-3408.9,6510.5,6334.9,1512.0,3306.3,5036.4,6748.0,1657.0,,7399.1,-374.7,,6645.7,23242.9,6088.4,,8070.0,17382.7,6321.4,False,False,True,True,,False,False,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,False,True,,True,False,True,,False,False,True
Connecticut,16021,19046.0,18568.7,18861.1,19026.0,22190.0,,19297.0,15296.0,56854.4,18442.3,14019.2,,21815.4,13487.0,20649.0,18592.8,23764.4,21999.0,14461.8,16128.0,26592.7,15299.0,16399.4,20732.8,15061.0,18626.0,,18887.7,23824.1,,19006.5,20534.0,17782.5,,17674.0,14335.7,19741.2,3025.0,2547.7,2840.1,3005.0,6169.0,,3276.0,-725.0,40833.4,2421.3,-2001.8,,5794.4,-2534.0,4628.0,2571.8,7743.4,5978.0,-1559.2,107.0,10571.7,-722.0,378.4,4711.8,-960.0,2605.0,,2866.7,7803.1,,2985.5,4513.0,1761.5,,1653.0,-1685.3,3720.2,True,True,True,False,,False,True,False,True,True,,False,True,False,True,False,False,True,True,False,True,True,False,True,True,,True,False,,True,False,True,,True,True,False
Delaware,5260,5780.0,7419.5,5757.2,6129.0,6169.0,,4908.1,6600.0,4265.5,7599.0,6493.2,,6871.5,4908.0,6335.0,5632.3,7409.9,6185.0,3066.0,5367.0,7443.9,6059.5,5458.5,6387.1,6339.0,6092.0,,6963.9,6767.2,,5891.9,5632.2,5283.7,,6208.0,5598.2,7140.1,520.0,2159.5,497.2,869.0,909.0,,-351.9,1340.0,-994.5,2339.0,1233.2,,1611.5,-352.0,1075.0,372.3,2149.9,925.0,-2194.0,107.0,2183.9,799.5,198.5,1127.1,1079.0,832.0,,1703.9,1507.2,,631.9,372.2,23.7,,948.0,338.2,1880.1,False,True,False,False,,True,False,False,False,False,,False,True,False,True,False,False,False,True,False,False,True,False,False,False,,False,False,,False,True,True,,False,True,False
District of Columbia,1699,1771.0,2048.8,1773.6,1895.0,1697.0,,1970.5,1831.0,1800.3,2585.9,2358.8,,2215.4,1606.0,2208.0,1891.6,2513.0,2177.0,1200.0,1705.0,2287.8,1899.5,1801.7,,2304.0,1560.0,,2161.4,2114.1,,1716.5,2137.4,1806.0,,1832.0,2814.3,2240.6,72.0,349.8,74.6,196.0,-2.0,,271.5,132.0,101.3,886.9,659.8,,516.4,-93.0,509.0,192.6,814.0,478.0,-499.0,6.0,588.8,200.5,102.7,,605.0,-139.0,,462.4,415.1,,17.5,438.4,107.0,,133.0,1115.3,541.6,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,,True,False,False,,False,False,False
Florida,76192,67335.0,77014.4,67980.3,70527.0,70842.0,,69839.1,96190.0,74971.5,68377.9,80330.4,,75974.4,70553.0,79116.0,75692.0,70060.0,67577.0,62333.9,60748.5,84056.3,66923.5,72157.4,73124.9,78829.0,68871.0,,78842.9,72585.2,,70013.3,85584.0,68335.1,,70527.0,97995.8,,-8857.0,822.4,-8211.7,-5665.0,-5350.0,,-6352.9,19998.0,-1220.5,-7814.1,4138.4,,-217.6,-5639.0,2924.0,-500.0,-6132.0,-8615.0,-13858.1,-15443.5,7864.3,-9268.5,-4034.6,-3067.1,2637.0,-7321.0,,2650.9,-3606.8,,-6178.7,9392.0,-7856.9,,-5665.0,21803.8,,True,True,True,True,,True,False,True,True,True,,True,True,True,True,True,True,False,False,True,False,True,True,True,True,,True,True,,True,False,True,,True,False,
