,mean_rank
LNQ-ens1,10.5
COVIDhub-ensemble,11.6
Microsoft-DeepSTIA,11.7
USC-SI_kJalpha,11.8
OliverWyman-Navigator,12.0
LANL-GrowthRate,12.0
OneQuietNight-ML,12.9
MSRA-DeepST,13.1
JHU_CSSE-DECOM,13.7
IEM_MED-CovidProject,14.2
JHUAPL-Bucky,14.6
UChicagoCHATTOPADHYAY-UnIT,14.8
CU-select,15.0
JHU_UNC_GAS-StatMechPool,15.8
CEID-Walk,15.8
COVIDhub-baseline,16.3
IowaStateLW-STEM,16.3
UCLA-SuEIR,16.4
Karlen-pypm,16.5
Google_Harvard-CPF,17.0
DDS-NBDS,17.4
Covid19Sim-Simulator,17.8
UVA-Ensemble,18.1
RobertWalraven-ESG,18.2
JCB-PRM,18.3
IQVIA_ACOE-STAN,18.3
BPagano-RtDriven,19.7
TTU-squider,20.9
CovidAnalytics-DELPHI,21.3
JHU_IDD-CovidSP,22.5
UCSB-ACTS,23.7
Wadhwani_AI-BayesOpt,29.6
