,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,52315,45192.0,52285.2,43564.0,46887.0,50577.0,,37388.6,42437.0,46126.9,51002.4,,57630.8,44943.0,48697.0,42639.7,51084.1,51403.0,23698.1,32464.0,61764.1,47291.0,47689.8,44037.7,45445.1,52486.0,53387.0,,67315.4,38610.8,,40661.8,45721.0,43844.4,,49131.0,49421.4,7530.4,-7123.0,-29.8,-8751.0,-5428.0,-1738.0,,-14926.4,-9878.0,-6188.1,-1312.6,,5315.8,-7372.0,-3618.0,-9675.3,-1230.9,-912.0,-28616.9,-19851.0,9449.1,-5024.0,-4625.2,-8277.3,-6869.9,171.0,1072.0,,15000.4,-13704.2,,-11653.2,-6594.0,-8470.6,,-3184.0,-2893.6,-44784.6,True,False,True,True,,False,False,True,True,,True,False,True,False,True,True,False,False,False,True,True,False,True,True,True,,False,False,,False,True,False,,True,True,False
Alaska,7417,9654.0,9202.4,9689.1,10187.0,7207.0,,10508.7,7649.0,8142.2,11200.5,,10993.1,,,11164.2,17381.2,10120.0,5588.9,10562.0,9710.4,10815.5,10405.4,10185.1,10273.0,9241.0,9524.0,,12862.1,9061.1,,10186.5,14082.6,9052.9,,10615.0,11520.9,1416.2,2237.0,1785.4,2272.1,2770.0,-210.0,,3091.7,232.0,725.2,3783.5,,3576.1,,,3747.2,9964.2,2703.0,-1828.1,3145.0,2293.4,3398.5,2988.4,2768.1,2856.0,1824.0,2107.0,,5445.1,1644.1,,2769.5,6665.6,1635.9,,3198.0,4103.9,-6000.8,True,False,False,True,,False,True,True,False,,False,,,False,False,False,True,False,False,False,False,False,False,True,True,,False,True,,False,False,True,,False,False,False
Arizona,89331,72252.0,97483.7,71494.5,80877.0,76851.0,,71474.5,122874.0,90903.3,125883.4,,94745.4,76012.0,78610.0,77497.0,105969.3,82891.0,59523.0,77093.5,104496.0,84841.5,82170.5,79693.0,83642.6,80077.0,80379.0,,83046.9,42414.0,,74937.8,94571.9,66338.5,,72394.0,63231.0,13464.6,-17079.0,8152.7,-17836.5,-8454.0,-12480.0,,-17856.5,33543.0,1572.3,36552.4,,5414.4,-13319.0,-10721.0,-11834.0,16638.3,-6440.0,-29808.0,-12237.5,15165.0,-4489.5,-7160.5,-9638.0,-5688.4,-9254.0,-8952.0,,-6284.1,-46917.0,,-14393.2,5240.9,-22992.5,,-16937.0,-26100.0,-75866.4,True,False,True,True,,False,False,True,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,,True,True,False,,True,False,False
Arkansas,30732,28712.0,26041.3,28320.2,29284.0,26691.0,,25456.7,30040.0,24801.9,37849.2,,28712.1,31472.0,31825.0,32010.7,28449.8,32613.0,15380.1,29696.5,34405.7,28652.0,30441.4,28292.3,28686.9,33319.0,30697.0,,40167.7,27721.6,,33008.8,37798.3,30154.3,,28311.0,28010.6,3754.1,-2020.0,-4690.7,-2411.8,-1448.0,-4041.0,,-5275.3,-692.0,-5930.1,7117.2,,-2019.9,740.0,1093.0,1278.7,-2282.2,1881.0,-15351.9,-1035.5,3673.7,-2080.0,-290.6,-2439.7,-2045.1,2587.0,-35.0,,9435.7,-3010.4,,2276.8,7066.3,-577.7,,-2421.0,-2721.4,-26977.9,False,False,True,False,,False,True,False,False,,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True,,False,False,,False,False,True,,False,False,False
California,513618,274634.0,378350.8,276009.0,328199.0,362569.0,,286157.5,339950.0,355393.6,356554.6,,448088.9,284721.0,282352.0,277438.0,385090.9,172614.0,223056.0,284311.5,386692.5,421771.0,426207.1,253969.9,266116.1,322085.0,321366.0,,305735.6,4359.5,,302167.6,337550.5,296962.3,,357385.0,370320.1,,-238984.0,-135267.2,-237609.0,-185419.0,-151049.0,,-227460.5,-173668.0,-158224.4,-157063.4,,-65529.1,-228897.0,-231266.0,-236180.0,-128527.1,-341004.0,-290562.0,-229306.5,-126925.5,-91847.0,-87410.9,-259648.1,-247501.9,-191533.0,-192252.0,,-207882.4,-509258.5,,-211450.4,-176067.5,-216655.7,,-156233.0,-143297.9,,True,True,True,True,,True,True,True,True,,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,,True,False,,True,True,True,,True,True,
Colorado,49251,64128.0,83629.4,63338.6,62453.0,62473.0,,68547.3,71942.0,67195.6,63704.0,,61405.1,74321.0,61755.0,77616.2,57481.8,55509.0,38330.6,68765.5,52062.8,58251.5,59503.9,57473.3,58224.1,61353.0,59954.0,,63183.1,45438.9,,67713.3,107061.4,65324.4,,58420.0,81048.6,10236.9,14877.0,34378.4,14087.6,13202.0,13222.0,,19296.3,22691.0,17944.6,14453.0,,12154.1,25070.0,12504.0,28365.2,8230.8,6258.0,-10920.4,19514.5,2811.8,9000.5,10252.9,8222.3,8973.1,12102.0,10703.0,,13932.1,-3812.1,,18462.3,57810.4,16073.4,,9169.0,31797.6,-39014.1,False,True,True,True,,False,False,False,True,,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,,True,True,,False,False,False,,True,False,False
Connecticut,35067,30268.0,36574.7,30047.2,30232.0,37082.0,,26931.0,26941.0,181504.4,31388.7,,18673.5,26723.0,29838.0,34333.9,35367.2,34609.0,30052.5,27728.5,51787.0,24637.0,26199.9,28135.1,28915.0,25296.0,34276.0,,28711.5,44396.1,,35769.3,41865.6,29927.0,,25528.0,38957.3,4079.8,-4799.0,1507.7,-5019.8,-4835.0,2015.0,,-8136.0,-8126.0,146437.4,-3678.3,,-16393.5,-8344.0,-5229.0,-733.1,300.2,-458.0,-5014.5,-7338.5,16720.0,-10430.0,-8867.1,-6931.9,-6152.0,-9771.0,-791.0,,-6355.5,9329.1,,702.3,6798.6,-5140.0,,-9539.0,3890.3,-30987.2,True,False,False,True,,False,False,False,True,,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,,False,False,,True,False,False,,False,True,False
Delaware,11040,8852.0,13038.0,8663.5,10275.0,10960.0,,9045.7,11653.0,8727.3,10483.7,,12993.4,8678.0,8894.0,10117.8,12237.2,10081.0,6060.3,8279.0,13034.2,11044.5,10629.9,10490.3,10742.6,10698.0,10002.0,,12111.5,12360.0,,9020.7,10318.8,8780.8,,10947.0,11817.5,2009.9,-2188.0,1998.0,-2376.5,-765.0,-80.0,,-1994.3,613.0,-2312.7,-556.3,,1953.4,-2362.0,-2146.0,-922.2,1197.2,-959.0,-4979.7,-2761.0,1994.2,4.5,-410.1,-549.7,-297.4,-342.0,-1038.0,,1071.5,1320.0,,-2019.3,-721.2,-2259.2,,-93.0,777.5,-9030.1,True,False,True,True,,True,True,False,True,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,False,,True,True,False
District of Columbia,3470,3128.0,3823.5,3119.8,3746.0,3988.0,,2971.3,3606.0,3846.8,5448.3,,4244.8,3197.0,3857.0,3862.9,3416.1,4213.0,2520.6,3037.5,4389.7,3980.0,4122.0,,,4466.0,2656.0,,4820.9,3862.4,,2892.7,4317.5,3463.3,,3720.0,3837.9,535.5,-342.0,353.5,-350.2,276.0,518.0,,-498.7,136.0,376.8,1978.3,,774.8,-273.0,387.0,392.9,-53.9,743.0,-949.4,-432.5,919.7,510.0,652.0,,,996.0,-814.0,,1350.9,392.4,,-577.3,847.5,-6.7,,250.0,367.9,-2934.5,False,False,True,False,,False,True,False,False,,False,True,False,False,True,False,False,False,False,False,False,,,False,False,,False,False,,False,False,True,,True,False,False
Florida,143527,128682.0,156100.6,132758.7,142206.0,135199.0,,126206.8,198686.0,172096.1,124814.1,,157924.1,131574.0,123488.0,155407.2,137881.7,114473.0,111652.5,128433.0,181104.8,140785.5,145937.3,157563.4,156315.8,157790.0,152374.0,,152649.3,127955.2,,146040.9,174386.3,147349.2,,140431.0,104602.2,,-14845.0,12573.6,-10768.3,-1321.0,-8328.0,,-17320.2,55159.0,28569.1,-18712.9,,14397.1,-11953.0,-20039.0,11880.2,-5645.3,-29054.0,-31874.5,-15094.0,37577.8,-2741.5,2410.3,14036.4,12788.8,14263.0,8847.0,,9122.3,-15571.8,,2513.9,30859.3,3822.2,,-3096.0,-38924.8,,True,True,True,True,,False,False,False,False,,True,True,False,True,True,False,False,False,False,True,True,True,True,True,True,,True,False,,True,False,True,,True,False,
