,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1412,648.0,,881.0,,,,,299.0,,590.2,885.0,385.3,901.0,-764.0,,-531.0,,,,,-1113.0,,-821.8,-527.0,-1026.7,-511.0,,True,,,,,False,,False,True,False,True
01003,4496,1488.0,,1348.0,,,,,922.0,,1467.6,2398.0,742.9,0.0,-3008.0,,-3148.0,,,,,-3574.0,,-3028.4,-2098.0,-3753.1,-4496.0,,False,,,,,False,,False,True,False,False
01005,235,192.0,,388.0,,,,,129.0,,142.4,236.0,258.1,84.0,-43.0,,153.0,,,,,-106.0,,-92.6,1.0,23.1,-151.0,,False,,,,,False,,False,True,True,False
01007,667,306.0,,342.0,,,,,135.0,,292.4,292.0,,358.0,-361.0,,-325.0,,,,,-532.0,,-374.6,-375.0,,-309.0,,True,,,,,False,,False,False,,True
01009,1889,1272.0,,2256.0,,,,,501.0,,1632.0,1705.0,542.8,0.0,-617.0,,367.0,,,,,-1388.0,,-257.0,-184.0,-1346.2,-1889.0,,True,,,,,False,,True,True,False,False
01011,89,60.0,,0.0,,,,,58.0,,52.4,32.0,,0.0,-29.0,,-89.0,,,,,-31.0,,-36.6,-57.0,,-89.0,,False,,,,,False,,False,False,,False
01013,350,144.0,,96.0,,,,,104.0,,92.6,121.0,133.7,67.0,-206.0,,-254.0,,,,,-246.0,,-257.4,-229.0,-216.3,-283.0,,False,,,,,False,,False,False,False,False
01015,3415,1752.0,,1778.0,,,,,988.0,,1624.4,2092.0,1129.7,0.0,-1663.0,,-1637.0,,,,,-2427.0,,-1790.6,-1323.0,-2285.3,-3415.0,,True,,,,,False,,False,True,False,False
01017,631,564.0,,998.0,,,,,193.0,,501.2,748.0,437.5,1356.0,-67.0,,367.0,,,,,-438.0,,-129.8,117.0,-193.5,725.0,,False,,,,,False,,False,False,False,False
01019,437,318.0,,418.0,,,,,216.0,,475.3,296.0,,387.0,-119.0,,-19.0,,,,,-221.0,,38.3,-141.0,,-50.0,,True,,,,,False,,True,False,,True
01021,667,378.0,,353.0,,,,,303.0,,319.8,356.0,308.4,192.0,-289.0,,-314.0,,,,,-364.0,,-347.2,-311.0,-358.6,-475.0,,False,,,,,False,,False,False,False,False
01023,66,72.0,,4.0,,,,,78.0,,29.3,30.0,,110.0,6.0,,-62.0,,,,,12.0,,-36.7,-36.0,,44.0,,False,,,,,False,,False,False,,False
01025,732,246.0,,36.0,,,,,161.0,,174.0,319.5,210.8,9.0,-486.0,,-696.0,,,,,-571.0,,-558.0,-412.5,-521.2,-723.0,,False,,,,,False,,False,True,False,False
01027,238,240.0,,211.0,,,,,94.0,,196.1,171.0,,243.0,2.0,,-27.0,,,,,-144.0,,-41.9,-67.0,,5.0,,False,,,,,False,,False,False,,False
01029,317,234.0,,102.0,,,,,128.0,,215.2,71.0,,104.0,-83.0,,-215.0,,,,,-189.0,,-101.8,-246.0,,-213.0,,False,,,,,False,,False,False,,False
01031,1171,630.0,,429.0,,,,,286.0,,444.6,627.0,451.4,295.0,-541.0,,-742.0,,,,,-885.0,,-726.4,-544.0,-719.6,-876.0,,False,,,,,False,,False,False,False,False
01033,1631,1794.0,,2692.0,,,,,673.0,,2438.1,1381.0,900.2,785.0,163.0,,1061.0,,,,,-958.0,,807.1,-250.0,-730.8,-846.0,,False,,,,,False,,False,False,False,False
01035,200,162.0,,44.0,,,,,58.0,,114.2,118.0,,64.0,-38.0,,-156.0,,,,,-142.0,,-85.8,-82.0,,-136.0,,False,,,,,False,,False,False,,False
01037,216,78.0,,99.0,,,,,54.0,,100.6,110.0,,41.0,-138.0,,-117.0,,,,,-162.0,,-115.4,-106.0,,-175.0,,True,,,,,False,,True,True,,False
01039,759,330.0,,518.0,,,,,250.0,,705.6,256.0,183.7,257.0,-429.0,,-241.0,,,,,-509.0,,-53.4,-503.0,-575.3,-502.0,,True,,,,,False,,True,False,False,False
01041,186,126.0,,39.0,,,,,66.0,,113.9,119.0,,83.0,-60.0,,-147.0,,,,,-120.0,,-72.1,-67.0,,-103.0,,False,,,,,False,,False,False,,False
01043,3051,2154.0,,1941.0,,,,,948.0,,3022.8,2992.0,928.2,631.0,-897.0,,-1110.0,,,,,-2103.0,,-28.2,-59.0,-2122.8,-2420.0,,False,,,,,False,,True,True,False,False
01045,949,726.0,,1571.0,,,,,291.0,,864.8,1173.5,356.8,380.0,-223.0,,622.0,,,,,-658.0,,-84.2,224.5,-592.2,-569.0,,False,,,,,False,,True,False,False,False
01047,610,450.0,,100.0,,,,,202.0,,310.6,741.0,250.3,588.0,-160.0,,-510.0,,,,,-408.0,,-299.4,131.0,-359.7,-22.0,,False,,,,,False,,False,True,False,True
01049,2471,1194.0,,1573.0,,,,,757.0,,1331.0,1058.0,451.2,409.0,-1277.0,,-898.0,,,,,-1714.0,,-1140.0,-1413.0,-2019.8,-2062.0,,True,,,,,False,,True,False,False,False
01051,2024,774.0,,771.0,,,,,418.0,,516.1,918.0,625.1,845.0,-1250.0,,-1253.0,,,,,-1606.0,,-1507.9,-1106.0,-1398.9,-1179.0,,False,,,,,False,,False,True,False,True
01053,553,342.0,,37.0,,,,,273.0,,253.1,458.0,212.9,507.0,-211.0,,-516.0,,,,,-280.0,,-299.9,-95.0,-340.1,-46.0,,False,,,,,False,,False,True,False,True
01055,3940,2046.0,,3345.0,,,,,984.0,,2044.5,2416.5,1232.4,675.0,-1894.0,,-595.0,,,,,-2956.0,,-1895.5,-1523.5,-2707.6,-3265.0,,True,,,,,False,,False,True,False,False
01057,628,300.0,,234.0,,,,,130.0,,198.8,410.0,,330.0,-328.0,,-394.0,,,,,-498.0,,-429.2,-218.0,,-298.0,,False,,,,,False,,False,True,,True
01059,764,750.0,,160.0,,,,,439.0,,667.8,257.0,447.9,1243.0,-14.0,,-604.0,,,,,-325.0,,-96.2,-507.0,-316.1,479.0,,False,,,,,False,,False,False,False,False
01061,457,270.0,,210.0,,,,,176.0,,342.2,476.0,,98.0,-187.0,,-247.0,,,,,-281.0,,-114.8,19.0,,-359.0,,False,,,,,False,,True,True,,False
01063,223,42.0,,0.0,,,,,41.0,,42.6,61.0,,64.0,-181.0,,-223.0,,,,,-182.0,,-180.4,-162.0,,-159.0,,False,,,,,False,,True,True,,True
01065,436,180.0,,53.0,,,,,89.0,,187.5,142.5,,55.0,-256.0,,-383.0,,,,,-347.0,,-248.5,-293.5,,-381.0,,False,,,,,False,,True,False,,False
01067,304,192.0,,61.0,,,,,83.0,,188.0,202.0,,64.0,-112.0,,-243.0,,,,,-221.0,,-116.0,-102.0,,-240.0,,False,,,,,False,,False,True,,False
01069,2042,1032.0,,1563.0,,,,,679.0,,842.1,1660.0,854.2,312.0,-1010.0,,-479.0,,,,,-1363.0,,-1199.9,-382.0,-1187.8,-1730.0,,True,,,,,False,,False,True,False,False
01071,2168,864.0,,639.0,,,,,581.0,,1025.4,671.0,390.6,381.0,-1304.0,,-1529.0,,,,,-1587.0,,-1142.6,-1497.0,-1777.4,-1787.0,,False,,,,,False,,True,False,False,False
01073,19307,8052.0,,11423.0,,,,,4593.0,,6812.0,10543.0,4037.0,5196.0,-11255.0,,-7884.0,,,,,-14714.0,,-12495.0,-8764.0,-15270.0,-14111.0,,True,,,,,False,,False,True,False,False
01075,389,138.0,,190.0,,,,,128.0,,118.8,86.0,,52.0,-251.0,,-199.0,,,,,-261.0,,-270.2,-303.0,,-337.0,,True,,,,,False,,False,False,,False
01077,2600,2676.0,,5229.0,,,,,1155.0,,5123.8,1416.0,1086.2,1359.0,76.0,,2629.0,,,,,-1445.0,,2523.8,-1184.0,-1513.8,-1241.0,,False,,,,,False,,False,False,False,False
01079,737,474.0,,553.0,,,,,356.0,,717.7,361.0,,0.0,-263.0,,-184.0,,,,,-381.0,,-19.3,-376.0,,-737.0,,True,,,,,False,,True,False,,False
01081,2383,1056.0,,1928.0,,,,,876.0,,788.2,1711.5,959.0,1289.0,-1327.0,,-455.0,,,,,-1507.0,,-1594.8,-671.5,-1424.0,-1094.0,,True,,,,,False,,False,True,False,True
