,mean_rank
LNQ-ens1,9.2
OneQuietNight-ML,10.3
LANL-GrowthRate,12.0
COVIDhub-ensemble,12.3
CU-select,12.5
JHU_UNC_GAS-StatMechPool,13.2
Microsoft-DeepSTIA,13.6
USC-SI_kJalpha,14.0
COVIDhub-baseline,14.0
Geneva-DetGrowth,14.2
CEID-Walk,14.3
UChicagoCHATTOPADHYAY-UnIT,14.5
UCLA-SuEIR,14.7
JHU_CSSE-DECOM,15.1
DDS-NBDS,15.2
Covid19Sim-Simulator,15.3
OliverWyman-Navigator,15.6
RobertWalraven-ESG,16.1
IQVIA_ACOE-STAN,16.2
IEM_MED-CovidProject,16.5
Wadhwani_AI-BayesOpt,16.9
Google_Harvard-CPF,17.8
JHUAPL-Bucky,18.5
JCB-PRM,18.6
IowaStateLW-STEM,19.7
Karlen-pypm,19.7
BPagano-RtDriven,20.9
CovidAnalytics-DELPHI,21.2
TTU-squider,22.8
JHU_IDD-CovidSP,22.9
UVA-Ensemble,24.9
UCSB-ACTS,25.3
