,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Alabama,11614,7136.0,8924.5,6995.6,6996.0,7191.0,,6632.0,3070.0,6633.1,8315.4,,5470.0,7389.3,6060.6,7527.0,2924.2,9801.8,6544.0,7328.7,7854.2,7962.0,,7695.0,924.7,6631.3,7418.2,7191.0,-4478.0,-2689.5,-4618.4,-4618.0,-4423.0,,-4982.0,-8544.0,-4980.9,-3298.6,,-6144.0,-4224.7,-5553.4,-4087.0,-8689.8,-1812.2,-5070.0,-4285.3,-3759.8,-3652.0,,-3919.0,-10689.3,-4982.7,-4195.8,-4423.0,True,False,False,True,,False,False,False,True,,False,True,False,True,False,True,False,True,True,True,,True,False,False,True,True
Alaska,1721,1329.0,3553.8,1343.9,1344.0,1037.0,,1343.9,894.0,1174.3,1617.3,,,1355.7,1656.3,1401.2,649.2,1836.3,1316.6,1352.9,1522.8,1699.0,,1376.7,582.3,1090.8,1398.2,1266.0,-392.0,1832.8,-377.1,-377.0,-684.0,,-377.1,-827.0,-546.7,-103.7,,,-365.3,-64.7,-319.8,-1071.8,115.3,-404.4,-368.1,-198.2,-22.0,,-344.3,-1138.7,-630.2,-322.8,-455.0,False,True,True,False,,True,False,False,True,,,True,True,True,False,True,False,True,True,True,,True,False,False,True,False
Arizona,6313,5481.0,9092.1,5546.8,4982.0,4943.0,,4981.8,478.0,5114.7,6472.8,,4425.0,4502.4,4292.6,4709.4,1805.0,5362.0,5122.2,6196.9,6525.7,6746.0,,6119.8,773.9,4984.5,6903.7,5858.0,-832.0,2779.1,-766.2,-1331.0,-1370.0,,-1331.2,-5835.0,-1198.3,159.8,,-1888.0,-1810.6,-2020.4,-1603.6,-4508.0,-951.0,-1190.8,-116.1,212.7,433.0,,-193.2,-5539.1,-1328.5,590.7,-455.0,False,True,False,False,,False,False,False,True,,False,False,False,False,False,False,False,True,True,True,,True,False,False,True,True
Arkansas,6896,6202.0,6165.7,6208.0,6145.0,5942.0,,6015.8,4836.0,5727.9,6507.5,,6966.0,6759.2,6198.6,6344.4,3032.2,6885.3,5350.6,6145.4,6418.2,7118.0,,6608.1,1898.4,5211.0,6083.3,6283.0,-694.0,-730.3,-688.0,-751.0,-954.0,,-880.2,-2060.0,-1168.1,-388.5,,70.0,-136.8,-697.4,-551.6,-3863.8,-10.7,-1545.4,-750.6,-477.8,222.0,,-287.9,-4997.6,-1685.0,-812.7,-613.0,False,True,False,False,,False,False,False,True,,True,True,False,True,False,True,False,False,True,True,,True,False,False,False,True
California,30070,21204.0,24521.1,21086.4,20465.0,20465.0,,21969.4,17534.0,20218.5,18882.3,,20161.0,24028.6,21076.4,21723.1,19042.7,23286.8,15413.2,18124.9,22773.6,22025.0,,17839.5,0.0,18833.8,23672.5,21413.0,-8866.0,-5548.9,-8983.6,-9605.0,-9605.0,,-8100.6,-12536.0,-9851.5,-11187.7,,-9909.0,-6041.4,-8993.6,-8346.9,-11027.3,-6783.2,-14656.8,-11945.1,-7296.4,-8045.0,,-12230.5,-30070.0,-11236.2,-6397.5,-8657.0,True,False,False,False,,True,False,False,False,,False,True,False,True,False,True,False,False,True,True,,False,False,False,True,True
Colorado,9031,6728.0,7659.9,6653.5,6653.0,7315.0,,6034.8,6899.0,6843.4,8169.1,,5575.0,5471.9,5184.6,6713.1,5807.7,6961.6,6636.9,7595.3,6858.4,8414.0,,8392.9,3259.9,5973.1,7300.9,7350.0,-2303.0,-1371.1,-2377.5,-2378.0,-1716.0,,-2996.2,-2132.0,-2187.6,-861.9,,-3456.0,-3559.1,-3846.4,-2317.9,-3223.3,-2069.4,-2394.1,-1435.7,-2172.6,-617.0,,-638.1,-5771.1,-3057.9,-1730.1,-1681.0,True,False,False,True,,False,True,True,True,,False,False,False,False,False,True,False,True,True,True,,True,False,False,True,True
Connecticut,3222,2792.0,2029.1,2777.9,2269.0,3242.0,,2269.3,812.0,8130.8,3322.6,,2103.0,1973.3,2073.9,3219.1,2765.7,3706.3,1097.1,2312.9,2975.8,2851.0,,2125.1,2482.7,2533.6,1696.3,2532.0,-430.0,-1192.9,-444.1,-953.0,20.0,,-952.7,-2410.0,4908.8,100.6,,-1119.0,-1248.7,-1148.1,-2.9,-456.3,484.3,-2124.9,-909.1,-246.2,-371.0,,-1096.9,-739.3,-688.4,-1525.7,-690.0,False,False,False,True,,False,False,False,True,,False,False,False,True,False,False,False,False,True,True,,False,False,False,False,False
Delaware,905,944.0,745.2,915.5,898.0,988.0,,867.6,1098.0,1321.9,940.6,,715.0,971.4,780.0,927.1,728.3,1068.3,898.4,1010.5,1118.4,1006.0,,880.6,141.1,856.6,841.5,961.0,39.0,-159.8,10.5,-7.0,83.0,,-37.4,193.0,416.9,35.6,,-190.0,66.4,-125.0,22.1,-176.7,163.3,-6.6,105.5,213.4,101.0,,-24.4,-763.9,-48.4,-63.5,56.0,False,True,True,False,,True,False,False,True,,False,False,False,True,False,False,True,False,False,False,,True,False,False,False,False
District of Columbia,372,416.0,420.7,427.8,402.0,387.0,,413.9,83.0,419.2,505.3,,355.0,339.1,366.6,428.9,367.2,524.3,344.7,401.5,,543.0,,582.0,194.5,366.7,,498.0,44.0,48.7,55.8,30.0,15.0,,41.9,-289.0,47.2,133.3,,-17.0,-32.9,-5.4,56.9,-4.8,152.3,-27.3,29.5,,171.0,,210.0,-177.5,-5.3,,126.0,False,False,True,True,,True,False,False,False,,True,True,True,False,True,False,True,True,,False,,False,False,True,,False
Florida,23770,23560.0,22717.3,24179.3,19722.0,27887.0,,18258.7,4425.0,17527.9,22895.5,,16504.0,18379.9,16409.8,20347.8,13430.5,14941.0,18742.8,22396.3,18400.7,24480.0,,22428.5,5402.6,21052.2,25384.0,20793.0,-210.0,-1052.7,409.3,-4048.0,4117.0,,-5511.3,-19345.0,-6242.1,-874.5,,-7266.0,-5390.1,-7360.2,-3422.2,-10339.5,-8829.0,-5027.2,-1373.7,-5369.3,710.0,,-1341.5,-18367.4,-2717.8,1614.0,-2977.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
