,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,230,162.0,217.5,,146.0,177.0,,,,,134.0,,118.5,80.9,,83.7,135.7,118.0,,149.7,,145.4,,,70.0,217.1,-68.0,-12.5,,-84.0,-53.0,,,,,-96.0,,-111.5,-149.1,,-146.3,-94.3,-112.0,,-80.3,,-84.6,,,-160.0,-12.9,True,,False,True,,,,,False,,False,False,,False,False,False,,False,,False,,,False,True
01003,589,1713.0,1713.9,,1168.0,1462.0,,,,,515.0,,1910.7,957.1,,1297.8,721.9,3125.0,,426.4,,1359.6,2108.0,,32.0,323.6,1124.0,1124.9,,579.0,873.0,,,,,-74.0,,1321.7,368.1,,708.8,132.9,2536.0,,-162.6,,770.6,1519.0,,-557.0,-265.4,False,,True,True,,,,,True,,False,True,,True,True,False,,True,,True,False,,True,True
01005,111,117.0,33.2,,58.0,45.0,,,,,58.0,,71.2,39.0,,65.5,72.7,194.0,,15.7,,66.4,,,45.0,534.1,6.0,-77.8,,-53.0,-66.0,,,,,-53.0,,-39.8,-72.0,,-45.5,-38.3,83.0,,-95.3,,-44.6,,,-66.0,423.1,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01007,150,72.0,77.3,,72.0,21.0,,,,,60.0,,76.4,39.4,,56.9,80.1,63.0,,95.1,,55.8,,,48.0,134.4,-78.0,-72.7,,-78.0,-129.0,,,,,-90.0,,-73.6,-110.6,,-93.1,-69.9,-87.0,,-54.9,,-94.2,,,-102.0,-15.6,True,,False,False,,,,,False,,True,False,,False,True,False,,True,,False,,,False,True
01009,270,132.0,101.3,,103.0,73.0,,,,,184.0,,100.8,122.3,,67.2,104.7,89.0,,16.0,,111.7,,,30.0,452.6,-138.0,-168.7,,-167.0,-197.0,,,,,-86.0,,-169.2,-147.7,,-202.8,-165.3,-181.0,,-254.0,,-158.3,,,-240.0,182.6,False,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,False
01011,35,27.0,29.6,,25.0,4.0,,,,,31.0,,25.3,15.5,,3.2,20.6,21.0,,13.8,,25.4,,,3.0,53.3,-8.0,-5.4,,-10.0,-31.0,,,,,-4.0,,-9.7,-19.5,,-31.8,-14.4,-14.0,,-21.2,,-9.6,,,-32.0,18.3,True,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,False
01013,84,36.0,28.9,,31.0,0.0,,,,,49.0,,26.5,20.3,,9.2,32.2,22.0,,65.5,,33.6,,,7.0,77.1,-48.0,-55.1,,-53.0,-84.0,,,,,-35.0,,-57.5,-63.7,,-74.8,-51.8,-62.0,,-18.5,,-50.4,,,-77.0,-6.9,False,,False,False,,,,,True,,False,False,,False,False,False,,True,,False,,,False,True
01015,907,435.0,486.4,,346.0,205.0,,,,,408.0,,346.2,372.6,,320.9,359.8,300.0,,240.8,,325.6,,,99.0,618.2,-472.0,-420.6,,-561.0,-702.0,,,,,-499.0,,-560.8,-534.4,,-586.1,-547.2,-607.0,,-666.2,,-581.4,,,-808.0,-288.8,True,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,True
01017,146,120.0,214.4,,68.0,122.0,,,,,79.0,,61.6,71.8,,51.3,72.7,41.0,,11.7,,65.4,,,35.0,534.6,-26.0,68.4,,-78.0,-24.0,,,,,-67.0,,-84.4,-74.2,,-94.7,-73.3,-105.0,,-134.3,,-80.6,,,-111.0,388.6,False,,False,True,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01019,94,93.0,86.1,,80.0,136.0,,,,,84.0,,80.2,67.4,,47.3,68.8,81.0,,12.5,,78.5,,,36.0,191.0,-1.0,-7.9,,-14.0,42.0,,,,,-10.0,,-13.8,-26.6,,-46.7,-25.2,-13.0,,-81.5,,-15.5,,,-58.0,97.0,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01021,229,165.0,233.0,,126.0,107.0,,,,,126.0,,145.5,114.1,,117.8,170.0,138.0,,58.1,,113.7,,,91.0,351.7,-64.0,4.0,,-103.0,-122.0,,,,,-103.0,,-83.5,-114.9,,-111.2,-59.0,-91.0,,-170.9,,-115.3,,,-138.0,122.7,True,,False,False,,,,,False,,False,False,,False,True,False,,False,,False,,,False,False
01023,29,42.0,40.2,,37.0,18.0,,,,,40.0,,30.2,15.8,,18.8,40.5,12.0,,159.6,,36.5,,,34.0,23.5,13.0,11.2,,8.0,-11.0,,,,,11.0,,1.2,-13.2,,-10.2,11.5,-17.0,,130.6,,7.5,,,5.0,-5.5,True,,True,True,,,,,True,,True,False,,True,True,False,,False,,True,,,True,True
01025,200,156.0,132.8,,126.0,111.0,,,,,108.0,,107.6,38.7,,126.3,138.5,119.0,,138.9,,140.5,,,75.0,127.8,-44.0,-67.2,,-74.0,-89.0,,,,,-92.0,,-92.4,-161.3,,-73.7,-61.5,-81.0,,-61.1,,-59.5,,,-125.0,-72.2,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01027,133,69.0,65.8,,47.0,96.0,,,,,34.0,,48.9,34.2,,23.1,60.2,61.0,,17.5,,40.7,,,34.0,126.5,-64.0,-67.2,,-86.0,-37.0,,,,,-99.0,,-84.1,-98.8,,-109.9,-72.8,-72.0,,-115.5,,-92.3,,,-99.0,-6.5,False,,False,True,,,,,False,,False,False,,False,False,False,,False,,False,,,False,True
01029,132,132.0,136.4,,98.0,100.0,,,,,48.0,,182.8,32.6,,57.7,100.5,142.0,,27.2,,82.7,,,147.0,199.0,0.0,4.4,,-34.0,-32.0,,,,,-84.0,,50.8,-99.4,,-74.3,-31.5,10.0,,-104.8,,-49.3,,,15.0,67.0,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01031,311,312.0,175.1,,220.0,350.0,,,,,130.0,,191.2,205.3,,237.1,216.2,350.0,,262.6,,231.2,,,346.0,348.0,1.0,-135.9,,-91.0,39.0,,,,,-181.0,,-119.8,-105.7,,-73.9,-94.8,39.0,,-48.4,,-79.8,,,35.0,37.0,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01033,283,228.0,243.7,,200.0,285.0,,,,,273.0,,156.4,96.6,,131.6,200.5,241.0,,120.3,,232.3,,,208.0,155.0,-55.0,-39.3,,-83.0,2.0,,,,,-10.0,,-126.6,-186.4,,-151.4,-82.5,-42.0,,-162.7,,-50.7,,,-75.0,-128.0,True,,False,True,,,,,True,,False,False,,False,False,True,,False,,True,,,False,False
01035,22,15.0,28.9,,11.0,0.0,,,,,24.0,,10.9,14.2,,0.5,12.3,17.0,,1.9,,12.8,,,3.0,50.6,-7.0,6.9,,-11.0,-22.0,,,,,2.0,,-11.1,-7.8,,-21.5,-9.7,-5.0,,-20.1,,-9.2,,,-19.0,28.6,True,,False,False,,,,,True,,False,False,,False,False,True,,False,,False,,,False,False
01037,24,24.0,33.8,,16.0,4.0,,,,,15.0,,16.1,14.4,,6.4,17.2,7.0,,16.7,,24.3,,,11.0,155.3,0.0,9.8,,-8.0,-20.0,,,,,-9.0,,-7.9,-9.6,,-17.6,-6.8,-17.0,,-7.3,,0.3,,,-13.0,131.3,False,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01039,263,228.0,296.9,,147.0,203.0,,,,,125.0,,154.9,104.1,,142.6,140.6,184.0,,24.0,,124.8,,,80.0,1765.2,-35.0,33.9,,-116.0,-60.0,,,,,-138.0,,-108.1,-158.9,,-120.4,-122.4,-79.0,,-239.0,,-138.2,,,-183.0,1502.2,True,,False,False,,,,,False,,False,False,,False,False,False,,False,,False,,,False,False
01041,61,27.0,43.5,,26.0,6.0,,,,,33.0,,22.1,30.9,,3.6,23.5,19.0,,31.4,,44.9,,,7.0,65.2,-34.0,-17.5,,-35.0,-55.0,,,,,-28.0,,-38.9,-30.1,,-57.4,-37.5,-42.0,,-29.6,,-16.1,,,-54.0,4.2,True,,False,False,,,,,True,,False,True,,False,False,False,,True,,True,,,False,True
01043,494,141.0,149.1,,121.0,121.0,,,,,348.0,,97.7,114.5,,65.1,135.3,90.0,,76.4,,112.7,,,43.0,249.1,-353.0,-344.9,,-373.0,-373.0,,,,,-146.0,,-396.3,-379.5,,-428.9,-358.7,-404.0,,-417.6,,-381.3,,,-451.0,-244.9,True,,False,False,,,,,True,,False,False,,False,False,False,,False,,False,,,False,True
