,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01045,449,1200.0,3765.0,,,,,469.0,,631.0,189.2,,1145.5,195.2,,6.1,668.5,,,751.0,3316.0,,,,,20.0,,182.0,-259.8,,696.5,-253.8,,-442.9,219.5,,,False,,,,,True,,True,True,,True,True,,True,True,,
01047,130,1315.0,602.0,,,,,452.0,,485.2,70.5,,884.0,124.0,,160.6,591.9,,,1185.0,472.0,,,,,322.0,,355.2,-59.5,,754.0,-6.0,,30.6,461.9,,,True,,,,,True,,True,True,,True,True,,True,True,,
01049,1078,1020.0,105.0,,,,,863.0,,151.4,194.0,,836.1,67.4,,101.3,750.9,,,-58.0,-973.0,,,,,-215.0,,-926.6,-884.0,,-241.9,-1010.6,,-976.6,-327.1,,,False,,,,,False,,False,False,,False,False,,False,False,,
01051,666,1655.0,5942.0,,,,,851.0,,468.1,193.7,,917.3,377.1,,264.8,1123.8,,,989.0,5276.0,,,,,185.0,,-197.9,-472.3,,251.3,-288.9,,-401.2,457.8,,,False,,,,,True,,True,True,,True,True,,True,True,,
01053,182,1345.0,7.0,,,,,468.0,,611.7,119.9,,686.4,142.9,,84.9,572.2,,,1163.0,-175.0,,,,,286.0,,429.7,-62.1,,504.4,-39.1,,-97.1,390.2,,,True,,,,,True,,True,True,,True,True,,True,True,,
01055,960,2395.0,2252.0,,,,,1092.0,,767.2,458.0,,2302.3,598.7,,321.7,1090.3,,,1435.0,1292.0,,,,,132.0,,-192.8,-502.0,,1342.3,-361.3,,-638.3,130.3,,,True,,,,,True,,True,True,,True,True,,True,True,,
01057,148,385.0,119.0,,,,,149.0,,463.6,93.7,,334.2,98.7,,66.1,,,,237.0,-29.0,,,,,1.0,,315.6,-54.3,,186.2,-49.3,,-81.9,,,,True,,,,,True,,False,True,,True,True,,True,,,
01059,321,495.0,249.0,,,,,564.0,,96.1,80.6,,183.5,248.2,,131.0,319.3,,,174.0,-72.0,,,,,243.0,,-224.9,-240.4,,-137.5,-72.8,,-190.0,-1.7,,,True,,,,,False,,False,False,,True,True,,False,True,,
01061,337,760.0,1159.0,,,,,272.0,,558.9,164.0,,465.1,96.1,,85.7,,,,423.0,822.0,,,,,-65.0,,221.9,-173.0,,128.1,-240.9,,-251.3,,,,False,,,,,True,,True,True,,True,True,,True,,,
01063,39,90.0,0.0,,,,,40.0,,16.2,13.5,,0.4,0.0,,9.6,,,,51.0,-39.0,,,,,1.0,,-22.8,-25.5,,-38.6,-39.0,,-29.4,,,,True,,,,,True,,True,True,,True,True,,True,,,
