,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,504,366.0,195.0,,,,,249.0,,479.8,140.4,242.9,,228.9,299.7,,,-138.0,-309.0,,,,,-255.0,,-24.2,-363.6,-261.1,,-275.1,-204.3,,,False,,,,,False,,True,False,False,,False,False,,
01003,1727,1260.0,9179.0,,,,,631.0,,1175.2,1166.1,1065.0,,1121.7,1316.5,,,-467.0,7452.0,,,,,-1096.0,,-551.8,-560.9,-662.0,,-605.3,-410.5,,,False,,,,,False,,False,False,False,,False,True,,
01005,241,24.0,0.0,,,,,150.0,,195.3,63.9,3.7,,3.3,,,,-217.0,-241.0,,,,,-91.0,,-45.7,-177.1,-237.3,,-237.7,,,,False,,,,,True,,True,True,False,,False,,,
01007,243,156.0,26.0,,,,,114.0,,406.9,105.3,43.0,,58.0,,,,-87.0,-217.0,,,,,-129.0,,163.9,-137.7,-200.0,,-185.0,,,,False,,,,,False,,False,False,False,,False,,,
01009,475,312.0,869.0,,,,,217.0,,560.4,349.9,217.8,,123.4,209.1,,,-163.0,394.0,,,,,-258.0,,85.4,-125.1,-257.2,,-351.6,-265.9,,,False,,,,,False,,True,True,False,,False,False,,
01011,70,48.0,,,,,,159.0,,51.4,24.5,22.3,,12.4,,,,-22.0,,,,,,89.0,,-18.6,-45.5,-47.7,,-57.6,,,,,,,,,False,,True,False,False,,False,,,
01013,121,72.0,128.0,,,,,96.0,,282.0,31.1,6.2,,38.0,,,,-49.0,7.0,,,,,-25.0,,161.0,-89.9,-114.8,,-83.0,,,,True,,,,,True,,False,False,False,,False,,,
01015,1564,1086.0,8749.0,,,,,542.0,,1187.8,1028.2,838.0,,160.7,544.2,,,-478.0,7185.0,,,,,-1022.0,,-376.2,-535.8,-726.0,,-1403.3,-1019.8,,,False,,,,,False,,True,False,False,,False,False,,
01017,262,60.0,55.0,,,,,132.0,,234.5,111.1,5.8,,13.0,,,,-202.0,-207.0,,,,,-130.0,,-27.5,-150.9,-256.2,,-249.0,,,,False,,,,,True,,True,True,False,,False,,,
01019,230,168.0,80.0,,,,,87.0,,319.7,136.2,169.1,,31.9,,,,-62.0,-150.0,,,,,-143.0,,89.7,-93.8,-60.9,,-198.1,,,,False,,,,,False,,False,False,True,,False,,,
