,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,70,85.0,,92.5,,70.0,70.0,,,,,,96.9,,50.0,,65.8,37.7,,55.4,80.5,,,109.0,75.0,,,,78.8,,,99.0,72.8,15.0,,22.5,,0.0,0.0,,,,,,26.9,,-20.0,,-4.2,-32.3,,-14.6,10.5,,,39.0,5.0,,,,8.8,,,29.0,2.8,,False,,True,True,,,,,,False,,False,,True,False,,True,True,,,False,True,,,,True,,,False,True
01003,292,160.0,,201.9,,152.0,158.0,,,,,,441.2,,209.0,,122.8,122.5,,125.1,146.3,,,142.0,261.0,,,,166.2,105.0,,0.0,303.8,-132.0,,-90.1,,-140.0,-134.0,,,,,,149.2,,-83.0,,-169.2,-169.5,,-166.9,-145.7,,,-150.0,-31.0,,,,-125.8,-187.0,,-292.0,11.8,,True,,False,False,,,,,,False,,True,,False,False,,False,False,,,False,True,,,,True,False,,False,True
01005,52,35.0,,31.5,,23.0,25.0,,,,,,37.5,,21.0,,20.3,16.5,,18.8,33.2,,,38.0,0.0,,,,,,,32.0,56.8,-17.0,,-20.5,,-29.0,-27.0,,,,,,-14.5,,-31.0,,-31.7,-35.5,,-33.2,-18.8,,,-14.0,-52.0,,,,,,,-20.0,4.8,,False,,False,False,,,,,,True,,False,,False,False,,False,False,,,True,False,,,,,,,False,True
01007,56,49.0,,45.9,,39.0,29.0,,,,,,28.9,,25.0,,40.7,12.4,,36.8,49.9,,,68.0,34.0,,,,,,,66.0,23.5,-7.0,,-10.1,,-17.0,-27.0,,,,,,-27.1,,-31.0,,-15.3,-43.6,,-19.2,-6.1,,,12.0,-22.0,,,,,,,10.0,-32.5,,False,,False,False,,,,,,False,,False,,False,False,,False,True,,,False,False,,,,,,,False,False
01009,110,103.0,,112.6,,94.0,96.0,,,,,,100.3,,73.0,,72.1,30.7,,91.4,117.2,,,123.0,120.0,,,,93.7,,,75.0,118.2,-7.0,,2.6,,-16.0,-14.0,,,,,,-9.7,,-37.0,,-37.9,-79.3,,-18.6,7.2,,,13.0,10.0,,,,-16.3,,,-35.0,8.2,,True,,False,False,,,,,,False,,False,,False,False,,False,False,,,False,False,,,,False,,,False,False
01011,15,11.0,,11.0,,8.0,0.0,,,,,,20.8,,9.0,,8.5,5.8,,3.2,7.8,,,12.0,9.0,,,,,,,0.0,13.1,-4.0,,-4.0,,-7.0,-15.0,,,,,,5.8,,-6.0,,-6.5,-9.2,,-11.8,-7.2,,,-3.0,-6.0,,,,,,,-15.0,-1.9,,True,,False,False,,,,,,False,,False,,False,False,,False,False,,,True,False,,,,,,,False,True
01013,16,38.0,,41.8,,29.0,0.0,,,,,,24.1,,19.0,,39.6,8.0,,20.7,37.2,,,46.0,20.0,,,,,,,63.0,17.6,22.0,,25.8,,13.0,-16.0,,,,,,8.1,,3.0,,23.6,-8.0,,4.7,21.2,,,30.0,4.0,,,,,,,47.0,1.6,,False,,True,True,,,,,,True,,True,,False,True,,True,True,,,False,True,,,,,,,False,True
01015,516,243.0,,254.0,,228.0,293.0,,,,,,321.1,,145.0,,163.0,86.9,,187.6,227.6,,,295.0,214.0,,,,236.7,,,0.0,228.9,-273.0,,-262.0,,-288.0,-223.0,,,,,,-194.9,,-371.0,,-353.0,-429.1,,-328.4,-288.4,,,-221.0,-302.0,,,,-279.3,,,-516.0,-287.1,,True,,False,True,,,,,,True,,False,,False,False,,False,False,,,True,False,,,,False,,,False,False
01017,86,24.0,,31.9,,24.0,44.0,,,,,,31.7,,29.0,,33.0,18.7,,4.6,21.3,,,31.0,2.0,,,,21.4,,,39.0,58.2,-62.0,,-54.1,,-62.0,-42.0,,,,,,-54.3,,-57.0,,-53.0,-67.3,,-81.4,-64.7,,,-55.0,-84.0,,,,-64.6,,,-47.0,-27.8,,True,,False,True,,,,,,True,,True,,True,False,,False,False,,,True,False,,,,False,,,True,True
01019,26,47.0,,46.0,,35.0,42.0,,,,,,29.5,,32.0,,35.4,17.3,,16.3,34.7,,,52.0,22.0,,,,,,,40.0,43.8,21.0,,20.0,,9.0,16.0,,,,,,3.5,,6.0,,9.4,-8.7,,-9.7,8.7,,,26.0,-4.0,,,,,,,14.0,17.8,,True,,True,True,,,,,,True,,True,,True,True,,True,True,,,False,True,,,,,,,True,True
