,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,150,160.0,193.6,,137.0,117.0,,,,,263.3,,,94.0,,129.5,45.6,,116.3,135.7,,149.0,399.0,,,,150.0,,,,129.0,163.9,,10.0,43.6,,-13.0,-33.0,,,,,113.3,,,-56.0,,-20.5,-104.4,,-33.7,-14.3,,-1.0,249.0,,,,0.0,,,,-21.0,13.9,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,True,False,,,,True,,,,False,False,
01003,447,284.0,281.5,,289.0,380.0,,,,,961.2,,,403.0,,253.1,419.7,,144.8,291.9,,,670.0,,,,242.2,426.0,,,0.0,288.8,,-163.0,-165.5,,-158.0,-67.0,,,,,514.2,,,-44.0,,-193.9,-27.3,,-302.2,-155.1,,,223.0,,,,-204.8,-21.0,,,-447.0,-158.2,,False,,True,True,,,,,False,,,True,,False,True,,False,True,,,False,,,,False,True,,,False,True,
01005,90,42.0,14.2,,38.0,34.0,,,,,110.4,,,39.0,,52.4,27.2,,13.9,35.0,,44.0,253.0,,,,,,,,54.0,108.3,,-48.0,-75.8,,-52.0,-56.0,,,,,20.4,,,-51.0,,-37.6,-62.8,,-76.1,-55.0,,-46.0,163.0,,,,,,,,-36.0,18.3,,False,,False,False,,,,,True,,,False,,True,False,,False,False,,True,False,,,,,,,,True,True,
01007,102,96.0,88.8,,81.0,44.0,,,,,121.1,,,42.0,,82.5,25.8,,74.6,84.3,,129.0,242.0,,,,,,,,113.0,64.3,,-6.0,-13.2,,-21.0,-58.0,,,,,19.1,,,-60.0,,-19.5,-76.2,,-27.4,-17.7,,27.0,140.0,,,,,,,,11.0,-37.7,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,False,False,,,,,,,,False,False,
01009,221,98.0,91.6,,94.0,57.0,,,,,211.6,,,142.0,,78.8,57.4,,80.1,119.8,,85.0,180.0,,,,94.1,,,,55.0,202.8,327.1,-123.0,-129.4,,-127.0,-164.0,,,,,-9.4,,,-79.0,,-142.2,-163.6,,-140.9,-101.2,,-136.0,-41.0,,,,-126.9,,,,-166.0,-18.2,106.1,False,,False,False,,,,,True,,,True,,False,False,,False,True,,False,True,,,,False,,,,False,True,True
01011,25,20.0,16.8,,17.0,0.0,,,,,79.5,,,16.0,,17.8,8.7,,6.0,19.0,,12.0,59.0,,,,,,,,0.0,24.6,,-5.0,-8.2,,-8.0,-25.0,,,,,54.5,,,-9.0,,-7.2,-16.3,,-19.0,-6.0,,-13.0,34.0,,,,,,,,-25.0,-0.4,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,False,False,,,,,,,,False,True,
01013,55,56.0,64.8,,38.0,0.0,,,,,123.1,,,33.0,,38.8,11.3,,37.2,57.1,,65.0,187.0,,,,,,,,57.0,32.5,,1.0,9.8,,-17.0,-55.0,,,,,68.1,,,-22.0,,-16.2,-43.7,,-17.8,2.1,,10.0,132.0,,,,,,,,2.0,-22.5,,False,,False,False,,,,,False,,,False,,False,False,,False,False,,False,False,,,,,,,,False,False,
01015,744,326.0,285.5,,289.0,308.0,,,,,509.2,,,272.0,,299.7,228.7,,205.2,270.9,,278.0,672.0,,,,328.1,,,,13.0,329.6,,-418.0,-458.5,,-455.0,-436.0,,,,,-234.8,,,-472.0,,-444.3,-515.3,,-538.8,-473.1,,-466.0,-72.0,,,,-415.9,,,,-731.0,-414.4,,False,,False,False,,,,,True,,,False,,False,False,,False,False,,False,True,,,,True,,,,False,True,
01017,108,76.0,61.3,,66.0,121.0,,,,,296.9,,,48.0,,80.4,36.7,,36.8,58.3,,38.0,461.0,,,,53.0,,,,112.0,98.0,,-32.0,-46.7,,-42.0,13.0,,,,,188.9,,,-60.0,,-27.6,-71.3,,-71.2,-49.7,,-70.0,353.0,,,,-55.0,,,,4.0,-10.0,,False,,False,True,,,,,False,,,False,,True,False,,False,False,,False,False,,,,False,,,,True,True,
01019,67,54.0,38.9,,57.0,59.0,,,,,109.2,,,61.0,,55.7,33.1,,36.0,58.0,,45.0,121.0,,,,,,,,50.0,86.8,,-13.0,-28.1,,-10.0,-8.0,,,,,42.2,,,-6.0,,-11.3,-33.9,,-31.0,-9.0,,-22.0,54.0,,,,,,,,-17.0,19.8,,False,,True,True,,,,,False,,,True,,True,False,,False,True,,False,False,,,,,,,,False,False,
