,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,1171834.0,1206026,-34192.0,-2.8%
OliverWyman-Navigator,1106638.0,1206026,-99388.0,-8.2%
CU-select,1045068.0,1206026,-160958.0,-13.3%
JCB-PRM,1033832.4,1206026,-172193.6,-14.3%
UMich-RidgeTfReg,982250.0,1206026,-223776.0,-18.6%
DDS-NBDS,949937.0,1206026,-256089.0,-21.2%
Covid19Sim-Simulator,936013.4,1206026,-270012.6,-22.4%
QJHong-Encounter,928698.6,1206026,-277327.4,-23.0%
CEID-Walk,927924.6,1206026,-278101.4,-23.1%
LNQ-ens1,926753.6,1206026,-279272.4,-23.2%
COVIDhub-baseline,907614.0,1206026,-298412.0,-24.7%
USC-SI_kJalpha,904942.0,1206026,-301084.0,-25.0%
COVIDhub-ensemble,889058.0,1206026,-316968.0,-26.3%
JHUAPL-Bucky,846706.5,1206026,-359319.5,-29.8%
JHU_IDD-CovidSP,838874.2,1206026,-367151.8,-30.4%
Karlen-pypm,821168.8,1206026,-384857.2,-31.9%
IowaStateLW-STEM,762939.0,1206026,-443087.0,-36.7%
UCLA-SuEIR,713484.9,1206026,-492541.1,-40.8%
RobertWalraven-ESG,691102.8,1206026,-514923.2,-42.7%
LANL-GrowthRate,650817.7,1206026,-555208.3,-46.0%
TTU-squider,471271.9,1206026,-734754.1,-60.9%
CovidAnalytics-DELPHI,469551.0,1206026,-736475.0,-61.1%
JHU_CSSE-DECOM,,1206026,,
