,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,52917,55398.0,,65378.8,23844.0,,45354.0,45802.9,18070.8,10304.7,28389.7,17582.2,24878.0,2481.0,,12461.8,-29073.0,,-7563.0,-7114.1,-34846.2,-42612.3,-24527.3,-35334.8,-28039.0,,False,False,,False,False,False,False,False,False,False
Alaska,6963,3465.0,,4194.9,2614.0,,,2759.4,2844.9,2685.0,2039.8,6480.7,2927.0,-3498.0,,-2768.1,-4349.0,,,-4203.6,-4118.1,-4278.0,-4923.2,-482.3,-4036.0,,True,False,,,False,False,False,False,True,False
Arizona,31255,29610.0,,22497.4,9896.0,,23724.0,14312.2,15635.3,3845.2,27742.5,18328.4,25668.0,-1645.0,,-8757.6,-21359.0,,-7531.0,-16942.8,-15619.7,-27409.8,-3512.5,-12926.6,-5587.0,,False,False,,False,False,False,False,False,False,False
Arkansas,40628,30184.0,,25476.5,30216.0,,31838.0,21724.0,20797.5,17053.1,23628.2,29834.2,18735.0,-10444.0,,-15151.5,-10412.0,,-8790.0,-18904.0,-19830.5,-23574.9,-16999.8,-10793.8,-21893.0,,False,True,,True,False,False,False,False,False,False
California,170149,232932.0,,141549.3,167787.0,,359538.0,163505.1,102365.9,77269.6,146236.8,116173.3,113146.0,62783.0,,-28599.7,-2362.0,,189389.0,-6643.9,-67783.1,-92879.4,-23912.2,-53975.7,-57003.0,,True,True,,False,True,False,False,True,True,True
Colorado,34414,13622.0,,11856.5,1099.0,,11528.0,10658.9,7965.9,7199.7,7248.1,15085.1,11332.0,-20792.0,,-22557.5,-33315.0,,-22886.0,-23755.1,-26448.1,-27214.3,-27165.9,-19328.9,-23082.0,,False,False,,False,False,False,False,False,True,False
Connecticut,12687,6090.0,,3542.5,61.0,,5252.0,5988.9,1666.0,619.5,9210.6,4749.2,3939.0,-6597.0,,-9144.5,-12626.0,,-7435.0,-6698.1,-11021.0,-12067.5,-3476.4,-7937.8,-8748.0,,False,False,,False,False,False,False,True,False,False
Delaware,5955,3801.0,,3969.7,32.0,,3083.0,2850.9,2657.6,5966.7,2655.9,6074.1,9225.0,-2154.0,,-1985.3,-5923.0,,-2872.0,-3104.1,-3297.4,11.7,-3299.1,119.1,3270.0,,True,False,,False,False,False,True,False,True,False
District of Columbia,2468,2191.0,,1649.7,142.0,,2075.0,1937.6,1132.7,716.8,1942.9,1988.2,1692.0,-277.0,,-818.3,-2326.0,,-393.0,-530.4,-1335.3,-1751.2,-525.1,-479.8,-776.0,,False,False,,False,False,False,False,False,False,False
Florida,132384,174048.0,,120787.6,50733.0,,147052.0,101783.5,69979.6,42232.1,137943.0,103366.5,97214.0,41664.0,,-11596.4,-81651.0,,14668.0,-30600.5,-62404.4,-90151.9,5559.0,-29017.5,-35170.0,,True,False,,True,True,False,False,True,True,True
