,count,mean,median,std,min,25%,75%,max
JHUAPL-Bucky,51,155570803.0,51221732.9,282766098.9,20127.1,9529883.4,174877552.3,1681995791.4
COVIDhub-baseline,51,199644688.1,49519369.0,502196903.5,2601.0,8888636.5,143869568.0,3271496809.0
IowaStateLW-STEM,49,309668196.7,102900736.0,742995566.9,25600.0,12022327.5,257798272.0,4786702596.0
USC-SI_kJalpha,51,318308316.0,144312169.0,544844045.1,16129.0,15533109.0,348740928.0,2901330496.0
JCB-PRM,51,396908880.3,71761011.8,1308397903.7,20566.2,9133911.2,174677784.2,8804303070.9
UCLA-SuEIR,51,439582214.7,115638096.6,992778302.8,7670.8,19730322.7,412790968.9,5200284677.4
Covid19Sim-Simulator,51,458632201.2,108550149.2,1280278446.8,12.3,13055022.8,311438894.0,8563910352.0
USACE-ERDC_SEIR,51,477308660.8,87018482.9,1222300164.9,21982.7,7451589.1,354241504.4,7069665091.5
Karlen-pypm,51,488922237.4,60313862.4,1320654668.3,7174.1,10586718.9,302258598.3,8556231500.0
LANL-GrowthRate,51,541134054.4,164985548.8,1243275380.4,81852.6,46194578.6,414826302.9,7932240088.0
CU-select,51,690788890.1,76300225.0,2898860519.7,1369.0,11671760.0,212143970.0,20003293489.0
JHU_IDD-CovidSP,51,700186317.5,187306778.5,2070841995.2,86759.7,31237348.0,373351868.0,13450126401.1
RobertWalraven-ESG,51,1030660333.3,240745014.7,3009609762.8,30182.1,99554943.3,729222060.9,20474161435.2
CovidAnalytics-DELPHI,51,1042913158.0,253032649.0,2370775049.8,69696.0,53781456.5,787373530.0,14122945600.0
