,count,mean,median,std,min,25%,75%,max
Geneva-DetGrowth,51,9023630.5,508868.9,31641215.3,16.8,42088.5,1720138.8,186241290.2
OliverWyman-Navigator,51,10144225.6,230400.0,46051849.9,49.0,24561.0,1431632.5,323604121.0
Karlen-pypm,51,12252961.3,345391.3,46704281.9,36.0,26896.5,2572475.4,318304849.2
CU-select,51,12765838.1,784996.0,52106840.1,36.0,22549.0,2942940.5,361760400.0
RobertWalraven-ESG,51,13371860.3,167837.7,61924575.2,88.0,34561.1,1942346.1,418652111.8
JHU_CSSE-DECOM,51,14047493.2,959819.1,44896485.5,8.1,83197.0,4371826.4,286092747.1
COVIDhub-baseline,51,14568806.8,749956.0,59391519.0,49.0,130624.0,3502241.0,413186929.0
USC-SI_kJalpha,51,15003946.6,476100.0,65355048.9,25.0,68121.0,2629680.5,454073481.0
JCB-PRM,51,15161214.7,1480784.3,43846736.0,5.9,79750.3,6144330.0,259018803.8
CEID-Walk,51,15201087.4,850185.4,60125450.9,72.2,134460.3,3249683.2,411612438.8
BPagano-RtDriven,51,15741428.9,1099300.4,51867335.3,208.6,233372.6,5910290.8,344262692.7
UMich-RidgeTfReg,50,16019637.3,512229.5,61064290.4,94.1,71417.8,3029509.8,423518422.7
LNQ-ens1,51,16437619.3,441661.1,87534000.6,152.8,68256.0,1573860.7,612125506.7
COVIDhub-ensemble,51,16516782.3,1188100.0,60593396.8,49.0,135864.5,5025252.5,413186929.0
MSRA-DeepST,47,16540762.6,378605.9,65558210.6,551.4,49399.1,2309794.6,445180970.5
DDS-NBDS,51,17658926.0,1364343.6,66557131.2,44.5,127963.0,9828406.5,465033965.7
JHUAPL-Bucky,51,18002168.2,1871358.3,44984661.0,17.0,283481.6,9744895.6,236890632.6
Covid19Sim-Simulator,51,19042581.7,1772206.1,60959585.8,48.2,283217.7,7070015.7,393749540.4
UCLA-SuEIR,51,21039668.4,2678721.9,66680728.8,28.2,517095.6,9859774.7,441053649.9
IowaStateLW-STEM,49,23082575.2,2053489.0,74846567.7,289.0,297329.8,10337980.5,504811024.0
LANL-GrowthRate,51,32840343.0,2388332.8,161476187.2,43.2,159439.8,6138541.7,1140415554.2
JHU_IDD-CovidSP,51,49066048.6,10389813.3,134566831.3,2.7,1229530.2,22910897.6,850951130.5
CovidAnalytics-DELPHI,51,69285527.4,11744329.0,156149458.4,5776.0,4068485.0,42960157.0,671639056.0
TTU-squider,51,77145362.7,20174632.3,179494046.8,4038.0,1395772.3,38295750.7,913671529.0
