,predicted_cases,actual_cases,error,perc_error
OliverWyman-Navigator,446955.0,482655,-35700.0,-7.4%
QJHong-Encounter,430057.3,482655,-52597.7,-10.9%
RobertWalraven-ESG,427227.5,482655,-55427.5,-11.5%
LNQ-ens1,426193.7,482655,-56461.3,-11.7%
BPagano-RtDriven,419616.6,482655,-63038.4,-13.1%
Geneva-DetGrowth,418193.0,482655,-64462.0,-13.4%
Karlen-pypm,418153.7,482655,-64501.3,-13.4%
UMich-RidgeTfReg,416807.3,482655,-65847.7,-13.6%
DDS-NBDS,408323.1,482655,-74331.9,-15.4%
CU-select,402924.0,482655,-79731.0,-16.5%
USC-SI_kJalpha,397822.0,482655,-84833.0,-17.6%
Columbia_UNC-SurvCon,394769.3,482655,-87885.7,-18.2%
CEID-Walk,389898.0,482655,-92757.0,-19.2%
COVIDhub-ensemble,388452.0,482655,-94203.0,-19.5%
COVIDhub-baseline,388452.0,482655,-94203.0,-19.5%
IBF-TimeSeries,384784.0,482655,-97871.0,-20.3%
MSRA-DeepST,379216.0,482655,-103439.0,-21.4%
JCB-PRM,370695.9,482655,-111959.1,-23.2%
JHUAPL-Bucky,370099.7,482655,-112555.3,-23.3%
UCLA-SuEIR,351452.8,482655,-131202.2,-27.2%
Covid19Sim-Simulator,345632.3,482655,-137022.7,-28.4%
IowaStateLW-STEM,340260.0,482655,-142395.0,-29.5%
LANL-GrowthRate,320366.9,482655,-162288.1,-33.6%
JHU_IDD-CovidSP,263494.9,482655,-219160.1,-45.4%
CovidAnalytics-DELPHI,198206.0,482655,-284449.0,-58.9%
TTU-squider,186400.9,482655,-296254.1,-61.4%
JHU_CSSE-DECOM,,482655,,
