,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,2430151.0,2616401,-186250.0,-7.1%
COVIDhub-baseline,2352192.0,2616401,-264209.0,-10.1%
CU-select,2283844.0,2616401,-332557.0,-12.7%
UCLA-SuEIR,2072151.1,2616401,-544249.9,-20.8%
USACE-ERDC_SEIR,1660827.8,2616401,-955573.2,-36.5%
Columbia_UNC-SurvCon,1634642.0,2616401,-981759.0,-37.5%
USC-SI_kJalpha,1320274.0,2616401,-1296127.0,-49.5%
JHU_IDD-CovidSP,1277191.4,2616401,-1339209.6,-51.2%
Karlen-pypm,1259745.8,2616401,-1356655.2,-51.9%
CovidAnalytics-DELPHI,1197441.0,2616401,-1418960.0,-54.2%
CEID-Walk,1175583.5,2616401,-1440817.5,-55.1%
Covid19Sim-Simulator,1160520.9,2616401,-1455880.1,-55.6%
QJHong-Encounter,1129923.0,2616401,-1486478.0,-56.8%
RobertWalraven-ESG,1106616.3,2616401,-1509784.7,-57.7%
JHUAPL-Bucky,1095817.6,2616401,-1520583.4,-58.1%
DDS-NBDS,1082876.2,2616401,-1533524.8,-58.6%
LNQ-ens1,1064707.0,2616401,-1551694.0,-59.3%
COVIDhub-ensemble,1049755.0,2616401,-1566646.0,-59.9%
UMich-RidgeTfReg,1044053.3,2616401,-1572347.7,-60.1%
LANL-GrowthRate,959511.0,2616401,-1656890.0,-63.3%
OliverWyman-Navigator,783747.0,2616401,-1832654.0,-70.0%
IQVIA_ACOE-STAN,640286.0,2616401,-1976115.0,-75.5%
Geneva-DetGrowth,291728.0,2616401,-2324673.0,-88.9%
