,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,631,360.0,,,613.0,,48.0,111.6,,,-271.0,,,-18.0,,-583.0,-519.4,,,,,True,,False,False,,
01003,2140,2160.0,,,1769.0,,117.5,3093.0,,,20.0,,,-371.0,,-2022.5,953.0,,,,,False,,False,False,,
01005,278,0.0,,,413.0,,50.8,69.2,,,-278.0,,,135.0,,-227.2,-208.8,,,,,True,,True,True,,
01007,289,160.0,,,336.0,,59.3,227.0,,,-129.0,,,47.0,,-229.7,-62.0,,,,,True,,False,True,,
01009,646,584.0,,,552.0,,22.4,462.1,,,-62.0,,,-94.0,,-623.6,-183.9,,,,,False,,False,False,,
01011,93,64.0,,,289.0,,58.8,43.2,,,-29.0,,,196.0,,-34.2,-49.8,,,,,False,,False,False,,
01013,154,200.0,,,294.0,,97.3,76.2,,,46.0,,,140.0,,-56.7,-77.8,,,,,False,,False,False,,
01015,2087,1456.0,,,1114.0,,415.6,986.0,,,-631.0,,,-973.0,,-1671.4,-1101.0,,,,,False,,False,False,,
01017,323,0.0,,,296.0,,14.4,71.5,,,-323.0,,,-27.0,,-308.6,-251.5,,,,,True,,True,True,,
01019,330,88.0,,,203.0,,58.1,73.8,,,-242.0,,,-127.0,,-271.9,-256.2,,,,,True,,False,False,,
01021,718,904.0,,,572.0,,380.5,559.1,,,186.0,,,-146.0,,-337.5,-158.9,,,,,True,,False,True,,
01023,68,96.0,,,140.0,,1.9,97.6,,,28.0,,,72.0,,-66.1,29.6,,,,,False,,False,False,,
01025,371,256.0,,,413.0,,202.4,365.5,,,-115.0,,,42.0,,-168.6,-5.5,,,,,True,,False,True,,
01027,380,208.0,,,143.0,,13.2,130.4,,,-172.0,,,-237.0,,-366.8,-249.6,,,,,False,,False,False,,
01029,345,192.0,,,110.0,,100.5,133.4,,,-153.0,,,-235.0,,-244.5,-211.6,,,,,False,,False,False,,
01031,699,392.0,,,763.0,,23.4,295.3,,,-307.0,,,64.0,,-675.6,-403.7,,,,,True,,False,False,,
01033,572,648.0,,,694.0,,260.0,546.6,,,76.0,,,122.0,,-312.0,-25.4,,,,,False,,False,True,,
01035,81,112.0,,,201.0,0.0,44.9,62.4,,,31.0,,,120.0,-81.0,-36.1,-18.6,,,,,False,False,False,True,,
01037,71,0.0,,,95.0,28.2,5.7,56.4,,,-71.0,,,24.0,-42.8,-65.3,-14.6,,,,,True,True,True,True,,
01039,668,0.0,,,590.0,83.1,127.4,65.6,,,-668.0,,,-78.0,-584.9,-540.5,-602.4,,,,,True,True,True,True,,
01041,141,176.0,,,215.0,0.0,2.8,410.8,,,35.0,,,74.0,-141.0,-138.2,269.8,,,,,False,False,False,False,,
01043,874,504.0,,,967.0,201.0,18.7,428.9,,,-370.0,,,93.0,-673.0,-855.3,-445.1,,,,,True,False,False,False,,
01045,686,384.0,,,653.0,184.9,303.7,165.5,,,-302.0,,,-33.0,-501.1,-382.3,-520.5,,,,,True,False,False,False,,
01047,267,80.0,,,628.0,2.3,98.5,116.6,,,-187.0,,,361.0,-264.7,-168.4,-150.4,,,,,False,False,True,True,,
01049,1272,544.0,,,794.0,148.9,151.5,801.8,,,-728.0,,,-478.0,-1123.1,-1120.5,-470.2,,,,,True,False,False,True,,
01051,1038,664.0,,,759.0,185.0,147.4,460.1,,,-374.0,,,-279.0,-853.0,-890.6,-577.9,,,,,True,False,False,False,,
01053,334,320.0,,,695.0,1.0,60.1,143.8,,,-14.0,,,361.0,-333.0,-273.9,-190.2,,,,,False,False,False,False,,
01055,1495,1320.0,,,1018.0,374.0,703.9,735.1,,,-175.0,,,-477.0,-1121.0,-791.1,-759.9,,,,,False,False,False,False,,
01057,248,152.0,,,175.0,107.4,47.0,233.5,,,-96.0,,,-73.0,-140.6,-201.0,-14.5,,,,,True,False,False,True,,
01059,510,840.0,,,548.0,347.4,400.0,458.8,,,330.0,,,38.0,-162.6,-110.0,-51.2,,,,,True,True,True,True,,
01061,474,240.0,,,430.0,138.5,99.5,220.9,,,-234.0,,,-44.0,-335.5,-374.5,-253.1,,,,,True,False,False,False,,
01063,50,48.0,,,90.0,0.2,16.5,31.0,,,-2.0,,,40.0,-49.8,-33.5,-19.0,,,,,False,False,False,False,,
01065,203,120.0,,,188.0,2.5,7.4,153.5,,,-83.0,,,-15.0,-200.5,-195.6,-49.5,,,,,True,False,False,True,,
01067,346,144.0,,,193.0,58.9,17.5,113.0,,,-202.0,,,-153.0,-287.1,-328.5,-233.0,,,,,True,False,False,False,,
01069,2130,656.0,,,1456.0,332.9,207.8,500.9,,,-1474.0,,,-674.0,-1797.1,-1922.2,-1629.1,,,,,True,False,False,False,,
01071,847,400.0,,,484.0,236.0,69.7,302.8,,,-447.0,,,-363.0,-611.0,-777.3,-544.2,,,,,True,False,False,False,,
01073,7095,8096.0,,,4840.0,920.5,2479.0,4496.6,,,1001.0,,,-2255.0,-6174.5,-4616.0,-2598.4,,,,,False,False,False,False,,
01075,206,72.0,,,179.0,61.2,11.1,114.6,,,-134.0,,,-27.0,-144.8,-194.9,-91.4,,,,,True,False,False,True,,
01077,865,624.0,,,1109.0,247.4,182.7,504.1,,,-241.0,,,244.0,-617.6,-682.3,-360.9,,,,,False,False,False,False,,
01079,372,368.0,,,363.0,144.7,27.4,281.4,,,-4.0,,,-9.0,-227.3,-344.6,-90.6,,,,,False,False,False,False,,
01081,2146,2272.0,,,1867.0,534.5,5074.9,1199.5,,,126.0,,,-279.0,-1611.5,2928.9,-946.5,,,,,False,False,False,False,,
01083,1177,768.0,,,931.0,273.2,319.6,502.6,,,-409.0,,,-246.0,-903.8,-857.4,-674.4,,,,,True,False,False,False,,
01085,96,112.0,,,117.0,0.9,34.8,60.4,,,16.0,,,21.0,-95.1,-61.2,-35.6,,,,,False,False,False,False,,
01087,103,136.0,,,143.0,0.0,79.2,95.6,,,33.0,,,40.0,-103.0,-23.8,-7.4,,,,,False,False,True,True,,
