,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,19133,12292.0,11927.4,11065.0,12736.0,,13801.3,6809.0,13489.9,9695.5,,13003.0,10191.0,13640.9,11195.0,6086.9,8347.9,10725.0,12532.3,13250.0,,10496.6,2651.4,8907.1,13405.0,13938.1,13395.0,-6841.0,-7205.6,-8068.0,-6397.0,,-5331.7,-12324.0,-5643.1,-9437.5,,-6130.0,-8942.0,-5492.1,-7938.0,-13046.1,-10785.1,-8408.0,-6600.7,-5883.0,,-8636.4,-16481.6,-10225.9,-5728.0,-5194.9,-5738.0,False,False,True,,True,False,True,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,True,True
Alaska,3098,2428.0,2351.4,2309.0,2546.0,,1921.7,1452.0,2361.4,2277.5,,,,2395.2,2280.0,1213.6,3341.7,2647.1,2912.1,3614.0,,2378.9,976.5,1834.1,3024.7,4191.8,2119.0,-670.0,-746.6,-789.0,-552.0,,-1176.3,-1646.0,-736.6,-820.5,,,,-702.8,-818.0,-1884.4,243.7,-450.9,-185.9,516.0,,-719.1,-2121.5,-1263.9,-73.3,1093.8,-979.0,False,False,True,,False,False,False,False,,,,False,False,False,True,True,True,True,,False,False,False,True,False,False
Arizona,11794,9158.0,9072.4,8097.0,10699.0,,7917.7,961.0,10373.1,3543.2,,9923.0,6134.0,9608.4,7715.7,4200.5,9391.5,7825.4,10832.2,11827.0,,6442.9,0.0,7804.3,13405.5,9772.1,10207.0,-2636.0,-2721.6,-3697.0,-1095.0,,-3876.3,-10833.0,-1420.9,-8250.8,,-1871.0,-5660.0,-2185.6,-4078.3,-7593.5,-2402.5,-3968.6,-961.8,33.0,,-5351.1,-11794.0,-3989.7,1611.5,-2021.9,-1587.0,False,False,True,,False,False,True,False,,True,False,True,False,False,True,False,True,True,,False,False,False,True,True,True
Arkansas,13098,11390.0,11405.9,11435.0,11330.0,,11714.4,9714.0,12655.8,11829.7,,12406.0,13025.0,13510.2,11281.4,5182.3,13865.2,9790.0,11780.8,13996.0,,11333.7,4349.0,9240.4,11162.7,11208.1,10938.0,-1708.0,-1692.1,-1663.0,-1768.0,,-1383.6,-3384.0,-442.2,-1268.3,,-692.0,-73.0,412.2,-1816.6,-7915.7,767.2,-3308.0,-1317.2,898.0,,-1764.3,-8749.0,-3857.6,-1935.3,-1889.9,-2160.0,True,True,False,,True,False,True,True,,True,True,True,False,False,True,False,True,True,,False,False,False,False,False,False
California,51274,45778.0,45609.8,43146.0,51334.0,,46014.4,27751.0,41592.3,24286.7,,45818.0,35452.0,47771.7,41775.5,36341.7,48113.3,35523.7,44500.3,48946.0,,46276.9,3033.7,38823.3,51825.9,45210.2,46422.0,-5496.0,-5664.2,-8128.0,60.0,,-5259.6,-23523.0,-9681.7,-26987.3,,-5456.0,-15822.0,-3502.3,-9498.5,-14932.3,-3160.7,-15750.3,-6773.7,-2328.0,,-4997.1,-48240.3,-12450.7,551.9,-6063.8,-4852.0,False,False,True,,True,False,False,False,,True,False,True,False,False,True,False,False,True,,True,False,False,True,False,True
Colorado,15758,10170.0,10274.9,10223.0,12243.0,,9453.5,12568.0,12569.0,7946.5,,10353.0,7951.0,11921.5,8371.3,8879.4,10549.5,10463.4,12284.1,14166.0,,12612.4,6567.6,8103.8,8147.9,15872.1,11023.0,-5588.0,-5483.1,-5535.0,-3515.0,,-6304.5,-3190.0,-3189.0,-7811.5,,-5405.0,-7807.0,-3836.5,-7386.7,-6878.6,-5208.5,-5294.6,-3473.9,-1592.0,,-3145.6,-9190.4,-7654.2,-7610.1,114.1,-4735.0,True,True,True,,False,True,True,False,,True,False,True,False,False,True,True,True,True,,True,False,False,False,True,True
Connecticut,6014,3482.0,3609.3,3189.0,3980.0,,3171.2,1638.0,5770.8,2508.0,,2108.0,3609.0,3168.7,3277.4,5250.9,3013.1,1527.5,3499.3,4540.0,,693.8,4704.0,2910.4,2469.9,2935.9,3979.0,-2532.0,-2404.7,-2825.0,-2034.0,,-2842.8,-4376.0,-243.2,-3506.0,,-3906.0,-2405.0,-2845.3,-2736.6,-763.1,-3000.9,-4486.5,-2514.7,-1474.0,,-5320.2,-1310.0,-3103.6,-3544.1,-3078.1,-2035.0,True,False,True,,False,False,True,False,,False,True,False,False,True,False,False,True,True,,False,True,False,False,False,True
Delaware,1849,1746.0,1763.7,1575.0,1537.0,,1546.5,999.0,2455.6,1530.7,,1707.0,1449.0,2052.5,1471.7,1390.1,2151.9,1555.6,1958.5,2861.0,,1875.8,313.0,1311.4,1572.2,1810.9,1817.0,-103.0,-85.3,-274.0,-312.0,,-302.5,-850.0,606.6,-318.3,,-142.0,-400.0,203.5,-377.3,-458.9,302.9,-293.4,109.5,1012.0,,26.8,-1536.0,-537.6,-276.8,-38.1,-32.0,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,True
District of Columbia,788,890.0,860.0,766.0,1486.0,,618.8,82.0,770.7,959.7,,876.0,424.0,775.7,730.5,796.0,465.4,740.4,929.7,1062.0,,650.5,416.2,834.5,,1372.9,1112.0,102.0,72.0,-22.0,698.0,,-169.2,-706.0,-17.3,171.7,,88.0,-364.0,-12.3,-57.5,8.0,-322.6,-47.6,141.7,274.0,,-137.5,-371.8,46.5,,584.9,324.0,True,True,False,,False,False,True,False,,True,False,True,True,True,False,True,False,False,,False,False,True,,False,False
Florida,47330,28660.0,28749.6,28604.0,25806.0,,31814.5,9463.0,41574.0,13895.0,,25146.0,25394.0,37007.2,30421.9,26945.9,27367.0,43469.4,41237.9,28671.0,,3317.6,0.0,23492.1,30572.8,31415.1,26068.0,-18670.0,-18580.4,-18726.0,-21524.0,,-15515.5,-37867.0,-5756.0,-33435.0,,-22184.0,-21936.0,-10322.8,-16908.1,-20384.1,-19963.0,-3860.6,-6092.1,-18659.0,,-44012.4,-47330.0,-23837.9,-16757.2,-15914.9,-21262.0,True,False,False,,True,False,True,False,,False,False,True,True,False,False,True,True,True,,False,False,False,True,True,False
Georgia,19336,16200.0,16023.7,13985.0,20427.0,,15740.5,10430.0,16566.0,8139.2,,17076.0,12229.0,16216.5,15348.5,11585.6,13423.1,14587.1,17382.5,18902.0,,12977.4,1923.2,13538.8,16998.1,11652.5,16321.0,-3136.0,-3312.3,-5351.0,1091.0,,-3595.5,-8906.0,-2770.0,-11196.8,,-2260.0,-7107.0,-3119.5,-3987.5,-7750.4,-5912.9,-4748.9,-1953.5,-434.0,,-6358.6,-17412.8,-5797.2,-2337.9,-7683.5,-3015.0,False,False,True,,False,False,True,False,,True,False,True,False,False,False,False,True,True,,False,False,False,True,False,True
Hawaii,1193,1274.0,1285.3,1277.0,1476.0,,1313.4,632.0,977.2,2344.7,,,,1643.4,1364.1,1977.0,1247.2,1237.3,1406.5,1255.0,,645.9,691.4,932.5,1202.4,1378.7,705.0,81.0,92.3,84.0,283.0,,120.4,-561.0,-215.8,1151.7,,,,450.4,171.1,784.0,54.2,44.3,213.5,62.0,,-547.1,-501.6,-260.5,9.4,185.7,-488.0,False,False,False,,False,False,False,False,,,,False,False,False,True,True,False,True,,False,False,False,True,False,False
Idaho,10993,7998.0,7973.9,6804.0,8500.0,,7329.2,2982.0,12003.3,5173.1,,8197.0,5850.0,10500.2,8393.4,3299.6,6597.2,6105.1,8274.1,11361.0,,5848.6,2058.8,5722.6,7771.1,7693.8,7306.0,-2995.0,-3019.1,-4189.0,-2493.0,,-3663.8,-8011.0,1010.3,-5819.9,,-2796.0,-5143.0,-492.8,-2599.6,-7693.4,-4395.8,-4887.9,-2718.9,368.0,,-5144.4,-8934.2,-5270.4,-3221.9,-3299.2,-3687.0,False,False,True,,False,False,True,False,,True,False,True,True,False,False,False,True,True,,False,False,False,False,False,False
Illinois,55450,33338.0,33813.3,30952.0,38010.0,,29023.3,11843.0,31865.5,27980.3,,35485.0,27493.0,38816.6,29420.2,21720.6,24859.5,33370.3,39093.8,41098.0,,37014.3,34798.3,31519.2,30509.9,47514.8,34036.0,-22112.0,-21636.7,-24498.0,-17440.0,,-26426.7,-43607.0,-23584.5,-27469.7,,-19965.0,-27957.0,-16633.4,-26029.8,-33729.4,-30590.5,-22079.7,-16356.2,-14352.0,,-18435.7,-20651.7,-23930.8,-24940.1,-7935.2,-21414.0,True,False,True,,False,False,False,False,,True,False,True,False,False,False,True,True,True,,True,True,False,False,True,True
Indiana,27043,18704.0,18487.0,18015.0,22746.0,,15313.5,10542.0,17972.7,14219.6,,19961.0,13955.0,20934.2,16644.3,14897.2,19235.7,19997.0,23267.0,25208.0,,23527.2,19008.6,14895.9,22645.0,31451.3,22268.0,-8339.0,-8556.0,-9028.0,-4297.0,,-11729.5,-16501.0,-9070.3,-12823.4,,-7082.0,-13088.0,-6108.8,-10398.7,-12145.8,-7807.3,-7046.0,-3776.0,-1835.0,,-3515.8,-8034.4,-12147.1,-4398.0,4408.3,-4775.0,False,False,True,,False,False,False,False,,True,False,True,False,False,True,True,True,True,,True,True,False,True,True,True
Iowa,15794,13482.0,13407.1,13307.0,13356.0,,13308.9,9872.0,15566.8,13241.2,,14329.0,10812.0,15103.1,13167.4,6010.3,15592.2,12885.3,14813.6,16295.0,,10550.9,4303.5,10309.1,13290.5,15535.1,14067.0,-2312.0,-2386.9,-2487.0,-2438.0,,-2485.1,-5922.0,-227.2,-2552.8,,-1465.0,-4982.0,-690.9,-2626.6,-9783.7,-201.8,-2908.7,-980.4,501.0,,-5243.1,-11490.5,-5484.9,-2503.5,-258.9,-1727.0,False,False,False,,False,False,True,False,,True,False,True,False,False,True,False,True,True,,False,False,False,False,True,True
Kansas,11046,8628.0,8723.0,8472.0,8198.0,,8582.1,8808.0,9507.6,6010.5,,8607.0,8974.0,6916.6,10569.7,5578.1,8820.5,5809.3,8420.5,9751.0,,7138.5,8544.0,8085.7,8943.1,7158.3,7925.0,-2418.0,-2323.0,-2574.0,-2848.0,,-2463.9,-2238.0,-1538.4,-5035.5,,-2439.0,-2072.0,-4129.4,-476.3,-5467.9,-2225.5,-5236.7,-2625.5,-1295.0,,-3907.5,-2502.0,-2960.3,-2102.9,-3887.7,-3121.0,True,False,False,,False,True,True,False,,False,True,False,True,False,True,False,False,True,,False,False,False,True,False,False
