,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,2218382.0,2352513,-134131.0,-5.7%
IowaStateLW-STEM,2064419.0,2352513,-288094.0,-12.2%
COVIDhub-baseline,1987132.0,2352513,-365381.0,-15.5%
IBF-TimeSeries,1737297.8,2352513,-615215.2,-26.2%
USACE-ERDC_SEIR,1630560.6,2352513,-721952.4,-30.7%
JCB-PRM,1546641.8,2352513,-805871.2,-34.3%
USC-SI_kJalpha,1330712.0,2352513,-1021801.0,-43.4%
Covid19Sim-Simulator,1326235.0,2352513,-1026278.0,-43.6%
UCLA-SuEIR,1226356.9,2352513,-1126156.1,-47.9%
CovidAnalytics-DELPHI,1038413.0,2352513,-1314100.0,-55.9%
LANL-GrowthRate,852507.7,2352513,-1500005.3,-63.8%
RobertWalraven-ESG,843024.0,2352513,-1509489.0,-64.2%
