,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,284,364.0,458.7,,329.0,1380.0,,,,,363.0,,486.0,,343.1,94.6,,130.4,229.1,,,208.4,,323.4,,,,,592.3,80.0,174.7,,45.0,1096.0,,,,,79.0,,202.0,,59.1,-189.4,,-153.6,-54.9,,,-75.6,,39.4,,,,,308.3,False,,True,False,,,,,True,,False,,True,False,,False,True,,,True,,True,,,,,False
01003,1160,1720.0,1728.3,,1313.0,390.0,,,,,843.9,,833.0,,1857.0,973.5,,1523.3,895.7,,,541.2,,1339.5,2452.0,,,,1398.0,560.0,568.3,,153.0,-770.0,,,,,-316.1,,-327.0,,697.0,-186.5,,363.3,-264.3,,,-618.8,,179.5,1292.0,,,,238.0,False,,True,False,,,,,True,,True,,False,True,,True,True,,,False,,True,False,,,,True
01005,150,208.0,99.6,,96.0,2.0,,,,,172.0,,256.0,,204.5,45.3,,55.2,110.7,,,50.7,,98.0,,,,,195.1,58.0,-50.4,,-54.0,-148.0,,,,,22.0,,106.0,,54.5,-104.7,,-94.8,-39.3,,,-99.3,,-52.0,,,,,45.1,True,,True,False,,,,,True,,False,,True,False,,False,True,,,False,,True,,,,,True
01007,174,104.0,114.8,,77.0,33.0,,,,,130.2,,257.0,,115.9,55.5,,34.0,84.3,,,60.6,,71.0,,,,,103.7,-70.0,-59.2,,-97.0,-141.0,,,,,-43.8,,83.0,,-58.1,-118.5,,-140.0,-89.7,,,-113.4,,-103.0,,,,,-70.3,True,,False,False,,,,,True,,False,,True,False,,False,False,,,False,,False,,,,,False
01009,314,276.0,179.1,,190.0,483.0,,,,,599.2,,619.0,,315.0,160.2,,92.1,177.5,,,65.6,,168.4,,,,,708.6,-38.0,-134.9,,-124.0,169.0,,,,,285.2,,305.0,,1.0,-153.8,,-221.9,-136.5,,,-248.4,,-145.6,,,,,394.6,False,,False,False,,,,,False,,False,,True,False,,False,False,,,False,,False,,,,,False
01011,44,76.0,82.9,,56.0,,,,,,59.8,,158.0,,50.4,18.4,,16.5,55.0,,,19.0,,62.4,,,,,65.4,32.0,38.9,,12.0,,,,,,15.8,,114.0,,6.4,-25.6,,-27.5,11.0,,,-25.0,,18.4,,,,,21.4,False,,True,,,,,,True,,False,,True,True,,True,True,,,True,,True,,,,,True
01013,96,16.0,10.1,,25.0,65.0,,,,,77.2,,163.0,,30.3,18.5,,2.7,29.4,,,26.1,,26.4,,,,,47.9,-80.0,-85.9,,-71.0,-31.0,,,,,-18.8,,67.0,,-65.7,-77.5,,-93.3,-66.6,,,-69.8,,-69.6,,,,,-48.1,False,,True,True,,,,,True,,True,,True,True,,False,True,,,True,,True,,,,,True
01015,1052,780.0,787.2,,573.0,718.0,,,,,1313.8,,993.0,,803.8,571.0,,414.9,523.0,,,437.6,,517.7,,,,,949.8,-272.0,-264.8,,-479.0,-334.0,,,,,261.8,,-59.0,,-248.2,-481.0,,-637.1,-529.0,,,-614.4,,-534.3,,,,,-102.2,True,,False,False,,,,,True,,True,,True,False,,False,False,,,False,,False,,,,,True
01017,186,164.0,313.4,,129.0,645.0,,,,,167.2,,204.0,,159.8,75.9,,37.2,88.3,,,42.1,,77.3,,,,,238.7,-22.0,127.4,,-57.0,459.0,,,,,-18.8,,18.0,,-26.2,-110.1,,-148.8,-97.7,,,-143.9,,-108.7,,,,,52.7,False,,False,False,,,,,True,,True,,False,False,,False,False,,,False,,False,,,,,False
01019,125,212.0,182.8,,152.0,522.0,,,,,164.5,,213.0,,248.5,86.5,,74.6,125.9,,,32.7,,134.5,,,,,395.0,87.0,57.8,,27.0,397.0,,,,,39.5,,88.0,,123.5,-38.5,,-50.4,0.9,,,-92.3,,9.5,,,,,270.0,True,,True,False,,,,,True,,False,,False,True,,True,True,,,False,,True,,,,,False
