,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,46665,35058.0,44905.0,,44242.5,18230.0,,28135.0,17693.9,34411.4,20678.9,25764.0,10522.0,19561.2,22969.8,19453.0,-11607.0,-1760.0,,-2422.5,-28435.0,,-18530.0,-28971.1,-12253.6,-25986.1,-20901.0,-36143.0,-27103.8,-23695.2,-27212.0,True,,True,False,,False,False,False,False,False,False,False,False,False
Alaska,6416,3180.0,5220.0,,4626.0,2284.0,,,4280.2,3813.7,3826.4,2195.5,1914.0,1963.5,3757.6,3209.0,-3236.0,-1196.0,,-1790.0,-4132.0,,,-2135.8,-2602.3,-2589.6,-4220.5,-4502.0,-4452.5,-2658.4,-3207.0,True,,True,False,,,True,True,True,False,False,False,True,True
Arizona,28644,15666.0,18936.0,,18434.2,6820.0,,17867.0,17831.6,15205.3,11214.7,9238.6,7873.0,19470.7,11354.4,11907.0,-12978.0,-9708.0,,-10209.8,-21824.0,,-10777.0,-10812.4,-13438.7,-17429.3,-19405.4,-20771.0,-9173.3,-17289.6,-16737.0,True,,True,False,,True,True,False,False,False,False,True,False,False
Arkansas,35608,30120.0,56199.0,,23849.0,25159.0,,28551.0,37688.2,38261.3,12583.3,21721.9,16073.5,22151.9,37332.1,27770.0,-5488.0,20591.0,,-11759.0,-10449.0,,-7057.0,2080.2,2653.3,-23024.7,-13886.1,-19534.5,-13456.1,1724.1,-7838.0,False,,False,False,,False,True,True,False,False,False,False,True,False
California,144751,141714.0,194062.0,,108582.5,118178.0,,164216.0,95926.3,124515.2,119934.3,63955.5,46873.7,118211.8,70844.0,58507.0,-3037.0,49311.0,,-36168.5,-26573.0,,19465.0,-48824.7,-20235.8,-24816.7,-80795.5,-97877.3,-26539.2,-73907.0,-86244.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Colorado,32504,11460.0,45049.0,,11965.3,842.0,,10435.0,11959.6,10724.6,13529.2,8294.8,8344.5,6728.2,20002.0,13367.0,-21044.0,12545.0,,-20538.7,-31662.0,,-22069.0,-20544.4,-21779.4,-18974.8,-24209.2,-24159.5,-25775.8,-12502.0,-19137.0,True,,True,False,,False,True,False,True,False,False,False,True,True
Connecticut,11726,5766.0,38310.0,,4021.0,31.0,,4823.0,2936.8,3356.1,7072.7,2368.9,528.1,7638.8,3787.1,4771.0,-5960.0,26584.0,,-7705.0,-11695.0,,-6903.0,-8789.2,-8369.9,-4653.3,-9357.1,-11197.9,-4087.2,-7938.9,-6955.0,False,,False,False,,False,False,False,True,False,False,True,False,False
Delaware,5121,5004.0,5764.0,,6117.8,18.0,,2751.0,7465.3,3172.3,2071.7,2504.2,3567.4,3825.5,5718.6,7076.0,-117.0,643.0,,996.8,-5103.0,,-2370.0,2344.3,-1948.7,-3049.3,-2616.8,-1553.6,-1295.5,597.6,1955.0,False,,False,False,,False,False,False,False,False,False,False,False,False
District of Columbia,2213,1530.0,1982.0,,1684.0,77.0,,2208.0,712.7,1855.5,1590.2,1095.8,1776.9,1106.7,1994.1,665.0,-683.0,-231.0,,-529.0,-2136.0,,-5.0,-1500.3,-357.5,-622.8,-1117.2,-436.1,-1106.3,-218.9,-1548.0,True,,True,False,,True,False,True,True,False,True,False,True,False
Florida,114680,106224.0,125328.0,,89345.1,36515.0,,121496.0,123801.0,97597.6,65915.7,62771.9,41026.3,79724.6,64308.4,63259.0,-8456.0,10648.0,,-25334.9,-78165.0,,6816.0,9121.0,-17082.4,-48764.3,-51908.1,-73653.7,-34955.4,-50371.6,-51421.0,False,,False,False,,True,False,False,False,False,False,False,False,False
Georgia,56700,68142.0,78839.0,,57378.0,47535.0,,60768.0,69991.9,66169.1,37389.8,37577.5,26660.4,41945.8,43361.3,43158.0,11442.0,22139.0,,678.0,-9165.0,,4068.0,13291.9,9469.1,-19310.2,-19122.5,-30039.6,-14754.2,-13338.7,-13542.0,False,,True,True,,True,False,True,False,False,False,False,False,False
Hawaii,4036,5370.0,1665.0,,4220.3,4905.0,,,1797.0,7475.3,8819.9,2942.7,1693.2,6333.7,1881.6,2484.0,1334.0,-2371.0,,184.3,869.0,,,-2239.0,3439.3,4783.9,-1093.3,-2342.8,2297.7,-2154.4,-1552.0,False,,True,True,,,False,False,False,True,False,False,False,False
Idaho,23527,10158.0,10814.0,,10048.7,8434.0,,13594.0,10554.2,14228.5,9900.5,7494.4,2075.7,6808.2,13687.6,6748.0,-13369.0,-12713.0,,-13478.3,-15093.0,,-9933.0,-12972.8,-9298.5,-13626.5,-16032.6,-21451.3,-16718.8,-9839.4,-16779.0,True,,False,False,,True,True,True,False,False,False,False,True,False
Illinois,112902,71382.0,129979.0,,59627.2,13569.0,,72368.0,87896.1,80842.0,60418.7,35770.1,49618.0,53354.4,48209.7,52901.0,-41520.0,17077.0,,-53274.8,-99333.0,,-40534.0,-25005.9,-32060.0,-52483.3,-77131.9,-63284.0,-59547.6,-64692.3,-60001.0,True,,False,False,,True,True,True,False,False,False,False,False,False
Indiana,55893,33600.0,44357.0,,34456.9,26526.0,,31295.0,28223.8,38823.7,34635.3,29519.9,18836.8,21943.7,49803.3,22999.0,-22293.0,-11536.0,,-21436.1,-29367.0,,-24598.0,-27669.2,-17069.3,-21257.7,-26373.1,-37056.2,-33949.3,-6089.7,-32894.0,True,,True,False,,False,False,True,True,False,False,False,True,False
Iowa,40631,27090.0,33653.0,,26416.4,29528.0,,26966.0,15714.4,35425.7,20007.5,14456.3,13277.7,16023.8,11379.0,12599.0,-13541.0,-6978.0,,-14214.6,-11103.0,,-13665.0,-24916.6,-5205.3,-20623.5,-26174.7,-27353.3,-24607.2,-29252.0,-28032.0,True,,False,True,,False,False,True,False,False,False,False,False,False
Kansas,29747,18012.0,17255.0,,16734.8,20119.0,,20739.0,12418.2,32124.6,16439.2,6236.9,5836.4,11527.4,5390.6,7540.0,-11735.0,-12492.0,,-13012.2,-9628.0,,-9008.0,-17328.8,2377.6,-13307.8,-23510.1,-23910.6,-18219.6,-24356.4,-22207.0,False,,False,True,,True,False,True,False,False,False,False,False,False
Kentucky,39065,23706.0,34382.0,,26548.8,25087.0,,31688.0,29123.5,32934.6,26411.8,16616.2,12699.3,13262.2,22925.9,13534.0,-15359.0,-4683.0,,-12516.2,-13978.0,,-7377.0,-9941.5,-6130.4,-12653.2,-22448.8,-26365.7,-25802.8,-16139.1,-25531.0,True,,True,True,,True,True,True,True,False,False,False,False,False
Louisiana,25494,28206.0,74232.0,,15079.6,15001.0,,30648.0,11714.6,19214.7,11944.2,19321.0,9886.9,24765.4,21734.7,10800.0,2712.0,48738.0,,-10414.4,-10493.0,,5154.0,-13779.4,-6279.3,-13549.8,-6173.0,-15607.1,-728.6,-3759.3,-14694.0,False,,False,False,,False,False,False,False,False,False,True,False,False
Maine,1302,1206.0,750.0,,1005.3,312.0,,2327.0,1553.2,1943.6,1978.5,717.3,662.4,1106.7,2064.2,984.0,-96.0,-552.0,,-296.7,-990.0,,1025.0,251.2,641.6,676.5,-584.7,-639.6,-195.3,762.2,-318.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Maryland,23954,23556.0,75392.0,,27770.8,1376.0,,20818.0,26694.0,18887.1,30093.0,14091.4,14122.3,19558.0,21619.9,20059.0,-398.0,51438.0,,3816.8,-22578.0,,-3136.0,2740.0,-5066.9,6139.0,-9862.6,-9831.7,-4396.0,-2334.1,-3895.0,False,,False,False,,False,False,False,False,False,False,False,False,False
Massachusetts,24948,14064.0,33367.0,,3940.0,257.0,,9884.0,14300.7,703.4,13712.1,8847.5,3821.2,9900.1,72537.7,12699.0,-10884.0,8419.0,,-21008.0,-24691.0,,-15064.0,-10647.3,-24244.6,-11235.9,-16100.5,-21126.8,-15047.9,47589.7,-12249.0,True,,False,False,,False,True,False,False,False,False,False,False,False
Michigan,52554,35202.0,99825.0,,31125.2,11775.0,,30548.0,39251.3,30126.0,41140.3,15524.7,3633.8,49163.1,26674.1,39623.0,-17352.0,47271.0,,-21428.8,-40779.0,,-22006.0,-13302.7,-22428.0,-11413.7,-37029.3,-48920.2,-3390.9,-25879.9,-12931.0,False,,False,False,,False,True,False,True,False,False,True,False,True
Minnesota,48534,22248.0,20841.0,,28022.6,2914.0,,30869.0,13860.6,27455.1,21200.4,12466.6,14866.6,14161.6,15035.6,10299.0,-26286.0,-27693.0,,-20511.4,-45620.0,,-17665.0,-34673.4,-21078.9,-27333.6,-36067.4,-33667.4,-34372.4,-33498.4,-38235.0,False,,True,False,,True,False,True,False,False,False,False,False,False
Mississippi,25468,18852.0,17726.0,,15671.7,11583.0,,21354.0,10046.7,16041.7,12425.7,9375.0,8107.6,10162.3,8346.4,8318.0,-6616.0,-7742.0,,-9796.3,-13885.0,,-4114.0,-15421.3,-9426.3,-13042.3,-16093.0,-17360.4,-15305.7,-17121.6,-17150.0,False,,False,False,,True,False,False,False,False,False,False,False,False
Missouri,67539,54714.0,57541.0,,57181.0,42501.0,,42654.0,63760.7,67736.8,35512.4,48405.6,27401.0,30155.8,65836.4,36616.0,-12825.0,-9998.0,,-10358.0,-25038.0,,-24885.0,-3778.3,197.8,-32026.6,-19133.4,-40138.0,-37383.2,-1702.6,-30923.0,True,,True,False,,False,True,True,False,False,False,False,True,False
Montana,18217,4566.0,3895.0,,4842.9,3336.0,,6943.0,5533.5,7953.8,3968.4,2872.9,1945.1,1312.1,3689.7,3030.0,-13651.0,-14322.0,,-13374.1,-14881.0,,-11274.0,-12683.5,-10263.2,-14248.6,-15344.1,-16271.9,-16904.9,-14527.3,-15187.0,False,,True,False,,True,True,True,False,False,False,False,False,False
Nebraska,25095,13890.0,10694.0,,12496.3,564.0,,11797.0,15773.0,17595.4,8130.4,7331.8,5032.2,11217.7,9384.0,11633.0,-11205.0,-14401.0,,-12598.7,-24531.0,,-13298.0,-9322.0,-7499.6,-16964.6,-17763.2,-20062.8,-13877.3,-15711.0,-13462.0,False,,False,False,,False,True,True,False,False,False,False,False,False
Nevada,21592,12708.0,9860.0,,12767.0,8973.0,,10727.0,5396.4,10849.4,6751.8,6694.8,5107.3,9101.3,6253.6,5864.0,-8884.0,-11732.0,,-8825.0,-12619.0,,-10865.0,-16195.6,-10742.6,-14840.2,-14897.2,-16484.7,-12490.7,-15338.4,-15728.0,False,,True,False,,False,False,False,False,False,False,False,False,False
New Hampshire,2586,1368.0,8766.0,,1562.2,4.0,,1270.0,2177.3,1394.9,2239.4,976.6,922.5,1232.5,4306.5,3368.0,-1218.0,6180.0,,-1023.8,-2582.0,,-1316.0,-408.7,-1191.1,-346.6,-1609.4,-1663.5,-1353.5,1720.5,782.0,False,,True,False,,False,True,True,True,False,False,False,False,True
New Jersey,31002,15540.0,68899.0,,9765.0,126.0,,15062.0,21265.9,10175.4,44595.5,8849.7,15576.5,18263.5,10751.5,17044.0,-15462.0,37897.0,,-21237.0,-30876.0,,-15940.0,-9736.1,-20826.6,13593.5,-22152.3,-15425.5,-12738.5,-20250.5,-13958.0,False,,False,False,,False,True,False,True,False,True,True,False,True
New Mexico,14379,3678.0,2526.0,,4315.9,1631.0,,4690.0,3194.4,4559.9,7563.8,2332.9,1545.9,2272.2,2934.7,1973.0,-10701.0,-11853.0,,-10063.1,-12748.0,,-9689.0,-11184.6,-9819.1,-6815.2,-12046.1,-12833.1,-12106.8,-11444.3,-12406.0,False,,True,False,,True,False,True,True,False,False,False,False,False
New York,50192,29208.0,60420.0,,13718.6,57.0,,14032.0,39917.3,26703.0,46605.0,16997.6,22675.0,33961.6,34075.0,24590.0,-20984.0,10228.0,,-36473.4,-50135.0,,-36160.0,-10274.7,-23489.0,-3587.0,-33194.4,-27517.0,-16230.4,-16117.0,-25602.0,True,,False,False,,False,True,False,True,False,False,True,True,False
North Carolina,69347,47538.0,41989.0,,43277.9,67966.0,,54423.0,33463.4,57836.0,56643.2,31226.8,29808.4,25305.6,28043.3,21957.0,-21809.0,-27358.0,,-26069.1,-1381.0,,-14924.0,-35883.6,-11511.0,-12703.8,-38120.2,-39538.6,-44041.4,-41303.7,-47390.0,False,,False,True,,True,False,True,True,False,False,False,False,False
North Dakota,21723,10902.0,9504.0,,16989.4,42.0,,9284.0,12340.3,10782.2,3879.2,12049.4,10619.7,8072.3,14316.5,7379.0,-10821.0,-12219.0,,-4733.6,-21681.0,,-12439.0,-9382.7,-10940.8,-17843.8,-9673.6,-11103.3,-13650.7,-7406.5,-14344.0,False,,True,False,,False,True,False,False,True,False,False,True,False
Ohio,59238,40698.0,35363.0,,43382.5,30160.0,,38626.0,48474.2,45956.8,45991.7,26550.8,15314.6,20420.8,36492.2,31091.0,-18540.0,-23875.0,,-15855.5,-29078.0,,-20612.0,-10763.8,-13281.2,-13246.3,-32687.2,-43923.4,-38817.2,-22745.8,-28147.0,False,,True,False,,False,True,True,True,False,False,False,False,False
Oklahoma,47026,32832.0,45877.0,,33368.3,20863.0,,30587.0,39446.4,46983.3,25176.8,21467.0,17327.1,16587.0,32166.4,23105.0,-14194.0,-1149.0,,-13657.7,-26163.0,,-16439.0,-7579.6,-42.7,-21849.2,-25559.0,-29698.9,-30439.0,-14859.6,-23921.0,True,,True,False,,False,True,True,False,False,False,False,False,False
