,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,59676,74856.0,,59386.4,50165.0,20548.2,58497.7,52520.3,35138.0,15180.0,,-289.6,-9511.0,-39127.8,-1178.3,-7155.7,-24538.0,,True,True,False,True,True,False
Alaska,7459,4040.0,,3951.5,,2116.6,2650.5,3401.9,3471.0,-3419.0,,-3507.5,,-5342.4,-4808.5,-4057.1,-3988.0,,False,,False,False,False,False
Arizona,35485,27136.0,,29749.3,26262.0,5080.3,61167.8,9008.5,8769.0,-8349.0,,-5735.7,-9223.0,-30404.7,25682.8,-26476.5,-26716.0,,True,False,False,False,False,False
Arkansas,44940,33432.0,,25749.1,33873.0,11810.1,26346.8,26417.2,17603.0,-11508.0,,-19190.9,-11067.0,-33129.9,-18593.2,-18522.8,-27337.0,,False,True,False,False,False,False
California,201646,300824.0,,236209.0,289304.0,124605.0,274153.7,90785.6,118057.0,99178.0,,34563.0,87658.0,-77041.0,72507.7,-110860.4,-83589.0,,True,True,True,True,False,True
Colorado,36360,17248.0,,11937.8,15005.0,10383.1,9567.2,13914.8,10762.0,-19112.0,,-24422.2,-21355.0,-25976.9,-26792.8,-22445.2,-25598.0,,False,False,False,False,False,False
Connecticut,13557,7808.0,,2937.7,2389.0,859.6,8453.2,8614.5,8288.0,-5749.0,,-10619.3,-11168.0,-12697.4,-5103.8,-4942.5,-5269.0,,False,False,False,True,True,True
Delaware,6504,4168.0,,2396.4,2749.0,1827.3,3663.3,2246.8,2390.0,-2336.0,,-4107.6,-3755.0,-4676.8,-2840.7,-4257.2,-4114.0,,False,False,False,False,False,False
District of Columbia,2781,3128.0,,2067.5,3202.0,943.9,3340.0,1872.9,1956.0,347.0,,-713.5,421.0,-1837.1,559.0,-908.1,-825.0,,False,False,False,False,False,False
Florida,157248,171248.0,,121208.0,234598.0,46155.9,238965.4,47826.4,64735.0,14000.0,,-36040.0,77350.0,-111092.1,81717.4,-109421.6,-92513.0,,False,False,False,False,False,False
Georgia,81847,124288.0,,90864.6,99411.0,64894.0,102372.5,53858.9,53071.0,42441.0,,9017.6,17564.0,-16953.0,20525.5,-27988.1,-28776.0,,True,True,True,True,True,True
Hawaii,6619,14264.0,,21654.5,,15121.3,10214.2,14592.5,13802.0,7645.0,,15035.5,,8502.3,3595.2,7973.5,7183.0,,False,,False,True,False,True
Idaho,27026,16072.0,,12101.6,12839.0,4802.1,12894.7,8239.7,6594.0,-10954.0,,-14924.4,-14187.0,-22223.8,-14131.3,-18786.3,-20432.0,,False,False,False,False,False,False
Illinois,141835,106920.0,,92001.5,90402.0,62650.5,113827.3,73321.9,65161.0,-34915.0,,-49833.5,-51433.0,-79184.5,-28007.7,-68513.1,-76674.0,,False,False,False,True,False,False
Indiana,68020,56936.0,,47385.1,44575.0,29815.0,54725.9,54460.6,47355.0,-11084.0,,-20634.9,-23445.0,-38205.0,-13294.1,-13559.4,-20665.0,,False,False,False,False,False,False
Iowa,51224,60928.0,,65705.7,43385.0,33848.4,43848.3,79693.8,34052.0,9704.0,,14481.7,-7839.0,-17375.6,-7375.7,28469.8,-17172.0,,False,True,False,True,False,False
Kansas,36810,33656.0,,31018.7,28571.0,13238.8,18646.5,17503.1,21792.0,-3154.0,,-5791.3,-8239.0,-23571.2,-18163.5,-19306.9,-15018.0,,False,False,False,False,False,False
Kentucky,47903,36088.0,,33705.4,33521.0,17622.7,24091.0,37066.0,34765.0,-11815.0,,-14197.6,-14382.0,-30280.3,-23812.0,-10837.0,-13138.0,,False,False,False,False,True,False
Louisiana,35659,36184.0,,20259.7,39310.0,3472.8,28220.4,18750.8,10857.0,525.0,,-15399.3,3651.0,-32186.2,-7438.6,-16908.2,-24802.0,,False,False,False,False,False,False
Maine,1645,1392.0,,1349.0,928.0,976.4,1164.2,4017.1,1907.0,-253.0,,-296.0,-717.0,-668.6,-480.8,2372.1,262.0,,False,False,False,False,False,False
Maryland,32193,30168.0,,20832.2,23976.0,12381.1,18763.4,23547.1,20744.0,-2025.0,,-11360.8,-8217.0,-19811.9,-13429.6,-8645.9,-11449.0,,False,False,False,False,False,False
Massachusetts,29357,21360.0,,11071.4,13946.0,40107.3,24191.9,420.1,17444.0,-7997.0,,-18285.6,-15411.0,10750.3,-5165.1,-28936.9,-11913.0,,False,False,False,True,False,False
Michigan,64476,40736.0,,37043.6,40536.0,38382.0,52321.9,56002.9,42338.0,-23740.0,,-27432.4,-23940.0,-26094.0,-12154.1,-8473.1,-22138.0,,False,False,False,True,True,True
Minnesota,57865,43120.0,,43327.1,52581.0,27370.5,35420.9,81700.2,37795.0,-14745.0,,-14537.9,-5284.0,-30494.5,-22444.1,23835.2,-20070.0,,True,True,False,False,False,False
Mississippi,33059,38088.0,,26005.1,38879.0,13121.4,22711.9,18856.4,14208.0,5029.0,,-7053.9,5820.0,-19937.6,-10347.1,-14202.6,-18851.0,,False,False,False,False,False,False
