,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,40253,32590.0,181686.0,,28740.9,13509.0,,49810.0,30451.6,40584.8,15860.8,19435.1,20977.9,,11559.9,23030.1,110736.8,20418.0,-7663.0,141433.0,,-11512.1,-26744.0,,9557.0,-9801.4,331.8,-24392.2,-20817.9,-19275.1,,-28693.1,-17222.9,70483.8,-19835.0,False,,False,False,,False,False,True,False,False,False,,False,False,False,False
Alaska,5862,2610.0,852.0,,2994.4,2062.0,,,3157.7,2811.8,2924.7,1907.3,2136.2,,1252.5,1533.4,3483.0,2698.0,-3252.0,-5010.0,,-2867.6,-3800.0,,,-2704.3,-3050.2,-2937.3,-3954.7,-3725.8,,-4609.5,-4328.6,-2379.0,-3164.0,False,,True,False,,,True,True,True,False,False,,False,False,True,True
Arizona,23221,24070.0,39497.0,,16045.4,4569.0,,14707.0,22455.0,20352.8,10152.0,25573.4,18090.3,,5992.3,20618.8,34184.3,30339.0,849.0,16276.0,,-7175.6,-18652.0,,-8514.0,-766.0,-2868.2,-13069.0,2352.4,-5130.7,,-17228.7,-2602.2,10963.3,7118.0,False,,False,False,,False,True,False,False,False,False,,False,False,False,False
Arkansas,30158,27250.0,38893.0,,22785.4,15748.0,,29288.0,33467.8,48645.3,11211.6,35629.9,17313.3,,13346.3,19750.0,26379.0,17194.0,-2908.0,8735.0,,-7372.6,-14410.0,,-870.0,3309.8,18487.3,-18946.4,5471.9,-12844.7,,-16811.7,-10408.0,-3779.0,-12964.0,False,,False,False,,True,False,False,False,False,False,,False,False,False,False
California,120371,121900.0,196924.0,,86252.1,85049.0,,119327.0,72625.2,110697.7,95348.8,86097.4,70187.0,,42230.6,98430.5,87497.5,97416.0,1529.0,76553.0,,-34118.9,-35322.0,,-1044.0,-47745.8,-9673.3,-25022.2,-34273.6,-50184.0,,-78140.4,-21940.5,-32873.5,-22955.0,False,,False,False,,True,False,False,False,False,False,,False,False,False,False
Colorado,29044,17300.0,44808.0,,13221.4,728.0,,12932.0,17722.3,14811.6,12038.9,11814.4,12660.8,,10172.7,10350.9,48617.3,26725.0,-11744.0,15764.0,,-15822.6,-28316.0,,-16112.0,-11321.7,-14232.4,-17005.1,-17229.6,-16383.2,,-18871.3,-18693.1,19573.3,-2319.0,False,,False,False,,False,True,False,False,False,False,,False,False,False,True
Connecticut,10525,6005.0,14223.0,,5497.4,15.0,,4327.0,6298.0,4167.8,6042.4,5888.8,1892.8,,473.2,5562.6,4424.5,3840.0,-4520.0,3698.0,,-5027.6,-10510.0,,-6198.0,-4227.0,-6357.2,-4482.6,-4636.2,-8632.2,,-10051.8,-4962.4,-6100.5,-6685.0,True,,False,False,,False,True,False,True,False,False,,False,False,False,False
Delaware,4398,3615.0,3212.0,,4401.5,9.0,,2634.0,4761.7,2897.3,1871.7,2818.2,1825.2,,1290.5,2647.8,3372.0,2780.0,-783.0,-1186.0,,3.5,-4389.0,,-1764.0,363.7,-1500.7,-2526.3,-1579.8,-2572.8,,-3107.5,-1750.2,-1026.0,-1618.0,False,,True,False,,False,True,False,False,False,False,,False,False,False,False
District of Columbia,1804,2045.0,1009.0,,1342.1,81.0,,1407.0,1440.7,1945.9,1404.5,1132.8,1081.7,,1044.1,1716.4,2044.7,2546.0,241.0,-795.0,,-461.9,-1723.0,,-397.0,-363.3,141.9,-399.5,-671.2,-722.3,,-759.9,-87.6,240.7,742.0,False,,False,False,,False,False,True,False,False,False,,False,True,True,False
Florida,95018,98310.0,134385.0,,78458.7,27381.0,,88413.0,93930.2,93501.8,53388.4,42326.9,60474.3,,30233.7,79564.7,74132.6,67673.0,3292.0,39367.0,,-16559.3,-67637.0,,-6605.0,-1087.8,-1516.2,-41629.6,-52691.1,-34543.7,,-64784.3,-15453.3,-20885.4,-27345.0,False,,False,False,,False,True,True,False,False,False,,False,False,False,False
