,count,mean,median,std,min,25%,75%,max
COVIDhub-baseline,3141,136.4,41.0,429.4,0.0,14.0,111.0,11705.0
OliverWyman-Navigator,2795,139.3,45.0,430.5,0.0,16.7,118.0,10750.0
CEID-Walk,3141,139.9,41.7,443.2,0.0,14.7,112.8,12062.2
LNQ-ens1,3141,141.6,43.7,425.4,0.0,16.0,117.4,12641.4
USC-SI_kJalpha,3107,154.7,49.0,472.8,0.0,18.0,129.0,10808.0
COVIDhub-ensemble,3141,155.2,48.0,472.6,0.0,16.0,129.0,14687.0
JHUAPL-Bucky,3141,155.8,42.2,495.2,0.0,15.6,121.0,15001.8
IowaStateLW-STEM,3103,163.1,45.0,533.9,0.0,15.0,129.0,15243.0
UCLA-SuEIR,2660,174.8,49.8,508.0,0.0,17.7,143.5,14035.3
JHU_IDD-CovidSP,3139,184.2,54.5,621.2,0.0,18.8,146.9,18466.9
CU-select,3078,190.8,54.0,1360.7,0.0,21.3,136.0,70373.0
LANL-GrowthRate,2951,199.0,74.8,514.0,0.0,29.5,183.0,14720.1
UVA-Ensemble,2721,199.5,60.0,528.6,0.0,20.0,167.3,13557.3
RobertWalraven-ESG,3141,239.4,70.5,700.9,0.0,25.2,195.7,15675.7
