,predicted_cases,actual_cases,error,perc_error
CU-select,1994384.0,1827466,166918.0,9.1%
USACE-ERDC_SEIR,1622407.3,1827466,-205058.7,-11.2%
JHUAPL-Bucky,1543188.6,1827466,-284277.4,-15.6%
QJHong-Encounter,1499389.0,1827466,-328077.0,-18.0%
IBF-TimeSeries,1400735.0,1827466,-426731.0,-23.4%
COVIDhub-baseline,1399235.0,1827466,-428231.0,-23.4%
JCB-PRM,1255790.2,1827466,-571675.8,-31.3%
USC-SI_kJalpha,1255126.0,1827466,-572340.0,-31.3%
IowaStateLW-STEM,1216209.0,1827466,-611257.0,-33.4%
Columbia_UNC-SurvCon,1190783.0,1827466,-636683.0,-34.8%
Karlen-pypm,1163578.7,1827466,-663887.3,-36.3%
UCLA-SuEIR,1067251.4,1827466,-760214.6,-41.6%
JHU_IDD-CovidSP,957462.5,1827466,-870003.5,-47.6%
LANL-GrowthRate,897265.6,1827466,-930200.4,-50.9%
Covid19Sim-Simulator,778774.6,1827466,-1048691.4,-57.4%
RobertWalraven-ESG,747455.1,1827466,-1080010.9,-59.1%
CovidAnalytics-DELPHI,661522.0,1827466,-1165944.0,-63.8%
