,count,mean,median,std,min,25%,75%,max
OliverWyman-Navigator,51,2636.3,1244.0,3878.3,8.0,411.0,2844.5,18659.0
JCB-PRM,51,3114.8,1907.9,3505.3,12.3,653.9,4306.1,16633.4
LNQ-ens1,51,3231.7,1840.4,4844.7,0.0,629.2,3264.4,24079.3
CU-select,51,3657.1,2054.0,4881.5,42.0,913.5,4336.0,22745.0
USACE-ERDC_SEIR,51,3732.2,2021.9,5125.5,4.3,730.0,4431.9,26659.7
DDS-NBDS,51,3747.6,1947.7,4528.6,17.3,626.7,5130.0,23584.5
USC-SI_kJalpha,51,4022.6,2281.0,5528.3,30.0,1044.0,4225.5,24892.0
COVIDhub-baseline,51,4026.1,2298.0,5427.1,11.0,1158.5,4339.0,24055.0
CEID-Walk,51,4172.4,2304.6,5752.5,6.7,1071.7,4024.8,23564.4
UMich-RidgeTfReg,50,4193.8,2051.9,5892.7,6.0,381.4,5357.0,26344.7
IQVIA_ACOE-STAN,49,4213.1,1957.0,5390.0,36.0,746.0,5632.0,22184.0
Karlen-pypm,51,4289.1,2267.1,5906.4,54.2,777.2,4420.6,30590.5
Covid19Sim-Simulator,51,4702.7,2842.8,5312.4,10.3,1363.2,6049.8,26426.7
JHUAPL-Bucky,51,4816.6,2736.6,5735.2,17.4,1089.4,6392.4,26029.8
COVIDhub-ensemble,51,4835.9,2780.0,5901.8,15.0,1556.0,5467.5,24498.0
RobertWalraven-ESG,51,5484.7,3621.1,7381.6,4.2,1508.7,6399.6,44012.4
LANL-GrowthRate,51,5635.9,3860.6,6867.9,44.3,1728.5,5883.9,37177.0
IowaStateLW-STEM,49,5892.6,4387.0,6298.7,68.0,1633.0,7375.5,27957.0
UCLA-SuEIR,51,6075.3,3949.3,7161.0,43.4,1756.8,6644.3,32141.3
Google_Harvard-CPF,51,7683.1,4984.5,8483.5,23.8,1538.9,10210.1,33435.0
JHU_IDD-CovidSP,51,7993.7,6810.5,8801.1,8.0,1925.8,8877.8,41318.2
CovidAnalytics-DELPHI,51,9690.3,5922.0,10955.0,54.0,3166.0,13294.5,44488.0
TTU-squider,51,9756.4,7746.9,11017.3,12.8,2064.4,11428.2,48825.3
