,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,578,434.0,,,,,621.0,,86.8,,220.3,394.4,,,-144.0,,,,,43.0,,-491.2,,-357.7,-183.6,,,,,,,True,,False,,False,False,,
01003,1958,1645.0,,,,,1190.0,,783.0,,540.4,1800.6,,,-313.0,,,,,-768.0,,-1175.0,,-1417.6,-157.4,,,,,,,False,,False,,False,True,,
01005,259,0.0,,,,,300.0,,84.5,,8.0,27.2,,,-259.0,,,,,41.0,,-174.5,,-251.0,-231.8,,,,,,,True,,True,,True,True,,
01007,263,189.0,,,,,339.0,,54.1,,39.0,185.0,,,-74.0,,,,,76.0,,-208.9,,-224.1,-78.0,,,,,,,False,,False,,False,False,,
01009,548,406.0,,,,,514.0,,95.4,,177.2,262.1,,,-142.0,,,,,-34.0,,-452.6,,-370.8,-285.9,,,,,,,True,,False,,False,False,,
01011,79,63.0,,,,,245.0,,5.1,,38.5,58.9,,,-16.0,,,,,166.0,,-73.9,,-40.5,-20.1,,,,,,,False,,False,,False,False,,
01013,130,182.0,,,,,207.0,,32.2,,91.6,134.5,,,52.0,,,,,77.0,,-97.8,,-38.4,4.5,,,,,,,False,,False,,True,True,,
01015,1790,1617.0,,,,,1017.0,,700.8,,280.5,1143.1,,,-173.0,,,,,-773.0,,-1089.2,,-1509.5,-646.9,,,,,,,False,,False,,False,False,,
01017,292,0.0,,,,,253.0,,2.9,,17.0,31.4,,,-292.0,,,,,-39.0,,-289.1,,-275.0,-260.6,,,,,,,True,,True,,True,True,,
01019,283,161.0,,,,,160.0,,22.8,,55.8,119.0,,,-122.0,,,,,-123.0,,-260.2,,-227.2,-164.0,,,,,,,False,,False,,False,False,,
01021,607,798.0,,,,,558.0,,289.6,,189.7,517.0,,,191.0,,,,,-49.0,,-317.4,,-417.3,-90.0,,,,,,,True,,False,,False,True,,
01023,62,56.0,,,,,81.0,,10.1,,0.6,51.3,,,-6.0,,,,,19.0,,-51.9,,-61.4,-10.7,,,,,,,False,,False,,False,False,,
01025,342,91.0,,,,,284.0,,8.0,,44.4,215.3,,,-251.0,,,,,-58.0,,-334.0,,-297.6,-126.7,,,,,,,True,,False,,False,True,,
01027,332,350.0,,,,,119.0,,103.8,,92.0,263.7,,,18.0,,,,,-213.0,,-228.2,,-240.0,-68.3,,,,,,,False,,False,,False,False,,
