,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,992,969.0,969.0,771.7,-23.0,-23.0,-220.3,False,False
Austria,688,682.3,683.0,681.5,-5.7,-5.0,-6.5,True,False
Belgium,9696,9700.3,9711.0,9746.0,4.3,15.0,50.0,False,False
Bolivia,740,744.1,749.0,842.6,4.1,9.0,102.6,False,False
Brazil,49976,48834.0,48535.0,50004.7,-1142.0,-1441.0,28.7,False,True
Bulgaria,199,184.6,188.0,164.2,-14.4,-11.0,-34.8,True,False
Canada,8466,8455.1,8450.0,7886.1,-10.9,-16.0,-579.9,False,False
Chile,4295,4146.3,4128.0,2214.7,-148.7,-167.0,-2080.3,False,False
Colombia,2148,2118.7,2144.0,2227.8,-29.3,-4.0,79.8,True,False
Croatia,107,109.1,109.0,103.6,2.1,2.0,-3.4,True,False
Cuba,85,84.7,85.0,84.9,-0.3,0.0,-0.1,True,True
Cyprus,19,18.0,18.0,17.8,-1.0,-1.0,-1.2,False,False
Czechia,336,331.4,334.0,344.4,-4.6,-2.0,8.4,True,False
Denmark,600,601.6,604.0,603.3,1.6,4.0,3.3,False,False
Dominican Republic,655,652.1,631.0,583.6,-2.9,-24.0,-71.4,False,False
Ecuador,4156,4134.0,4102.0,5476.4,-22.0,-54.0,1320.4,False,False
Egypt,2106,1958.4,1906.0,1762.3,-147.6,-200.0,-343.7,False,False
Estonia,69,69.0,70.0,76.0,0.0,1.0,7.0,False,False
Finland,326,328.1,330.0,342.4,2.1,4.0,16.4,False,False
France,29636,29601.1,29582.0,31893.2,-34.9,-54.0,2257.2,False,False
Germany,8895,8887.0,8926.0,8926.6,-8.0,31.0,31.6,False,False
Greece,190,185.4,186.0,187.1,-4.6,-4.0,-2.9,True,True
Honduras,358,364.9,360.0,381.8,6.9,2.0,23.8,True,False
Hungary,570,573.7,576.0,575.9,3.7,6.0,5.9,False,False
Iceland,10,10.0,10.0,10.3,0.0,0.0,0.3,True,False
Ireland,1715,1722.4,1718.0,1670.0,7.4,3.0,-45.0,True,False
Israel,305,304.9,306.0,316.0,-0.1,1.0,11.0,False,False
Italy,34610,34661.7,34558.0,34123.9,51.7,-52.0,-486.1,False,False
Japan,955,935.4,943.0,1048.9,-19.6,-12.0,93.9,True,False
Latvia,30,29.4,29.0,25.9,-0.6,-1.0,-4.1,False,False
Lithuania,76,79.6,78.0,87.6,3.6,2.0,11.6,True,False
Luxembourg,110,110.0,111.0,114.3,0.0,1.0,4.3,False,False
Malaysia,121,123.9,124.0,113.9,2.9,3.0,-7.1,False,False
Mexico,20781,20099.3,19980.0,19136.8,-681.7,-801.0,-1644.2,False,False
Moldova,464,452.4,457.0,420.7,-11.6,-7.0,-43.3,True,False
Netherlands,6108,6119.0,6135.0,6124.9,11.0,27.0,16.9,False,False
Norway,244,244.1,244.0,231.9,0.1,0.0,-12.1,True,False
Panama,493,483.7,483.0,540.3,-9.3,-10.0,47.3,False,False
Peru,7861,7780.7,7746.0,11186.0,-80.3,-115.0,3325.0,False,False
Philippines,1150,1160.1,1145.0,1185.3,10.1,-5.0,35.3,True,False
Poland,1346,1320.3,1313.0,1210.9,-25.7,-33.0,-135.1,False,False
Portugal,1528,1545.0,1552.0,1754.5,17.0,24.0,226.5,False,False
Romania,1500,1489.9,1474.0,1402.4,-10.1,-26.0,-97.6,False,False
Russia,7992,7879.6,7868.0,9129.2,-112.4,-124.0,1137.2,False,False
Serbia,260,258.6,259.0,289.7,-1.4,-1.0,29.7,True,False
Slovakia,28,28.0,28.0,28.3,0.0,0.0,0.3,True,False
Slovenia,109,109.0,110.0,112.4,0.0,1.0,3.4,False,False
South Korea,280,280.9,281.0,301.4,0.9,1.0,21.4,False,False
Spain,28322,27136.0,27252.0,26964.2,-1186.0,-1070.0,-1357.8,True,False
Sweden,5053,5031.7,5044.0,5806.6,-21.3,-9.0,753.6,True,False
Switzerland,1956,1950.4,1948.0,1949.8,-5.6,-8.0,-6.2,False,False
Turkey,4927,4906.4,4901.0,4942.0,-20.6,-26.0,15.0,False,True
Ukraine,1004,986.7,991.0,1007.8,-17.3,-13.0,3.8,True,True
United Kingdom,42674,42636.0,42486.0,41986.6,-38.0,-188.0,-687.4,False,False
