,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,992,702.6,786.0,575.8,-289.4,-206.0,-416.2,True,False
Austria,688,671.4,718.0,645.8,-16.6,30.0,-42.2,False,False
Belgium,9696,10838.4,10000.0,10473.5,1142.4,304.0,777.5,True,True
Brazil,49976,41367.3,49611.0,45820.0,-8608.7,-365.0,-4156.0,True,True
Bulgaria,199,190.1,196.0,168.8,-8.9,-3.0,-30.2,True,False
Canada,8466,9943.6,9496.0,9043.5,1477.6,1030.0,577.5,True,True
Chile,4295,1208.7,1371.0,605.1,-3086.3,-2924.0,-3689.9,True,False
Colombia,2148,1124.7,1472.0,1306.3,-1023.3,-676.0,-841.7,True,True
Croatia,107,113.9,136.0,125.0,6.9,29.0,18.0,False,False
Cyprus,19,21.7,22.0,10.0,2.7,3.0,-9.0,False,False
Czechia,336,367.7,366.0,380.4,31.7,30.0,44.4,True,False
Denmark,600,647.0,660.0,718.0,47.0,60.0,118.0,False,False
Dominican Republic,655,627.3,582.0,730.1,-27.7,-73.0,75.1,False,False
Ecuador,4156,5882.1,5160.0,5138.8,1726.1,1004.0,982.8,True,True
Egypt,2106,1173.0,1297.0,1233.0,-933.0,-809.0,-873.0,True,True
Estonia,69,78.1,84.0,64.5,9.1,15.0,-4.5,False,True
Finland,326,436.7,415.0,396.9,110.7,89.0,70.9,True,True
France,29636,35766.0,32254.0,30617.5,6130.0,2618.0,981.5,True,True
Germany,8895,9615.3,9521.0,9551.7,720.3,626.0,656.7,True,True
Greece,190,231.0,198.0,164.3,41.0,8.0,-25.7,True,True
Hungary,570,655.3,620.0,648.4,85.3,50.0,78.4,True,True
Iceland,10,10.0,12.0,16.9,0.0,2.0,6.9,False,False
Ireland,1715,1924.1,1808.0,1731.0,209.1,93.0,16.0,True,True
Israel,305,360.9,332.0,271.8,55.9,27.0,-33.2,True,True
Italy,34610,37984.7,35933.0,34600.5,3374.7,1323.0,-9.5,True,True
Latvia,30,23.7,30.0,16.0,-6.3,0.0,-14.0,True,False
Lithuania,76,101.4,77.0,54.4,25.4,1.0,-21.6,True,True
Luxembourg,110,135.3,125.0,114.4,25.3,15.0,4.4,True,True
Malaysia,121,131.9,136.0,112.1,10.9,15.0,-8.9,False,True
Mexico,20781,13624.4,16066.0,5688.4,-7156.6,-4715.0,-15092.6,True,False
Moldova,464,415.0,505.0,344.9,-49.0,41.0,-119.1,True,False
Netherlands,6108,6835.0,6718.0,6831.0,727.0,610.0,723.0,True,True
Norway,244,275.4,264.0,224.9,31.4,20.0,-19.1,True,True
Panama,493,420.4,442.0,484.3,-72.6,-51.0,-8.7,True,True
Peru,7861,6692.4,5951.0,4945.1,-1168.6,-1910.0,-2915.9,False,False
Philippines,1150,1326.0,1275.0,1438.7,176.0,125.0,288.7,True,False
Poland,1346,1525.3,1475.0,1336.5,179.3,129.0,-9.5,True,True
Portugal,1528,1641.1,1562.0,1547.8,113.1,34.0,19.8,True,True
Romania,1500,1770.6,1831.0,2258.2,270.6,331.0,758.2,False,False
Slovakia,28,37.4,35.0,24.1,9.4,7.0,-3.9,True,True
Slovenia,109,113.4,121.0,119.5,4.4,12.0,10.5,False,False
South Korea,280,286.6,298.0,320.8,6.6,18.0,40.8,False,False
Spain,28322,32258.3,30304.0,29443.5,3936.3,1982.0,1121.5,True,True
Sweden,5053,5781.7,5616.0,5398.9,728.7,563.0,345.9,True,True
Switzerland,1956,2079.3,2088.0,1935.3,123.3,132.0,-20.7,False,True
Turkey,4927,5726.7,5065.0,5033.1,799.7,138.0,106.1,True,True
Ukraine,1004,1133.7,1704.0,902.2,129.7,700.0,-101.8,False,True
United Kingdom,42674,47769.6,42898.0,42554.2,5095.6,224.0,-119.8,True,True
