,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,171853,158172.0,,137740.1,,162817.0,208319.9,160991.2,,104344.4,115592.0,40110.2,-13681.0,,-34112.9,,-9036.0,36466.9,-10861.8,,-67508.6,-56261.0,-131742.8,,False,,True,False,True,,False,False,False
Alaska,16879,33789.0,,37923.0,,,54543.6,62591.4,,31766.6,22335.0,5916.3,16910.0,,21044.0,,,37664.6,45712.4,,14887.6,5456.0,-10962.7,,False,,,False,False,,True,True,True
Arizona,356457,252882.0,,266186.6,,253630.0,421590.6,459343.4,,260250.4,151669.0,76174.1,-103575.0,,-90270.4,,-102827.0,65133.6,102886.4,,-96206.6,-204788.0,-280282.9,,True,,True,True,True,,True,False,False
Arkansas,113613,100492.0,,88928.2,,115344.0,156391.1,79178.9,,121413.8,58654.0,14535.7,-13121.0,,-24684.8,,1731.0,42778.1,-34434.1,,7800.8,-54959.0,-99077.3,,False,,True,False,False,,True,False,False
California,1811765,961219.0,,1314026.3,,865806.0,1509287.0,1759571.2,,1121434.4,849018.0,,-850546.0,,-497738.7,,-945959.0,-302478.0,-52193.8,,-690330.6,-962747.0,,,True,,False,True,True,,True,False,
Colorado,127619,224448.0,,243908.0,,202214.0,341415.2,134736.4,,235543.0,113208.0,38181.5,96829.0,,116289.0,,74595.0,213796.2,7117.4,,107924.0,-14411.0,-89437.5,,False,,True,False,True,,False,True,True
Connecticut,110100,105938.0,,92314.9,,92553.0,167741.2,96794.2,,108134.3,55495.0,16248.1,-4162.0,,-17785.1,,-17547.0,57641.2,-13305.8,,-1965.7,-54605.0,-93851.9,,False,,False,False,False,,True,False,False
Delaware,34819,30982.0,,34546.6,,29580.0,55041.9,51338.6,,34834.7,24588.0,13840.3,-3837.0,,-272.4,,-5239.0,20222.9,16519.6,,15.7,-10231.0,-20978.7,,True,,False,False,False,,True,False,False
District of Columbia,12205,10948.0,,10912.8,,13284.0,22827.3,11143.9,,9914.2,8055.0,2780.1,-1257.0,,-1292.2,,1079.0,10622.3,-1061.1,,-2290.8,-4150.0,-9424.9,,False,,True,False,True,,False,False,False
Florida,590276,450387.0,,425460.4,,362847.0,805375.8,414207.2,,549070.8,308154.0,,-139889.0,,-164815.6,,-227429.0,215099.8,-176068.8,,-41205.2,-282122.0,,,False,,False,False,False,,True,False,
Georgia,362787,222649.0,,191696.2,,186260.0,285646.9,196651.4,,221613.9,141610.0,,-140138.0,,-171090.8,,-176527.0,-77140.1,-166135.6,,-141173.1,-221177.0,,,False,,False,True,False,,False,False,
Hawaii,6498,4592.0,,4699.5,,,5098.6,3923.5,,2748.4,2547.0,432.7,-1906.0,,-1798.5,,,-1399.4,-2574.5,,-3749.6,-3951.0,-6065.3,,True,,,True,False,,False,False,False
