,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,1359,1204.0,,1295.5,,1131.0,887.0,,,,,1090.6,759.0,,,1196.0,,1792.3,,830.7,1028.0,,1941.5,912.3,,,1204.0,569.2,,,,,1157.1,,,,917.1,-155.0,,-63.5,,-228.0,-472.0,,,,,-268.4,-600.0,,,-163.0,,433.3,,-528.3,-331.0,,582.5,-446.7,,,-155.0,-789.8,,,,,-201.9,,,,-441.9,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,,,False,False,,,,,False,,,,False
01003,4420,3944.0,,3959.7,,3435.0,3144.0,,,,,3305.0,3031.3,,,3362.0,,3317.8,,2864.4,3605.0,,4925.5,3123.3,,,3951.0,4033.7,,,,,2262.8,2357.0,,,3838.3,-476.0,,-460.3,,-985.0,-1276.0,,,,,-1115.0,-1388.7,,,-1058.0,,-1102.2,,-1555.6,-815.0,,505.5,-1296.7,,,-469.0,-386.3,,,,,-2157.2,-2063.0,,,-581.7,,True,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,,,True,True,,,,,False,False,,,False
01005,407,272.0,,263.5,,289.0,289.0,,,,,358.4,215.7,,,424.0,,355.5,,167.2,,,547.0,229.4,,,311.0,281.4,,,,,,,,,248.4,-135.0,,-143.5,,-118.0,-118.0,,,,,-48.6,-191.3,,,17.0,,-51.5,,-239.8,,,140.0,-177.6,,,-96.0,-125.6,,,,,,,,,-158.6,,False,,True,True,,,,,True,False,,,True,,True,,False,,,False,False,,,True,True,,,,,,,,,False
01007,484,552.0,,540.1,,498.0,370.0,,,,,470.0,398.6,,,463.0,,709.8,,338.0,,,987.0,412.4,,,516.0,427.5,,,,,,,,,692.1,68.0,,56.1,,14.0,-114.0,,,,,-14.0,-85.4,,,-21.0,,225.8,,-146.0,,,503.0,-71.6,,,32.0,-56.5,,,,,,,,,208.1,,True,,True,False,,,,,True,False,,,True,,False,,False,,,False,False,,,True,True,,,,,,,,,False
01009,1016,1020.0,,940.5,,1030.0,669.0,,,,,1171.8,777.3,,,1428.0,,1186.2,,761.6,881.0,,1620.5,686.7,,,1154.0,1072.1,,,,,1067.1,,,,885.5,4.0,,-75.5,,14.0,-347.0,,,,,155.8,-238.7,,,412.0,,170.2,,-254.4,-135.0,,604.5,-329.3,,,138.0,56.1,,,,,51.1,,,,-130.5,,False,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,,,False,False,,,,,False,,,,False
01011,209,292.0,,283.8,,153.0,3.0,,,,,188.9,397.0,,,154.0,,117.5,,132.4,,,95.0,163.6,,,218.0,177.7,,,,,,,,,140.6,83.0,,74.8,,-56.0,-206.0,,,,,-20.1,188.0,,,-55.0,,-91.5,,-76.6,,,-114.0,-45.4,,,9.0,-31.3,,,,,,,,,-68.4,,True,,True,False,,,,,True,False,,,True,,False,,True,,,False,True,,,True,True,,,,,,,,,True
01013,285,212.0,,232.4,,231.0,15.0,,,,,366.0,192.1,,,303.0,,204.4,,212.1,,,321.0,190.4,,,281.0,307.0,,,,,,,,,167.4,-73.0,,-52.6,,-54.0,-270.0,,,,,81.0,-92.9,,,18.0,,-80.6,,-72.9,,,36.0,-94.6,,,-4.0,22.0,,,,,,,,,-117.6,,True,,True,False,,,,,False,False,,,True,,False,,True,,,True,False,,,True,True,,,,,,,,,False
01015,2298,2416.0,,2226.2,,2196.0,1508.0,,,,,2358.4,1849.9,,,2852.0,,2191.3,,1481.4,1742.0,,3179.5,1584.3,,,2303.0,2904.4,,,,,1495.5,,,,29.6,118.0,,-71.8,,-102.0,-790.0,,,,,60.4,-448.1,,,554.0,,-106.7,,-816.6,-556.0,,881.5,-713.7,,,5.0,606.4,,,,,-802.5,,,,-2268.4,,True,,True,False,,,,,True,False,,,False,,True,,False,False,,False,False,,,True,False,,,,,False,,,,False
01017,831,348.0,,357.8,,351.0,325.0,,,,,496.7,323.9,,,629.0,,219.9,,268.4,433.5,,398.0,295.7,,,462.0,367.9,,,,,337.4,,,,232.3,-483.0,,-473.2,,-480.0,-506.0,,,,,-334.3,-507.1,,,-202.0,,-611.1,,-562.6,-397.5,,-433.0,-535.3,,,-369.0,-463.1,,,,,-493.6,,,,-598.7,,True,,True,False,,,,,True,False,,,True,,False,,False,True,,True,False,,,True,True,,,,,False,,,,False
01019,283,360.0,,342.4,,348.0,334.0,,,,,342.6,319.1,,,580.0,,350.3,,251.0,,,492.0,262.8,,,438.0,379.3,,,,,,,,,312.0,77.0,,59.4,,65.0,51.0,,,,,59.6,36.1,,,297.0,,67.3,,-32.0,,,209.0,-20.2,,,155.0,96.3,,,,,,,,,29.0,,True,,True,True,,,,,True,True,,,False,,True,,True,,,False,True,,,False,False,,,,,,,,,True
