,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,2623,1104.0,,,,1082.0,,555.9,2042.0,,1304.4,,,-1519.0,,,,-1541.0,,-2067.1,-581.0,,-1318.6,,,,,,False,,False,True,,True,,
01003,8395,4816.0,,,,2909.0,,10564.5,8416.0,,3970.1,,,-3579.0,,,,-5486.0,,2169.5,21.0,,-4424.9,,,,,,False,,True,True,,False,,
01005,632,128.0,,,,413.0,,153.4,368.0,,,,,-504.0,,,,-219.0,,-478.6,-264.0,,,,,,,,True,,True,True,,,,
01007,1044,1144.0,,,,534.0,,5063.1,1191.0,,,,,100.0,,,,-510.0,,4019.1,147.0,,,,,,,,False,,False,False,,,,
01009,2540,1496.0,,,,1548.0,,734.9,2488.0,,1647.5,,,-1044.0,,,,-992.0,,-1805.1,-52.0,,-892.5,,,,,,True,,False,True,,True,,
01011,339,64.0,,,,152.0,,59.4,258.0,,,,,-275.0,,,,-187.0,,-279.6,-81.0,,,,,,,,True,,False,True,,,,
01013,576,264.0,,,,291.0,,545.3,535.0,,,,,-312.0,,,,-285.0,,-30.7,-41.0,,,,,,,,True,,True,True,,,,
01015,5195,3016.0,,,,2846.0,,1323.1,4744.0,,2757.5,,,-2179.0,,,,-2349.0,,-3871.9,-451.0,,-2437.5,,,,,,False,,False,True,,False,,
01017,1266,792.0,,,,590.0,,1580.9,979.0,,,,,-474.0,,,,-676.0,,314.9,-287.0,,,,,,,,False,,True,True,,,,
01019,629,344.0,,,,620.0,,583.9,822.0,,,,,-285.0,,,,-9.0,,-45.1,193.0,,,,,,,,True,,True,True,,,,
01021,1209,720.0,,,,916.0,,919.3,1680.0,,475.8,,,-489.0,,,,-293.0,,-289.7,471.0,,-733.2,,,,,,True,,True,True,,False,,
01023,98,48.0,,,,221.0,,34.4,385.0,,,,,-50.0,,,,123.0,,-63.6,287.0,,,,,,,,False,,False,False,,,,
01025,1396,296.0,,,,445.0,,144.0,927.0,,,,,-1100.0,,,,-951.0,,-1252.0,-469.0,,,,,,,,True,,False,True,,,,
01027,380,288.0,,,,280.0,,318.7,502.0,,,,,-92.0,,,,-100.0,,-61.3,122.0,,,,,,,,False,,True,False,,,,
01029,444,256.0,,,,324.0,,1014.2,504.0,,,,,-188.0,,,,-120.0,,570.2,60.0,,,,,,,,True,,False,True,,,,
01031,2153,1384.0,,,,866.0,,524.1,2205.0,,1028.0,,,-769.0,,,,-1287.0,,-1628.9,52.0,,-1125.0,,,,,,False,,False,True,,False,,
01033,2367,1568.0,,,,1736.0,,385.8,2521.0,,669.9,,,-799.0,,,,-631.0,,-1981.2,154.0,,-1697.1,,,,,,True,,False,True,,False,,
01035,296,128.0,,,,190.0,,55.4,380.0,,,,,-168.0,,,,-106.0,,-240.6,84.0,,,,,,,,True,,False,True,,,,
01037,290,320.0,,,,163.0,,1315.7,409.0,,,,,30.0,,,,-127.0,,1025.7,119.0,,,,,,,,False,,False,False,,,,
01039,1199,584.0,,,,669.0,,543.3,1310.0,,357.1,,,-615.0,,,,-530.0,,-655.7,111.0,,-841.9,,,,,,True,,False,True,,False,,
01041,526,88.0,,,,217.0,,55.3,534.0,,,,,-438.0,,,,-309.0,,-470.7,8.0,,,,,,,,True,,False,True,,,,
01043,3863,2632.0,,,,2695.0,,885.9,3856.0,,2710.5,,,-1231.0,,,,-1168.0,,-2977.1,-7.0,,-1152.5,,,,,,True,,False,True,,True,,
01045,1770,672.0,,,,879.0,,115.4,1380.0,,461.3,,,-1098.0,,,,-891.0,,-1654.6,-390.0,,-1308.7,,,,,,True,,False,True,,False,,
01047,874,592.0,,,,612.0,,3773.7,1140.0,,222.5,,,-282.0,,,,-262.0,,2899.7,266.0,,-651.5,,,,,,True,,False,True,,False,,
