,mean_rank
Microsoft-DeepSTIA,8.9
CEID-Walk,9.8
COVIDhub-baseline,9.9
COVIDhub-ensemble,10.3
Covid19Sim-Simulator,10.6
IowaStateLW-STEM,10.8
JHU_CSSE-DECOM,11.1
LNQ-ens1,11.6
OliverWyman-Navigator,12.1
JHUAPL-Bucky,12.6
USC-SI_kJalpha,13.1
UVA-Ensemble,13.4
BPagano-RtDriven,14.1
OneQuietNight-ML,14.2
Google_Harvard-CPF,14.7
LANL-GrowthRate,14.8
IEM_MED-CovidProject,14.9
UCLA-SuEIR,15.3
RobertWalraven-ESG,15.4
UMich-RidgeTfReg,16.8
Karlen-pypm,17.2
DDS-NBDS,18.1
UCSB-ACTS,18.6
TTU-squider,20.1
JHU_UNC_GAS-StatMechPool,20.4
CU-select,21.0
CovidAnalytics-DELPHI,21.4
Wadhwani_AI-BayesOpt,21.6
JHU_IDD-CovidSP,22.2
