,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2379,1708.0,,,,1227.0,,1263.0,,871.3,,,-671.0,,,,-1152.0,,-1116.0,,-1507.7,,,,,,False,,False,,False,,
01003,7502,6251.0,,,,3348.0,,10843.3,,4429.0,6348.0,,-1251.0,,,,-4154.0,,3341.3,,-3073.0,-1154.0,,,,,False,,False,,False,True,
01005,586,322.0,,,,446.0,,372.3,,,,,-264.0,,,,-140.0,,-213.7,,,,,,,,True,,True,,,,
01007,940,728.0,,,,527.0,,1011.2,,,,,-212.0,,,,-413.0,,71.2,,,,,,,,False,,True,,,,
01009,2181,2513.0,,,,1697.0,,1898.5,,1320.5,,,332.0,,,,-484.0,,-282.5,,-860.5,,,,,,False,,True,,False,,
01011,321,119.0,,,,178.0,,126.4,,,,,-202.0,,,,-143.0,,-194.6,,,,,,,,True,,True,,,,
01013,516,420.0,,,,358.0,,247.9,,,,,-96.0,,,,-158.0,,-268.1,,,,,,,,False,,False,,,,
01015,4469,5082.0,,,,3131.0,,5391.3,,3108.0,,,613.0,,,,-1338.0,,922.3,,-1361.0,,,,,,False,,False,,False,,
01017,1133,931.0,,,,684.0,,774.5,,,,,-202.0,,,,-449.0,,-358.5,,,,,,,,False,,False,,,,
01019,561,476.0,,,,689.0,,202.9,,,,,-85.0,,,,128.0,,-358.1,,,,,,,,False,,False,,,,
01021,1071,966.0,,,,976.0,,1677.5,,638.7,,,-105.0,,,,-95.0,,606.5,,-432.3,,,,,,True,,False,,False,,
01023,82,112.0,,,,302.0,,821.9,,,,,30.0,,,,220.0,,739.9,,,,,,,,False,,False,,,,
01025,1320,532.0,,,,548.0,,448.9,,,,,-788.0,,,,-772.0,,-871.1,,,,,,,,True,,False,,,,
01027,343,259.0,,,,320.0,,191.2,,,,,-84.0,,,,-23.0,,-151.8,,,,,,,,True,,False,,,,
01029,397,329.0,,,,405.0,,164.1,,,,,-68.0,,,,8.0,,-232.9,,,,,,,,True,,False,,,,
01031,1970,1281.0,,,,961.0,,724.6,,819.6,,,-689.0,,,,-1009.0,,-1245.4,,-1150.4,,,,,,False,,False,,False,,
01033,1970,2779.0,,,,2122.0,,2807.1,,1233.2,,,809.0,,,,152.0,,837.1,,-736.8,,,,,,True,,False,,True,,
01035,245,357.0,,,,229.0,,340.2,,,,,112.0,,,,-16.0,,95.2,,,,,,,,True,,True,,,,
01037,241,343.0,,,,184.0,,312.3,,,,,102.0,,,,-57.0,,71.3,,,,,,,,True,,True,,,,
01039,1030,1183.0,,,,796.0,,1744.5,,669.5,,,153.0,,,,-234.0,,714.5,,-360.5,,,,,,False,,False,,False,,
01041,496,210.0,,,,239.0,,84.0,,,,,-286.0,,,,-257.0,,-412.0,,,,,,,,True,,False,,,,
01043,3272,4137.0,,,,3072.0,,2180.8,,2905.1,,,865.0,,,,-200.0,,-1091.2,,-366.9,,,,,,True,,False,,True,,
01045,1586,1288.0,,,,992.0,,777.6,,681.0,,,-298.0,,,,-594.0,,-808.4,,-905.0,,,,,,False,,False,,False,,
01047,758,812.0,,,,685.0,,496.0,,401.9,,,54.0,,,,-73.0,,-262.0,,-356.1,,,,,,False,,False,,False,,
01049,2589,2989.0,,,,2449.0,,1514.3,,1076.8,,,400.0,,,,-140.0,,-1074.7,,-1512.2,,,,,,True,,False,,False,,
01051,3737,2646.0,,,,1497.0,,2557.6,,2136.7,,,-1091.0,,,,-2240.0,,-1179.4,,-1600.3,,,,,,False,,False,,False,,
01053,1249,791.0,,,,859.0,,1067.7,,,,,-458.0,,,,-390.0,,-181.3,,,,,,,,True,,True,,,,
01055,4902,6244.0,,,,3308.0,,6569.8,,4967.8,,,1342.0,,,,-1594.0,,1667.8,,65.8,,,,,,False,,False,,True,,
01057,733,903.0,,,,527.0,,879.0,,,,,170.0,,,,-206.0,,146.0,,,,,,,,False,,True,,,,
01059,1056,1113.0,,,,1308.0,,1098.6,,773.1,,,57.0,,,,252.0,,42.6,,-282.9,,,,,,False,,True,,False,,
01061,797,588.0,,,,566.0,,335.6,,,,,-209.0,,,,-231.0,,-461.4,,,,,,,,False,,False,,,,
01063,313,280.0,,,,151.0,,299.1,,,,,-33.0,,,,-162.0,,-13.9,,,,,,,,False,,True,,,,
01065,830,378.0,,,,344.0,,358.3,,,,,-452.0,,,,-486.0,,-471.7,,,,,,,,False,,False,,,,
01067,674,469.0,,,,312.0,,673.0,,,,,-205.0,,,,-362.0,,-1.0,,,,,,,,False,,True,,,,
01069,3338,2758.0,,,,1912.0,,2354.1,,1794.7,,,-580.0,,,,-1426.0,,-983.9,,-1543.3,,,,,,False,,False,,False,,
01071,2152,4445.0,,,,1863.0,,10098.5,,2396.4,,,2293.0,,,,-289.0,,7946.5,,244.4,,,,,,True,,False,,True,,
01073,28435,25816.0,,,,16946.0,,23038.9,,30478.4,44795.0,,-2619.0,,,,-11489.0,,-5396.1,,2043.4,16360.0,,,,,False,,False,,True,False,
01075,457,455.0,,,,411.0,,1318.7,,,,,-2.0,,,,-46.0,,861.7,,,,,,,,False,,False,,,,
01077,3263,3605.0,,,,3732.0,,2346.2,,1714.5,,,342.0,,,,469.0,,-916.8,,-1548.5,,,,,,False,,False,,False,,
01079,1112,994.0,,,,1197.0,,618.6,,,,,-118.0,,,,85.0,,-493.4,,,,,,,,True,,False,,,,
01081,5006,2618.0,,,,2656.0,,1667.4,,1643.3,4415.0,,-2388.0,,,,-2350.0,,-3338.6,,-3362.7,-591.0,,,,,True,,False,,False,True,
01083,3623,3122.0,,,,3026.0,,2362.0,,2283.1,,,-501.0,,,,-597.0,,-1261.0,,-1339.9,,,,,,False,,False,,False,,
01085,316,238.0,,,,124.0,,392.7,,,,,-78.0,,,,-192.0,,76.7,,,,,,,,False,,True,,,,
01087,441,287.0,,,,236.0,,194.1,,,,,-154.0,,,,-205.0,,-246.9,,,,,,,,False,,False,,,,
