,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,194449,114280.0,,122283.7,,106599.0,190488.0,140922.4,220778.0,,74037.5,44129.7,59414.0,-80169.0,,-72165.3,,-87850.0,-3961.0,-53526.6,26329.0,,-120411.5,-150319.3,-135035.0,,True,,False,True,True,True,,False,False,False
Alaska,21706,33760.0,,30371.4,,,55538.6,20992.0,47977.0,,40586.5,12097.9,17873.0,12054.0,,8665.4,,,33832.6,-714.0,26271.0,,18880.5,-9608.1,-3833.0,,True,,,False,True,False,,False,True,True
Arizona,392583,219520.0,,215788.2,,197422.0,359349.9,627419.9,280740.0,,188748.4,87361.6,112902.0,-173063.0,,-176794.8,,-195161.0,-33233.1,234836.9,-111843.0,,-203834.6,-305221.4,-279681.0,,False,,False,True,False,True,,False,False,False
Arkansas,127969,89640.0,,84383.5,,117288.0,175786.3,82195.4,149239.0,,97099.8,24363.7,42153.0,-38329.0,,-43585.5,,-10681.0,47817.3,-45773.6,21270.0,,-30869.2,-103605.3,-85816.0,,False,,True,False,False,True,,True,False,False
California,1955765,761512.0,,840667.9,,721710.0,1357265.5,2312951.8,1067367.0,,1130678.7,573896.9,350553.0,-1194253.0,,-1115097.1,,-1234055.0,-598499.5,357186.8,-888398.0,,-825086.3,-1381868.1,-1605212.0,,True,,False,True,True,True,,True,False,False
Colorado,159683,244832.0,,213618.7,,225142.0,513046.8,232387.7,277204.0,,265067.8,65622.2,102952.0,85149.0,,53935.7,,65459.0,353363.8,72704.7,117521.0,,105384.8,-94060.8,-56731.0,,True,,True,False,True,False,,False,False,True
Connecticut,125234,88896.0,,87942.7,,84652.0,175893.9,90844.9,116369.0,,102115.9,14830.6,25294.0,-36338.0,,-37291.3,,-40582.0,50659.9,-34389.1,-8865.0,,-23118.1,-110403.4,-99940.0,,False,,False,False,True,True,,True,False,False
Delaware,39245,26792.0,,23877.8,,25976.0,41632.2,40835.4,40428.0,,33137.7,16182.8,16411.0,-12453.0,,-15367.2,,-13269.0,2387.2,1590.4,1183.0,,-6107.3,-23062.2,-22834.0,,False,,False,True,True,True,,True,False,False
District of Columbia,13769,8616.0,,8111.5,,10332.0,16244.6,11015.0,7421.0,,4691.6,13166.5,3775.0,-5153.0,,-5657.5,,-3437.0,2475.6,-2754.0,-6348.0,,-9077.4,-602.5,-9994.0,,False,,True,True,True,False,,False,True,False
Florida,654617,427760.0,,362173.2,,374976.0,700267.1,603408.2,663097.0,,512671.8,247627.6,156706.0,-226857.0,,-292443.8,,-279641.0,45650.1,-51208.8,8480.0,,-141945.2,-406989.4,-497911.0,,False,,False,True,True,True,,True,False,False
Georgia,394594,166080.0,,173120.2,,185914.0,281643.9,93361.6,289778.0,,135879.9,94882.2,84249.0,-228514.0,,-221473.8,,-208680.0,-112950.1,-301232.4,-104816.0,,-258714.1,-299711.8,-310345.0,,True,,True,True,False,True,,False,False,False
Hawaii,7154,5768.0,,6245.4,,,5932.6,3684.5,8585.0,,3216.4,5442.0,4209.0,-1386.0,,-908.6,,,-1221.4,-3469.5,1431.0,,-3937.6,-1712.0,-2945.0,,True,,,True,False,False,,False,False,False
