,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,204,307.0,,330.7,,306.0,351.0,,,,,271.7,,353.9,,,282.0,596.0,259.7,,305.0,281.9,,,,451.0,292.0,312.7,,,,,,249.0,285.9,,,,310.8,338.4,103.0,,126.7,,102.0,147.0,,,,,67.7,,149.9,,,78.0,392.0,55.7,,101.0,77.9,,,,247.0,88.0,108.7,,,,,,45.0,81.9,,,,106.8,134.4,,False,,True,False,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01003,952,974.0,,1008.3,,873.0,823.0,,,,,801.6,,1117.6,,,1046.0,830.3,724.0,,723.0,853.8,,,,1182.0,859.0,916.5,,,,,,649.6,792.8,832.0,,,1095.3,888.5,22.0,,56.3,,-79.0,-129.0,,,,,-150.4,,165.6,,,94.0,-121.7,-228.0,,-229.0,-98.2,,,,230.0,-93.0,-35.5,,,,,,-302.4,-159.2,-120.0,,,143.3,-63.5,,False,,False,False,,,,,False,,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,False,,,False,False
01005,82,75.0,,73.0,,74.0,60.0,,,,,84.7,,91.4,,,100.0,79.8,72.0,,76.0,73.6,,,,109.0,67.0,64.2,,,,,,,79.4,,,,134.1,73.7,-7.0,,-9.0,,-8.0,-22.0,,,,,2.7,,9.4,,,18.0,-2.2,-10.0,,-6.0,-8.4,,,,27.0,-15.0,-17.8,,,,,,,-2.6,,,,52.1,-8.3,,False,,False,False,,,,,True,,False,,,False,True,False,,True,False,,,,False,False,False,,,,,,,True,,,,False,False
01007,79,106.0,,98.1,,98.0,102.0,,,,,106.0,,118.0,,,107.0,149.1,80.3,,86.0,91.3,,,,138.0,98.0,93.8,,,,,,79.5,78.8,,,,96.3,109.7,27.0,,19.1,,19.0,23.0,,,,,27.0,,39.0,,,28.0,70.1,1.3,,7.0,12.3,,,,59.0,19.0,14.8,,,,,,0.5,-0.2,,,,17.3,30.7,,True,,True,True,,,,,True,,False,,,False,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,False
01009,170,245.0,,250.4,,226.0,288.0,,,,,248.0,,270.3,,,349.0,228.7,185.6,,178.0,203.7,,,,269.0,214.0,229.6,,,,,,208.4,181.6,,,,267.5,221.7,75.0,,80.4,,56.0,118.0,,,,,78.0,,100.3,,,179.0,58.7,15.6,,8.0,33.7,,,,99.0,44.0,59.6,,,,,,38.4,11.6,,,,97.5,51.7,,False,,True,False,,,,,False,,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01011,46,37.0,,37.1,,36.0,38.0,,,,,45.8,,46.3,,,31.0,21.6,42.0,,30.0,32.5,,,,50.0,35.0,35.3,,,,,,,31.5,,,,51.0,42.6,-9.0,,-8.9,,-10.0,-8.0,,,,,-0.2,,0.3,,,-15.0,-24.4,-4.0,,-16.0,-13.5,,,,4.0,-11.0,-10.7,,,,,,,-14.5,,,,5.0,-3.4,,True,,False,True,,,,,True,,True,,,False,False,True,,False,False,,,,True,False,False,,,,,,,False,,,,True,True
01013,47,59.0,,63.9,,63.0,60.0,,,,,74.0,,65.9,,,89.0,56.4,58.5,,72.0,62.5,,,,74.0,58.0,80.1,,,,,,,53.6,,,,62.7,62.4,12.0,,16.9,,16.0,13.0,,,,,27.0,,18.9,,,42.0,9.4,11.5,,25.0,15.5,,,,27.0,11.0,33.1,,,,,,,6.6,,,,15.7,15.4,,False,,False,False,,,,,False,,False,,,False,True,True,,False,False,,,,False,True,False,,,,,,,True,,,,False,False
01015,418,625.0,,636.3,,631.0,746.0,,,,,516.4,,721.5,,,657.0,741.2,410.3,,499.5,536.2,,,,694.0,523.0,741.8,,,,,,441.5,557.8,,,,806.7,594.4,207.0,,218.3,,213.0,328.0,,,,,98.4,,303.5,,,239.0,323.2,-7.7,,81.5,118.2,,,,276.0,105.0,323.8,,,,,,23.5,139.8,,,,388.7,176.4,,False,,False,False,,,,,True,,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
01017,216,198.0,,202.8,,170.0,251.0,,,,,132.9,,227.0,,,139.0,217.5,115.1,,115.0,155.2,,,,240.0,166.0,195.0,,,,,,146.2,170.7,,,,213.6,167.1,-18.0,,-13.2,,-46.0,35.0,,,,,-83.1,,11.0,,,-77.0,1.5,-100.9,,-101.0,-60.8,,,,24.0,-50.0,-21.0,,,,,,-69.8,-45.3,,,,-2.4,-48.9,,True,,False,False,,,,,False,,True,,,False,True,False,,False,False,,,,False,False,False,,,,,,False,False,,,,True,False
01019,51,77.0,,76.7,,77.0,84.0,,,,,72.2,,73.9,,,140.0,103.7,49.8,,65.0,61.3,,,,89.0,66.0,81.2,,,,,,,83.9,,,,57.4,66.3,26.0,,25.7,,26.0,33.0,,,,,21.2,,22.9,,,89.0,52.7,-1.2,,14.0,10.3,,,,38.0,15.0,30.2,,,,,,,32.9,,,,6.4,15.3,,True,,False,False,,,,,True,,True,,,False,False,True,,True,True,,,,False,True,False,,,,,,,False,,,,True,True
01021,90,116.0,,121.7,,116.0,107.0,,,,,147.0,,140.4,,,227.0,162.5,111.9,,113.0,108.8,,,,157.0,117.0,190.5,,,,,,92.9,82.1,,,,98.7,143.9,26.0,,31.7,,26.0,17.0,,,,,57.0,,50.4,,,137.0,72.5,21.9,,23.0,18.8,,,,67.0,27.0,100.5,,,,,,2.9,-7.9,,,,8.7,53.9,,False,,False,True,,,,,False,,False,,,False,False,True,,True,True,,,,False,False,False,,,,,,True,True,,,,True,False
01023,7,12.0,,11.8,,12.0,7.0,,,,,21.5,,12.7,,,62.0,8.0,11.4,,2.0,8.2,,,,8.0,15.0,7.9,,,,,,,23.4,,,,11.6,27.7,5.0,,4.8,,5.0,0.0,,,,,14.5,,5.7,,,55.0,1.0,4.4,,-5.0,1.2,,,,1.0,8.0,0.9,,,,,,,16.4,,,,4.6,20.7,,True,,False,True,,,,,False,,False,,,False,True,True,,False,True,,,,True,False,True,,,,,,,False,,,,True,False
01025,184,177.0,,181.5,,160.0,213.0,,,,,142.0,,183.2,,,124.0,144.0,97.6,,178.0,149.8,,,,217.0,141.0,237.8,,,,,,136.7,118.6,,,,135.4,169.4,-7.0,,-2.5,,-24.0,29.0,,,,,-42.0,,-0.8,,,-60.0,-40.0,-86.4,,-6.0,-34.2,,,,33.0,-43.0,53.8,,,,,,-47.3,-65.4,,,,-48.6,-14.6,,True,,False,False,,,,,False,,True,,,False,False,False,,True,False,,,,False,False,False,,,,,,False,False,,,,False,False
01027,36,38.0,,38.4,,40.0,37.0,,,,,56.4,,57.9,,,66.0,49.6,30.1,,30.0,36.3,,,,46.0,40.0,52.8,,,,,,,35.4,,,,63.6,46.2,2.0,,2.4,,4.0,1.0,,,,,20.4,,21.9,,,30.0,13.6,-5.9,,-6.0,0.3,,,,10.0,4.0,16.8,,,,,,,-0.6,,,,27.6,10.2,,False,,False,True,,,,,False,,False,,,False,False,False,,False,True,,,,False,False,False,,,,,,,True,,,,False,False
01029,43,55.0,,52.5,,52.0,37.0,,,,,49.9,,77.7,,,82.0,67.6,43.0,,48.0,48.6,,,,67.0,52.0,76.4,,,,,,,60.0,,,,126.8,49.0,12.0,,9.5,,9.0,-6.0,,,,,6.9,,34.7,,,39.0,24.6,0.0,,5.0,5.6,,,,24.0,9.0,33.4,,,,,,,17.0,,,,83.8,6.0,,True,,True,True,,,,,True,,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,False,,,,False,True
01031,226,275.0,,282.0,,274.0,367.0,,,,,210.7,,297.4,,,248.0,451.4,206.5,,256.0,237.9,,,,375.0,245.0,270.8,,,,,,208.2,215.8,,,,394.5,310.4,49.0,,56.0,,48.0,141.0,,,,,-15.3,,71.4,,,22.0,225.4,-19.5,,30.0,11.9,,,,149.0,19.0,44.8,,,,,,-17.8,-10.2,,,,168.5,84.4,,False,,True,False,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,False
01033,188,244.0,,251.7,,229.0,219.0,,,,,233.3,,293.7,,,341.0,216.0,208.2,,204.0,195.9,,,,300.0,228.0,241.3,,,,,,170.8,207.1,,,,268.8,254.4,56.0,,63.7,,41.0,31.0,,,,,45.3,,105.7,,,153.0,28.0,20.2,,16.0,7.9,,,,112.0,40.0,53.3,,,,,,-17.2,19.1,,,,80.8,66.4,,False,,True,True,,,,,True,,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,False
01035,36,37.0,,38.9,,38.0,38.0,,,,,39.3,,57.1,,,46.0,38.2,24.3,,25.0,30.6,,,,50.0,34.0,46.5,,,,,,,35.8,,,,37.1,39.1,1.0,,2.9,,2.0,2.0,,,,,3.3,,21.1,,,10.0,2.2,-11.7,,-11.0,-5.4,,,,14.0,-2.0,10.5,,,,,,,-0.2,,,,1.1,3.1,,False,,False,False,,,,,False,,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,True,,,,False,False
01037,29,27.0,,26.4,,27.0,33.0,,,,,26.3,,29.2,,,39.0,39.7,21.6,,6.0,25.2,,,,35.0,25.0,47.3,,,,,,,31.5,,,,32.1,25.5,-2.0,,-2.6,,-2.0,4.0,,,,,-2.7,,0.2,,,10.0,10.7,-7.4,,-23.0,-3.8,,,,6.0,-4.0,18.3,,,,,,,2.5,,,,3.1,-3.5,,False,,False,False,,,,,False,,True,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01039,116,124.0,,143.7,,126.0,128.0,,,,,145.1,,123.9,,,182.0,187.2,95.6,,107.5,110.0,,,,155.0,127.0,175.8,,,,,,96.1,107.1,,,,142.6,123.2,8.0,,27.7,,10.0,12.0,,,,,29.1,,7.9,,,66.0,71.2,-20.4,,-8.5,-6.0,,,,39.0,11.0,59.8,,,,,,-19.9,-8.9,,,,26.6,7.2,,False,,False,False,,,,,False,,True,,,False,False,False,,False,True,,,,False,False,False,,,,,,False,False,,,,False,True
01041,51,67.0,,81.0,,67.0,65.0,,,,,61.5,,70.7,,,57.0,190.2,66.0,,19.0,62.6,,,,102.0,70.0,56.1,,,,,,,62.7,,,,132.1,82.2,16.0,,30.0,,16.0,14.0,,,,,10.5,,19.7,,,6.0,139.2,15.0,,-32.0,11.6,,,,51.0,19.0,5.1,,,,,,,11.7,,,,81.1,31.2,,False,,False,True,,,,,True,,False,,,True,False,True,,False,True,,,,False,False,True,,,,,,,True,,,,False,False
01043,258,333.0,,352.9,,329.0,371.0,,,,,334.4,,375.7,,,601.0,247.5,278.1,,245.0,272.2,,,,358.0,285.0,335.4,,,,,,268.6,292.3,,,,368.6,347.0,75.0,,94.9,,71.0,113.0,,,,,76.4,,117.7,,,343.0,-10.5,20.1,,-13.0,14.2,,,,100.0,27.0,77.4,,,,,,10.6,34.3,,,,110.6,89.0,,False,,True,False,,,,,False,,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01045,153,256.0,,261.6,,244.0,323.0,,,,,188.2,,261.6,,,241.0,266.4,171.0,,254.0,214.6,,,,293.0,220.0,201.8,,,,,,178.8,159.0,,,,312.0,223.2,103.0,,108.6,,91.0,170.0,,,,,35.2,,108.6,,,88.0,113.4,18.0,,101.0,61.6,,,,140.0,67.0,48.8,,,,,,25.8,6.0,,,,159.0,70.2,,False,,True,False,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01047,101,112.0,,113.3,,99.0,94.0,,,,,122.2,,152.2,,,158.0,39.5,84.9,,84.0,91.7,,,,97.0,107.0,97.3,,,,,,84.0,90.7,,,,122.1,104.3,11.0,,12.3,,-2.0,-7.0,,,,,21.2,,51.2,,,57.0,-61.5,-16.1,,-17.0,-9.3,,,,-4.0,6.0,-3.7,,,,,,-17.0,-10.3,,,,21.1,3.3,,False,,True,True,,,,,False,,False,,,False,False,False,,False,True,,,,True,True,True,,,,,,False,True,,,,False,True
01049,200,319.0,,314.4,,301.0,415.0,,,,,319.1,,339.4,,,530.0,288.6,215.3,,228.0,255.3,,,,339.0,274.0,389.8,,,,,,225.4,215.9,,,,313.4,270.7,119.0,,114.4,,101.0,215.0,,,,,119.1,,139.4,,,330.0,88.6,15.3,,28.0,55.3,,,,139.0,74.0,189.8,,,,,,25.4,15.9,,,,113.4,70.7,,True,,True,False,,,,,False,,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,True
01051,400,449.0,,452.2,,430.0,404.0,,,,,414.9,,466.3,,,362.0,462.6,379.9,,397.0,398.3,,,,572.0,410.0,490.1,,,,,,340.2,383.8,,,,676.8,500.1,49.0,,52.2,,30.0,4.0,,,,,14.9,,66.3,,,-38.0,62.6,-20.1,,-3.0,-1.7,,,,172.0,10.0,90.1,,,,,,-59.8,-16.2,,,,276.8,100.1,,False,,True,True,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,False,,,,,,False,True,,,,False,False
01053,184,208.0,,205.1,,193.0,119.0,,,,,162.1,,235.3,,,190.0,214.6,166.2,,200.0,164.1,,,,273.0,185.0,167.6,,,,,,147.2,172.4,,,,208.0,196.9,24.0,,21.1,,9.0,-65.0,,,,,-21.9,,51.3,,,6.0,30.6,-17.8,,16.0,-19.9,,,,89.0,1.0,-16.4,,,,,,-36.8,-11.6,,,,24.0,12.9,,True,,True,False,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,False,True,,,,False,True
01055,383,629.0,,666.1,,621.0,800.0,,,,,524.0,,704.2,,,640.0,622.7,440.2,,422.0,516.9,,,,680.0,561.0,502.7,,,,,,433.6,556.0,,,,620.3,659.4,246.0,,283.1,,238.0,417.0,,,,,141.0,,321.2,,,257.0,239.7,57.2,,39.0,133.9,,,,297.0,178.0,119.7,,,,,,50.6,173.0,,,,237.3,276.4,,False,,True,False,,,,,True,,False,,,False,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,True,False
01057,107,110.0,,113.6,,94.0,107.0,,,,,74.8,,106.6,,,100.0,111.7,62.7,,123.0,88.7,,,,119.0,88.0,76.9,,,,,,,101.4,,,,90.5,94.0,3.0,,6.6,,-13.0,0.0,,,,,-32.2,,-0.4,,,-7.0,4.7,-44.3,,16.0,-18.3,,,,12.0,-19.0,-30.1,,,,,,,-5.6,,,,-16.5,-13.0,,False,,False,True,,,,,False,,True,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01059,89,138.0,,140.0,,139.0,132.0,,,,,155.7,,150.9,,,247.0,160.9,109.4,,85.0,112.6,,,,162.0,125.0,163.1,,,,,,101.0,123.6,,,,156.9,145.2,49.0,,51.0,,50.0,43.0,,,,,66.7,,61.9,,,158.0,71.9,20.4,,-4.0,23.6,,,,73.0,36.0,74.1,,,,,,12.0,34.6,,,,67.9,56.2,,False,,False,True,,,,,False,,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01061,107,113.0,,108.6,,115.0,116.0,,,,,95.5,,133.8,,,143.0,147.8,88.5,,165.0,111.0,,,,133.0,97.0,136.0,,,,,,,74.6,,,,111.7,114.9,6.0,,1.6,,8.0,9.0,,,,,-11.5,,26.8,,,36.0,40.8,-18.5,,58.0,4.0,,,,26.0,-10.0,29.0,,,,,,,-32.4,,,,4.7,7.9,,True,,False,False,,,,,False,,False,,,False,False,False,,False,True,,,,False,False,False,,,,,,,False,,,,True,False
01063,22,31.0,,31.6,,30.0,28.0,,,,,35.4,,33.5,,,30.0,20.1,25.9,,27.0,25.9,,,,37.0,29.0,43.5,,,,,,,26.7,,,,50.7,35.1,9.0,,9.6,,8.0,6.0,,,,,13.4,,11.5,,,8.0,-1.9,3.9,,5.0,3.9,,,,15.0,7.0,21.5,,,,,,,4.7,,,,28.7,13.1,,False,,True,True,,,,,False,,False,,,True,True,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
01065,95,98.0,,104.2,,98.0,97.0,,,,,87.8,,111.5,,,78.0,159.9,81.8,,82.0,74.8,,,,143.0,89.0,118.7,,,,,,,73.3,,,,129.8,100.5,3.0,,9.2,,3.0,2.0,,,,,-7.2,,16.5,,,-17.0,64.9,-13.2,,-13.0,-20.2,,,,48.0,-6.0,23.7,,,,,,,-21.7,,,,34.8,5.5,,False,,False,True,,,,,False,,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01067,68,103.0,,105.7,,90.0,82.0,,,,,78.2,,117.9,,,81.0,107.7,64.7,,95.0,87.6,,,,139.0,86.0,95.1,,,,,,,81.7,,,,147.6,90.1,35.0,,37.7,,22.0,14.0,,,,,10.2,,49.9,,,13.0,39.7,-3.3,,27.0,19.6,,,,71.0,18.0,27.1,,,,,,,13.7,,,,79.6,22.1,,False,,True,True,,,,,True,,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
01069,432,444.0,,462.1,,452.0,441.0,,,,,384.1,,548.0,,,486.0,471.7,342.2,,356.0,414.0,,,,517.0,410.0,516.5,,,,,,389.7,409.0,,,,732.6,460.7,12.0,,30.1,,20.0,9.0,,,,,-47.9,,116.0,,,54.0,39.7,-89.8,,-76.0,-18.0,,,,85.0,-22.0,84.5,,,,,,-42.3,-23.0,,,,300.6,28.7,,False,,False,True,,,,,False,,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01071,203,221.0,,197.2,,224.0,278.0,,,,,241.4,,283.7,,,335.0,228.4,170.7,,91.0,169.4,,,,271.0,205.0,232.9,,,,,,178.0,156.0,,,,311.6,253.5,18.0,,-5.8,,21.0,75.0,,,,,38.4,,80.7,,,132.0,25.4,-32.3,,-112.0,-33.6,,,,68.0,2.0,29.9,,,,,,-25.0,-47.0,,,,108.6,50.5,,True,,False,False,,,,,False,,False,,,False,False,False,,False,False,,,,False,True,False,,,,,,False,False,,,,False,False
01073,2682,3361.0,,3331.3,4096.1,3202.0,3335.0,,,,,2942.4,,3430.9,,3344.2,3645.0,3477.8,2564.9,,2599.0,2714.0,,,,3958.0,2981.0,2800.5,,,,,,2419.7,2657.7,2771.0,,,3018.6,3202.4,679.0,,649.3,1414.1,520.0,653.0,,,,,260.4,,748.9,,662.2,963.0,795.8,-117.1,,-83.0,32.0,,,,1276.0,299.0,118.5,,,,,,-262.3,-24.3,89.0,,,336.6,520.4,,True,False,True,True,,,,,True,,False,,True,False,False,True,,True,True,,,,False,True,True,,,,,,True,True,True,,,True,True
01075,24,43.0,,43.0,,43.0,37.0,,,,,52.3,,56.8,,,77.0,46.3,33.3,,37.0,40.1,,,,52.0,42.0,52.1,,,,,,,38.7,,,,70.5,51.2,19.0,,19.0,,19.0,13.0,,,,,28.3,,32.8,,,53.0,22.3,9.3,,13.0,16.1,,,,28.0,18.0,28.1,,,,,,,14.7,,,,46.5,27.2,,True,,False,True,,,,,False,,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,,True,,,,False,False
01077,319,379.0,,381.8,,364.0,362.0,,,,,367.3,,490.0,,,577.0,337.1,307.6,,260.0,286.8,,,,474.0,371.0,452.7,,,,,,251.9,293.2,,,,323.7,443.6,60.0,,62.8,,45.0,43.0,,,,,48.3,,171.0,,,258.0,18.1,-11.4,,-59.0,-32.2,,,,155.0,52.0,133.7,,,,,,-67.1,-25.8,,,,4.7,124.6,,False,,True,True,,,,,True,,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,False,True,,,,True,False
01079,108,110.0,,111.9,,114.0,91.0,,,,,123.3,,148.6,,,218.0,165.6,111.3,,100.0,105.6,,,,171.0,113.0,163.8,,,,,,80.7,83.2,,,,129.4,146.6,2.0,,3.9,,6.0,-17.0,,,,,15.3,,40.6,,,110.0,57.6,3.3,,-8.0,-2.4,,,,63.0,5.0,55.8,,,,,,-27.3,-24.8,,,,21.4,38.6,,False,,False,False,,,,,False,,False,,,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01081,744,895.0,,895.7,,868.0,842.0,,,,,643.0,,947.9,,1032.2,733.0,1053.1,541.4,,936.0,762.5,,,,1134.0,709.0,636.5,,,,,,697.9,572.8,1328.0,,,931.0,1028.3,151.0,,151.7,,124.0,98.0,,,,,-101.0,,203.9,,288.2,-11.0,309.1,-202.6,,192.0,18.5,,,,390.0,-35.0,-107.5,,,,,,-46.1,-171.2,584.0,,,187.0,284.3,,False,,True,True,,,,,True,,False,,False,True,False,False,,False,True,,,,False,True,True,,,,,,True,False,False,,,False,False
01083,358,414.0,,384.4,,422.0,492.0,,,,,403.5,,472.3,,,541.0,429.1,289.6,,320.0,342.9,,,,504.0,380.0,471.8,,,,,,326.8,375.5,,,,537.8,437.1,56.0,,26.4,,64.0,134.0,,,,,45.5,,114.3,,,183.0,71.1,-68.4,,-38.0,-15.1,,,,146.0,22.0,113.8,,,,,,-31.2,17.5,,,,179.8,79.1,,True,,False,False,,,,,True,,False,,,False,False,False,,True,True,,,,False,True,False,,,,,,True,True,,,,False,False
01085,53,49.0,,42.1,,50.0,58.0,,,,,44.6,,55.0,,,29.0,121.2,41.5,,51.0,49.6,,,,77.0,48.0,31.6,,,,,,,43.0,,,,60.4,61.6,-4.0,,-10.9,,-3.0,5.0,,,,,-8.4,,2.0,,,-24.0,68.2,-11.5,,-2.0,-3.4,,,,24.0,-5.0,-21.4,,,,,,,-10.0,,,,7.4,8.6,,False,,True,False,,,,,False,,True,,,False,False,False,,True,True,,,,False,False,False,,,,,,,False,,,,False,False
01087,76,61.0,,59.8,,58.0,63.0,,,,,49.9,,71.1,,,53.0,60.4,42.5,,53.0,50.3,,,,71.0,57.0,57.0,,,,,,,56.6,,,,78.8,53.6,-15.0,,-16.2,,-18.0,-13.0,,,,,-26.1,,-4.9,,,-23.0,-15.6,-33.5,,-23.0,-25.7,,,,-5.0,-19.0,-19.0,,,,,,,-19.4,,,,2.8,-22.4,,False,,False,True,,,,,False,,True,,,False,False,False,,False,False,,,,True,False,False,,,,,,,False,,,,True,False
01089,1306,1633.0,,1704.3,2123.8,1566.0,1284.0,,,,,1402.8,,1627.8,,1633.6,1897.0,1569.5,1309.7,,1350.0,1418.8,,,,1960.0,1449.0,1803.5,,,,,,1227.5,1162.9,1430.0,,,1559.5,1565.9,327.0,,398.3,817.8,260.0,-22.0,,,,,96.8,,321.8,,327.6,591.0,263.5,3.7,,44.0,112.8,,,,654.0,143.0,497.5,,,,,,-78.5,-143.1,124.0,,,253.5,259.9,,False,False,True,True,,,,,True,,True,,False,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,True
01091,104,44.0,,39.7,,55.0,46.0,,,,,90.6,,63.5,,,94.0,88.9,59.3,,29.0,52.5,,,,78.0,55.0,72.5,,,,,,,39.2,,,,77.0,81.9,-60.0,,-64.3,,-49.0,-58.0,,,,,-13.4,,-40.5,,,-10.0,-15.1,-44.7,,-75.0,-51.5,,,,-26.0,-49.0,-31.5,,,,,,,-64.8,,,,-27.0,-22.1,,False,,True,True,,,,,True,,True,,,True,True,True,,False,True,,,,True,True,True,,,,,,,False,,,,True,True
01093,85,142.0,,142.1,,135.0,144.0,,,,,119.9,,192.4,,,165.0,127.0,98.5,,102.0,117.1,,,,160.0,116.0,169.5,,,,,,94.9,114.5,,,,181.4,128.0,57.0,,57.1,,50.0,59.0,,,,,34.9,,107.4,,,80.0,42.0,13.5,,17.0,32.1,,,,75.0,31.0,84.5,,,,,,9.9,29.5,,,,96.4,43.0,,False,,True,False,,,,,True,,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,False,True
01095,262,339.0,,342.6,,343.0,398.0,,,,,407.8,,433.7,,382.5,634.0,368.3,269.3,,240.0,294.8,,,,441.0,337.0,405.7,,,,,,288.8,243.6,,,,309.8,413.6,77.0,,80.6,,81.0,136.0,,,,,145.8,,171.7,,120.5,372.0,106.3,7.3,,-22.0,32.8,,,,179.0,75.0,143.7,,,,,,26.8,-18.4,,,,47.8,151.6,,False,,False,False,,,,,False,,False,,False,False,False,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
