,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,18761,21531.0,29168.0,20689.7,22119.0,21414.0,,24959.1,22119.0,24863.8,15082.5,19892.8,,22544.2,25720.0,23411.2,20113.0,16446.2,35768.6,12549.5,18245.8,24686.1,24191.3,23562.6,26412.0,17318.0,,20126.9,,26512.8,,17533.9,34537.1,17256.3,20807.3,24247.0,25980.2,,2770.0,10407.0,1928.7,3358.0,2653.0,,6198.1,3358.0,6102.8,-3678.5,1131.8,,3783.2,6959.0,4650.2,1352.0,-2314.8,17007.6,-6211.5,-515.2,5925.1,5430.3,4801.6,7651.0,-1443.0,,1365.9,,7751.8,,-1227.1,15776.1,-1504.7,2046.3,5486.0,7219.2,,False,True,False,True,,False,False,False,False,True,,False,False,False,True,True,False,False,True,False,False,False,False,True,,True,,False,,True,False,True,True,False,False,
Alaska,1497,1695.0,1550.8,1539.5,1700.0,916.0,,1774.4,14561.0,1642.6,1314.1,1968.0,,1738.9,,2520.2,1890.0,1214.0,1411.0,1467.0,1704.5,2392.1,2190.3,2022.8,1931.0,1439.0,,1637.4,,1376.3,,1431.1,1718.4,1655.8,2302.2,1762.0,1502.8,,198.0,53.8,42.5,203.0,-581.0,,277.4,13064.0,145.6,-182.9,471.0,,241.9,,1023.2,393.0,-283.0,-86.0,-30.0,207.5,895.1,693.3,525.8,434.0,-58.0,,140.4,,-120.7,,-65.9,221.4,158.8,805.2,265.0,5.8,,True,True,False,False,,False,False,True,True,False,,False,,False,False,False,True,True,False,False,False,False,False,True,,True,,True,,True,False,True,False,False,True,
Arizona,48456,59556.0,60900.9,56690.3,61597.0,74540.0,,64664.3,52014.0,68250.3,52999.2,51369.4,,61597.2,60682.0,62162.4,63909.0,41213.2,63854.9,48327.0,50101.6,66009.1,61083.3,59837.9,64604.0,52913.0,,63761.6,,54135.2,,44428.2,79036.0,41987.7,60203.6,63789.0,68384.6,,11100.0,12444.9,8234.3,13141.0,26084.0,,16208.3,3558.0,19794.3,4543.2,2913.4,,13141.2,12226.0,13706.4,15453.0,-7242.8,15398.9,-129.0,1645.6,17553.1,12627.3,11381.9,16148.0,4457.0,,15305.6,,5679.2,,-4027.8,30580.0,-6468.3,11747.6,15333.0,19928.6,,False,True,False,False,,False,True,False,True,True,,False,False,False,False,True,False,True,True,False,False,False,False,True,,False,,True,,True,False,True,False,False,False,
Arkansas,12817,18432.0,18300.5,18138.8,18080.0,17645.0,,19440.8,13609.0,17537.0,18683.5,16096.2,,17785.1,20190.0,16269.2,17665.0,11476.9,17906.7,14549.5,14209.6,20152.2,17695.0,19905.2,19933.0,15534.0,,16464.2,,12280.7,,13203.2,23173.8,13605.0,19412.2,18738.0,29527.9,,5615.0,5483.5,5321.8,5263.0,4828.0,,6623.8,792.0,4720.0,5866.5,3279.2,,4968.1,7373.0,3452.2,4848.0,-1340.1,5089.7,1732.5,1392.6,7335.2,4878.0,7088.2,7116.0,2717.0,,3647.2,,-536.3,,386.2,10356.8,788.0,6595.2,5921.0,16710.9,,True,True,True,True,,False,True,True,False,True,,True,False,True,True,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,False,
California,184879,284601.0,301176.0,286207.5,284601.0,322523.0,,291918.4,173559.0,310988.6,311300.3,248918.2,,278097.8,299280.0,243359.1,287336.0,196996.6,264200.1,227234.0,234617.7,250103.9,308444.5,279432.2,308367.0,240847.0,,268586.7,,316014.5,,230218.9,328582.8,230037.3,314471.9,287729.0,659226.7,,99722.0,116297.0,101328.5,99722.0,137644.0,,107039.4,-11320.0,126109.6,126421.3,64039.2,,93218.8,114401.0,58480.1,102457.0,12117.6,79321.1,42355.0,49738.7,65224.9,123565.5,94553.2,123488.0,55968.0,,83707.7,,131135.5,,45339.9,143703.8,45158.3,129592.9,102850.0,474347.7,,False,False,False,False,,False,True,False,False,True,,True,False,True,False,True,True,True,True,True,False,True,False,True,,True,,False,,True,False,True,False,False,False,
Colorado,11483,14536.0,14307.1,15323.0,14536.0,13745.0,,15786.4,4936.0,12788.7,11170.6,16307.0,,14588.7,16137.0,14431.9,16474.0,10221.1,11667.5,12002.5,13204.9,19619.0,11398.0,16224.0,16476.0,11130.0,,14706.2,,7841.1,,11260.0,17842.1,14034.5,12806.3,15573.0,16689.0,,3053.0,2824.1,3840.0,3053.0,2262.0,,4303.4,-6547.0,1305.7,-312.4,4824.0,,3105.7,4654.0,2948.9,4991.0,-1261.9,184.5,519.5,1721.9,8136.0,-85.0,4741.0,4993.0,-353.0,,3223.2,,-3641.9,,-223.0,6359.1,2551.5,1323.3,4090.0,5206.0,,True,False,False,True,,False,False,True,True,False,,False,False,True,False,True,True,True,True,False,True,False,False,True,,False,,False,,True,False,True,True,False,False,
Connecticut,14393,17428.0,16268.8,17807.7,18104.0,20892.0,,18800.7,19952.0,846435.2,22293.7,10731.3,,20693.3,19673.0,18507.9,18877.0,12739.5,14509.8,14996.5,14202.6,19565.2,14390.4,18120.3,18616.0,14964.0,,13739.2,,11902.8,,13546.0,18619.2,13699.3,18441.6,12469.0,28998.9,,3035.0,1875.8,3414.7,3711.0,6499.0,,4407.7,5559.0,832042.2,7900.7,-3661.7,,6300.3,5280.0,4114.9,4484.0,-1653.5,116.8,603.5,-190.4,5172.2,-2.6,3727.3,4223.0,571.0,,-653.8,,-2490.2,,-847.0,4226.2,-693.7,4048.6,-1924.0,14605.9,,True,False,False,False,,False,False,False,False,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Delaware,4543,4897.0,5217.6,4945.0,4947.0,4730.0,,5169.0,2969.0,5923.4,5561.0,6339.7,,5415.7,5530.0,4857.0,5118.0,3211.6,4918.7,4867.5,5174.0,4122.0,5003.6,5619.0,5561.0,4405.0,,5401.1,,5614.6,,4049.9,6520.8,3922.4,5110.3,4947.0,6111.7,,354.0,674.6,402.0,404.0,187.0,,626.0,-1574.0,1380.4,1018.0,1796.7,,872.7,987.0,314.0,575.0,-1331.4,375.7,324.5,631.0,-421.0,460.6,1076.0,1018.0,-138.0,,858.1,,1071.6,,-493.1,1977.8,-620.6,567.3,404.0,1568.7,,False,False,False,True,,False,False,False,False,False,,False,False,True,False,False,False,True,False,False,False,False,False,True,,False,,False,,False,False,False,False,False,False,
District of Columbia,1540,2080.0,1922.7,2061.3,2100.0,1968.0,,2112.9,6072.0,1710.6,2285.4,2013.8,,2437.5,2107.0,3408.4,2016.0,1601.4,2074.7,2151.0,2093.2,,,,2273.0,1724.0,,2169.7,,1864.5,,1784.7,2259.8,1692.8,,2131.0,2119.0,,540.0,382.7,521.3,560.0,428.0,,572.9,4532.0,170.6,745.4,473.8,,897.5,567.0,1868.4,476.0,61.4,534.7,611.0,553.2,,,,733.0,184.0,,629.7,,324.5,,244.7,719.8,152.8,,591.0,579.0,,True,True,False,True,,False,False,True,False,True,,False,False,False,True,True,True,False,False,,,,False,True,,False,,True,,True,False,True,,False,False,
Florida,79728,95489.0,100364.2,94611.0,103178.0,99811.0,,107041.7,399391.0,114745.3,91419.0,100624.6,,102580.5,103775.0,109065.6,,79940.4,116939.8,100260.5,87737.0,117636.2,96755.0,107454.8,115872.0,82333.0,,106228.1,,74642.9,,76262.7,139186.5,77921.1,106101.8,101704.0,120497.2,,15761.0,20636.2,14883.0,23450.0,20083.0,,27313.7,319663.0,35017.3,11691.0,20896.6,,22852.5,24047.0,29337.6,,212.4,37211.8,20532.5,8009.0,37908.2,17027.0,27726.8,36144.0,2605.0,,26500.1,,-5085.1,,-3465.3,59458.5,-1806.9,26373.8,21976.0,40769.2,,False,True,False,False,,False,False,False,True,False,,False,False,False,,True,False,False,True,False,False,False,False,True,,False,,True,,True,False,True,False,False,False,
Georgia,52495,60811.0,64308.3,60690.8,64206.0,59679.0,,67802.6,73660.0,59569.7,59351.9,59255.4,,66975.2,72256.0,54978.3,64832.0,40605.9,71646.7,60864.5,52163.3,73585.3,60665.8,63232.1,74735.0,56303.0,,63276.0,,39909.2,,50099.0,78020.3,50876.5,64748.9,66528.0,70009.1,,8316.0,11813.3,8195.8,11711.0,7184.0,,15307.6,21165.0,7074.7,6856.9,6760.4,,14480.2,19761.0,2483.3,12337.0,-11889.1,19151.7,8369.5,-331.7,21090.3,8170.8,10737.1,22240.0,3808.0,,10781.0,,-12585.8,,-2396.0,25525.3,-1618.5,12253.9,14033.0,17514.1,,False,True,False,True,,False,False,True,True,True,,False,False,True,False,False,False,False,True,False,True,False,False,True,,False,,False,,True,False,True,False,False,False,
Hawaii,762,1066.0,1009.0,1041.6,1138.0,883.0,,1243.8,1668.0,915.6,1119.7,1223.0,,1245.8,,1539.2,1250.0,1612.1,1151.5,1082.5,1034.0,1107.3,1137.7,1190.6,1375.0,820.0,,1176.6,,1270.3,,869.7,1350.5,1014.5,1009.7,1225.0,1676.2,,304.0,247.0,279.6,376.0,121.0,,481.8,906.0,153.6,357.7,461.0,,483.8,,777.2,488.0,850.1,389.5,320.5,272.0,345.3,375.7,428.6,613.0,58.0,,414.6,,508.3,,107.7,588.5,252.5,247.7,463.0,914.2,,True,True,False,True,,False,False,True,False,False,,False,,False,False,False,False,False,True,False,False,False,False,True,,False,,False,,True,False,True,True,False,False,
Idaho,4049,6041.0,5363.6,6149.7,5739.0,5920.0,,5981.0,3278.0,9405.8,5019.2,5553.5,,5739.2,6972.0,4653.2,6075.0,4508.4,4929.5,4370.0,5187.4,4618.2,6616.8,5886.9,6583.0,5376.0,,5428.6,,4612.6,,4680.7,6541.4,5086.2,7451.1,6023.0,8328.6,,1992.0,1314.6,2100.7,1690.0,1871.0,,1932.0,-771.0,5356.8,970.2,1504.5,,1690.2,2923.0,604.2,2026.0,459.4,880.5,321.0,1138.4,569.2,2567.8,1837.9,2534.0,1327.0,,1379.6,,563.6,,631.7,2492.4,1037.2,3402.1,1974.0,4279.6,,True,False,True,True,,True,True,False,True,True,,True,False,True,False,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,True,False,True,False,
Illinois,33860,40628.0,39748.1,40457.8,40477.0,40477.0,,43237.5,8377.0,31166.4,33772.1,40785.2,,41767.4,46342.0,42556.5,41986.0,29126.1,30947.0,34743.5,35945.5,40947.0,27949.9,42624.0,43393.0,32608.0,,39505.3,,15762.4,,31666.0,51506.3,38463.0,38848.7,41483.0,48413.0,,6768.0,5888.1,6597.8,6617.0,6617.0,,9377.5,-25483.0,-2693.6,-87.9,6925.2,,7907.4,12482.0,8696.5,8126.0,-4733.9,-2913.0,883.5,2085.5,7087.0,-5910.1,8764.0,9533.0,-1252.0,,5645.3,,-18097.6,,-2194.0,17646.3,4603.0,4988.7,7623.0,14553.0,,True,True,True,True,,False,False,True,True,False,,False,False,False,False,True,True,True,True,False,True,False,False,True,,True,,False,,True,False,True,True,False,False,
Indiana,21470,28489.0,30828.9,29324.7,27840.0,27840.0,,31536.3,18605.0,25567.0,19412.8,30361.2,,29998.7,32322.0,28019.8,25759.0,19551.9,27207.2,22573.0,24619.9,17207.8,24176.6,32057.7,32312.0,20147.0,,26675.2,,15466.8,,20488.1,36695.5,24186.0,21545.8,30346.0,42713.1,,7019.0,9358.9,7854.7,6370.0,6370.0,,10066.3,-2865.0,4097.0,-2057.2,8891.2,,8528.7,10852.0,6549.8,4289.0,-1918.1,5737.2,1103.0,3149.9,-4262.2,2706.6,10587.7,10842.0,-1323.0,,5205.2,,-6003.2,,-981.9,15225.5,2716.0,75.8,8876.0,21243.1,,False,False,True,True,,False,True,True,True,False,,False,False,True,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,True,False,False,
Iowa,7874,8577.0,7845.1,8020.7,8254.0,7780.0,,9641.5,93283.0,6451.0,6901.4,9596.7,,8193.9,9711.0,7529.9,9206.0,7003.6,8563.9,5264.0,7826.7,9887.7,5108.7,9489.1,9859.0,7139.0,,8119.4,,1836.7,,6887.7,11669.7,8232.3,13626.4,8808.0,10214.4,,703.0,-28.9,146.7,380.0,-94.0,,1767.5,85409.0,-1423.0,-972.6,1722.7,,319.9,1837.0,-344.1,1332.0,-870.4,689.9,-2610.0,-47.3,2013.7,-2765.3,1615.1,1985.0,-735.0,,245.4,,-6037.3,,-986.3,3795.7,358.3,5752.4,934.0,2340.4,,True,True,True,True,,False,False,False,False,False,,True,False,True,False,False,True,False,True,False,False,False,False,False,,True,,False,,False,False,True,False,False,False,
Kansas,10554,13771.0,14318.7,14298.0,13771.0,11916.0,,14534.5,20780.0,3904.5,13212.5,10597.9,,16206.6,17049.0,11553.3,15086.0,9310.6,11239.2,3298.5,10899.4,10407.3,14026.7,15598.1,14840.0,11379.0,,9800.3,,5923.6,,12169.1,16723.2,11816.5,15265.1,13092.0,15053.4,,3217.0,3764.7,3744.0,3217.0,1362.0,,3980.5,10226.0,-6649.5,2658.5,43.9,,5652.6,6495.0,999.3,4532.0,-1243.4,685.2,-7255.5,345.4,-146.7,3472.7,5044.1,4286.0,825.0,,-753.7,,-4630.4,,1615.1,6169.2,1262.5,4711.1,2538.0,4499.4,,False,False,False,True,,False,False,False,True,True,,False,False,True,False,True,True,False,True,True,False,False,False,True,,True,,False,,True,False,True,False,True,False,
