,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,424,621.0,,631.7,,547.0,961.0,,,,,516.7,212.4,,,549.0,618.2,284.3,416.0,,438.0,522.6,,,637.0,579.0,607.1,,,,,421.0,,,,777.2,430.0,197.0,,207.7,,123.0,537.0,,,,,92.7,-211.6,,,125.0,194.2,-139.7,-8.0,,14.0,98.6,,,213.0,155.0,183.1,,,,,-3.0,,,,353.2,6.0,,False,,True,False,,,,,True,False,,,True,True,True,True,,True,True,,,False,True,True,,,,,True,,,,False,True
01023,28,18.0,,16.2,,20.0,12.0,,,,,75.4,34.2,,,173.0,5.9,42.1,,,10.0,17.1,,,8.0,94.0,45.5,,,,,,,,,25.1,70.0,-10.0,,-11.8,,-8.0,-16.0,,,,,47.4,6.2,,,145.0,-22.1,14.1,,,-18.0,-10.9,,,-20.0,66.0,17.5,,,,,,,,,-2.9,42.0,,False,,True,False,,,,,False,True,,,False,False,False,,,False,False,,,False,False,False,,,,,,,,,True,False
01025,542,465.0,,454.3,,400.0,464.0,,,,,427.4,209.7,,,287.0,378.6,253.0,,,529.0,401.9,,,549.0,391.0,558.4,,,,,317.4,,,,445.3,491.0,-77.0,,-87.7,,-142.0,-78.0,,,,,-114.6,-332.3,,,-255.0,-163.4,-289.0,,,-13.0,-140.1,,,7.0,-151.0,16.4,,,,,-224.6,,,,-96.7,-51.0,,False,,False,False,,,,,False,False,,,False,False,False,,,True,False,,,True,False,True,,,,,False,,,,False,True
01027,141,165.0,,167.0,,163.0,178.0,,,,,179.4,92.6,,,164.0,100.6,80.0,,,138.0,155.9,,,161.0,176.0,157.3,,,,,,,,,274.2,134.0,24.0,,26.0,,22.0,37.0,,,,,38.4,-48.4,,,23.0,-40.4,-61.0,,,-3.0,14.9,,,20.0,35.0,16.3,,,,,,,,,133.2,-7.0,,False,,True,False,,,,,False,False,,,True,False,False,,,True,True,,,True,False,True,,,,,,,,,False,True
01029,170,159.0,,146.9,,147.0,70.0,,,,,159.9,176.7,,,207.0,76.3,96.7,,,107.0,144.5,,,169.0,179.0,175.3,,,,,,,,,260.0,150.0,-11.0,,-23.1,,-23.0,-100.0,,,,,-10.1,6.7,,,37.0,-93.7,-73.3,,,-63.0,-25.5,,,-1.0,9.0,5.3,,,,,,,,,90.0,-20.0,,False,,False,False,,,,,True,True,,,False,False,False,,,False,False,,,True,True,True,,,,,,,,,False,False
01031,929,852.0,,868.1,,732.0,738.0,,,,,636.5,535.1,,,615.0,641.5,478.6,634.0,,847.0,868.5,,,895.0,805.0,672.3,,,,,692.3,,,,748.5,672.0,-77.0,,-60.9,,-197.0,-191.0,,,,,-292.5,-393.9,,,-314.0,-287.5,-450.4,-295.0,,-82.0,-60.5,,,-34.0,-124.0,-256.7,,,,,-236.7,,,,-180.5,-257.0,,True,,False,False,,,,,False,False,,,False,False,False,False,,False,True,,,True,False,False,,,,,False,,,,False,False
01033,756,987.0,,1001.1,,914.0,1078.0,,,,,796.5,832.1,,,845.0,732.8,540.6,746.5,,1005.5,923.9,,,1038.0,931.0,931.1,,,,,594.9,,,,1189.9,747.0,231.0,,245.1,,158.0,322.0,,,,,40.5,76.1,,,89.0,-23.2,-215.4,-9.5,,249.5,167.9,,,282.0,175.0,175.1,,,,,-161.1,,,,433.9,-9.0,,False,,True,False,,,,,True,True,,,True,True,True,True,,False,True,,,False,True,True,,,,,True,,,,False,True
01035,113,117.0,,121.3,,86.0,73.0,,,,,126.3,228.3,,,119.0,62.7,59.8,,,38.0,82.9,0.0,,138.0,120.0,83.4,,,,,,,,,95.2,71.0,4.0,,8.3,,-27.0,-40.0,,,,,13.3,115.3,,,6.0,-50.3,-53.2,,,-75.0,-30.1,-113.0,,25.0,7.0,-29.6,,,,,,,,,-17.8,-42.0,,False,,False,False,,,,,False,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,,,,False,False
01037,111,138.0,,126.7,,109.0,142.0,,,,,72.0,92.9,,,93.0,199.3,63.4,,,201.0,105.1,2.3,,145.0,125.0,96.2,,,,,,,,,147.7,65.0,27.0,,15.7,,-2.0,31.0,,,,,-39.0,-18.1,,,-18.0,88.3,-47.6,,,90.0,-5.9,-108.7,,34.0,14.0,-14.8,,,,,,,,,36.7,-46.0,,True,,True,False,,,,,False,True,,,True,False,False,,,False,True,False,,False,True,True,,,,,,,,,False,False
01039,437,468.0,,506.0,,424.0,572.0,,,,,473.2,232.2,,,462.0,295.6,272.1,317.0,,232.0,339.1,91.1,,435.0,488.0,433.2,,,,,493.2,,,,465.9,412.0,31.0,,69.0,,-13.0,135.0,,,,,36.2,-204.8,,,25.0,-141.4,-164.9,-120.0,,-205.0,-97.9,-345.9,,-2.0,51.0,-3.8,,,,,56.2,,,,28.9,-25.0,,False,,True,False,,,,,False,False,,,True,False,False,False,,False,False,False,,True,False,True,,,,,False,,,,True,True
