,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,2100,1674.0,1333.0,,,,,1413.0,,2470.7,1014.9,2534.5,,1362.9,,,-426.0,-767.0,,,,,-687.0,,370.7,-1085.1,434.5,,-737.1,,,False,,,,,False,,True,False,False,,False,,
01003,6463,6234.0,5269.0,,,,,4041.0,,7655.8,3797.4,8180.0,,4680.9,3675.0,,-229.0,-1194.0,,,,,-2422.0,,1192.8,-2665.6,1717.0,,-1782.1,-2788.0,,False,,,,,False,,False,False,False,,False,False,
01005,536,300.0,231.0,,,,,514.0,,470.2,167.6,214.5,,,,,-236.0,-305.0,,,,,-22.0,,-65.8,-368.4,-321.5,,,,,False,,,,,True,,True,False,False,,,,
01007,806,804.0,377.0,,,,,638.0,,229.4,326.5,1028.0,,,,,-2.0,-429.0,,,,,-168.0,,-576.6,-479.5,222.0,,,,,False,,,,,False,,False,False,False,,,,
01009,1718,2778.0,2067.0,,,,,1955.0,,4101.1,1175.8,3327.0,,2010.4,,,1060.0,349.0,,,,,237.0,,2383.1,-542.2,1609.0,,292.4,,,True,,,,,True,,False,True,False,,True,,
01011,309,72.0,0.0,,,,,193.0,,74.6,80.3,59.0,,,,,-237.0,-309.0,,,,,-116.0,,-234.4,-228.7,-250.0,,,,,False,,,,,True,,True,True,False,,,,
01013,435,486.0,42.0,,,,,385.0,,808.4,323.7,578.5,,,,,51.0,-393.0,,,,,-50.0,,373.4,-111.3,143.5,,,,,False,,,,,True,,False,False,False,,,,
01015,3736,4398.0,3450.0,,,,,3751.0,,7123.9,2274.1,5541.0,,2907.6,,,662.0,-286.0,,,,,15.0,,3387.9,-1461.9,1805.0,,-828.4,,,True,,,,,True,,False,False,False,,False,,
01017,1037,576.0,749.0,,,,,770.0,,352.7,408.9,565.5,,,,,-461.0,-288.0,,,,,-267.0,,-684.3,-628.1,-471.5,,,,,True,,,,,True,,False,False,False,,,,
01019,464,582.0,487.0,,,,,778.0,,332.8,290.6,768.0,,,,,118.0,23.0,,,,,314.0,,-131.2,-173.4,304.0,,,,,True,,,,,False,,False,False,False,,,,
01021,916,930.0,346.0,,,,,1265.0,,1877.9,505.4,923.0,,623.5,,,14.0,-570.0,,,,,349.0,,961.9,-410.6,7.0,,-292.5,,,False,,,,,False,,False,False,True,,False,,
01023,67,90.0,42.0,,,,,387.0,,90.8,58.2,85.0,,,,,23.0,-25.0,,,,,320.0,,23.8,-8.8,18.0,,,,,False,,,,,False,,False,True,True,,,,
01025,947,2238.0,724.0,,,,,677.0,,1409.8,564.6,713.5,,,,,1291.0,-223.0,,,,,-270.0,,462.8,-382.4,-233.5,,,,,True,,,,,True,,True,True,True,,,,
01027,301,252.0,248.0,,,,,354.0,,172.5,116.8,251.0,,,,,-49.0,-53.0,,,,,53.0,,-128.5,-184.2,-50.0,,,,,False,,,,,False,,False,False,False,,,,
01029,338,354.0,49.0,,,,,430.0,,111.7,125.8,268.0,,,,,16.0,-289.0,,,,,92.0,,-226.3,-212.2,-70.0,,,,,False,,,,,False,,False,False,False,,,,
01031,1721,1494.0,1483.0,,,,,1032.0,,1304.9,791.6,1468.0,,1078.1,,,-227.0,-238.0,,,,,-689.0,,-416.1,-929.4,-253.0,,-642.9,,,False,,,,,False,,False,False,False,,False,,
01033,1680,1740.0,1255.0,,,,,2001.0,,1355.0,1163.7,2105.0,,1463.7,,,60.0,-425.0,,,,,321.0,,-325.0,-516.3,425.0,,-216.3,,,False,,,,,False,,False,False,False,,False,,
01035,204,246.0,382.0,,,,,268.0,,473.7,100.9,343.0,,,,,42.0,178.0,,,,,64.0,,269.7,-103.1,139.0,,,,,False,,,,,False,,False,False,False,,,,
01037,204,222.0,250.0,,,,,207.0,,164.5,72.6,219.0,,,,,18.0,46.0,,,,,3.0,,-39.5,-131.4,15.0,,,,,False,,,,,True,,False,False,True,,,,
01039,871,954.0,343.0,,,,,846.0,,1154.3,474.6,681.0,,404.6,,,83.0,-528.0,,,,,-25.0,,283.3,-396.4,-190.0,,-466.4,,,False,,,,,True,,False,False,False,,False,,
01041,466,180.0,90.0,,,,,254.0,,169.3,104.8,181.0,,,,,-286.0,-376.0,,,,,-212.0,,-296.7,-361.2,-285.0,,,,,False,,,,,True,,False,False,True,,,,
01043,2624,3888.0,3018.0,,,,,3471.0,,4842.2,1735.5,3495.5,,2858.4,,,1264.0,394.0,,,,,847.0,,2218.2,-888.5,871.5,,234.4,,,True,,,,,True,,False,True,True,,True,,
01045,1348,1428.0,1193.0,,,,,1062.0,,2769.6,637.6,1360.0,,934.4,,,80.0,-155.0,,,,,-286.0,,1421.6,-710.4,12.0,,-413.6,,,False,,,,,False,,False,False,True,,False,,
01047,649,654.0,348.0,,,,,917.0,,346.2,431.9,479.5,,555.3,,,5.0,-301.0,,,,,268.0,,-302.8,-217.1,-169.5,,-93.7,,,False,,,,,False,,False,False,False,,False,,
01049,2086,3018.0,2825.0,,,,,3088.0,,2124.0,1520.6,3015.5,,1130.4,,,932.0,739.0,,,,,1002.0,,38.0,-565.4,929.5,,-955.6,,,True,,,,,False,,True,True,True,,False,,
01051,3274,2778.0,2778.0,,,,,1712.0,,4555.1,1661.4,2894.0,,2110.5,,,-496.0,-496.0,,,,,-1562.0,,1281.1,-1612.6,-380.0,,-1163.5,,,False,,,,,False,,False,False,True,,False,,
01053,1087,972.0,88.0,,,,,932.0,,2591.4,414.3,861.0,,508.5,,,-115.0,-999.0,,,,,-155.0,,1504.4,-672.7,-226.0,,-578.5,,,False,,,,,False,,False,False,False,,False,,
01055,4151,4506.0,4060.0,,,,,3899.0,,5316.2,2497.1,4278.5,,3741.2,,,355.0,-91.0,,,,,-252.0,,1165.2,-1653.9,127.5,,-409.8,,,True,,,,,True,,False,False,True,,False,,
01057,618,690.0,364.0,,,,,547.0,,516.1,281.2,618.0,,,,,72.0,-254.0,,,,,-71.0,,-101.9,-336.8,0.0,,,,,False,,,,,True,,False,False,True,,,,
01059,893,978.0,225.0,,,,,1305.0,,1195.3,621.7,1142.0,,672.6,,,85.0,-668.0,,,,,412.0,,302.3,-271.3,249.0,,-220.4,,,False,,,,,False,,False,False,False,,False,,
01061,704,558.0,423.0,,,,,623.0,,447.1,297.3,520.5,,,,,-146.0,-281.0,,,,,-81.0,,-256.9,-406.7,-183.5,,,,,False,,,,,True,,False,False,False,,,,
01063,235,468.0,0.0,,,,,203.0,,699.0,100.6,540.0,,,,,233.0,-235.0,,,,,-32.0,,464.0,-134.4,305.0,,,,,False,,,,,True,,False,True,False,,,,
01065,732,588.0,69.0,,,,,427.0,,546.4,219.9,582.5,,,,,-144.0,-663.0,,,,,-305.0,,-185.6,-512.1,-149.5,,,,,False,,,,,False,,False,False,False,,,,
01067,611,378.0,27.0,,,,,333.0,,712.2,176.0,477.0,,,,,-233.0,-584.0,,,,,-278.0,,101.2,-435.0,-134.0,,,,,False,,,,,False,,True,False,True,,,,
01069,2964,2244.0,2207.0,,,,,2110.0,,1872.2,1357.1,2326.0,,1944.8,,,-720.0,-757.0,,,,,-854.0,,-1091.8,-1606.9,-638.0,,-1019.2,,,False,,,,,False,,False,False,True,,False,,
01071,1685,2802.0,1112.0,,,,,2221.0,,5584.9,1120.2,3432.5,,2589.4,,,1117.0,-573.0,,,,,536.0,,3899.9,-564.8,1747.5,,904.4,,,True,,,,,True,,False,True,False,,True,,
