,mean_rank
Covid19Sim-Simulator,8.0
Microsoft-DeepSTIA,8.5
COVIDhub-baseline,9.5
IowaStateLW-STEM,9.8
CEID-Walk,10.0
COVIDhub-ensemble,10.1
OneQuietNight-ML,10.4
USC-SI_kJalpha,10.4
JHU_CSSE-DECOM,11.5
LANL-GrowthRate,11.5
JCB-PRM,11.8
Google_Harvard-CPF,12.5
BPagano-RtDriven,13.3
UMich-RidgeTfReg,14.1
Karlen-pypm,14.1
JHU_IDD-CovidSP,14.6
IEM_MED-CovidProject,15.0
UCLA-SuEIR,15.0
TTU-squider,16.8
CovidAnalytics-DELPHI,17.1
UVA-Ensemble,17.9
LNQ-ens1,19.0
CU-select,20.3
JHU_UNC_GAS-StatMechPool,20.5
RobertWalraven-ESG,20.8
UCSB-ACTS,20.9
JHUAPL-Bucky,21.0
DDS-NBDS,21.5
