,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1660,2200.0,1324.0,,,,,1410.0,,2732.3,1045.6,,2595.0,,,1551.6,,,540.0,-336.0,,,,,-250.0,,1072.3,-614.4,,935.0,,,-108.4,,,True,,,,,True,,False,False,,False,,,True,,
01003,5406,5285.0,4531.0,,,,,3745.0,,5535.7,3502.0,,5243.0,,,4220.0,2922.0,,-121.0,-875.0,,,,,-1661.0,,129.7,-1904.0,,-163.0,,,-1186.0,-2484.0,,False,,,,,False,,False,False,,False,,,False,False,
01005,475,305.0,230.0,,,,,489.0,,248.4,190.8,,365.0,,,,,,-170.0,-245.0,,,,,14.0,,-226.6,-284.2,,-110.0,,,,,,False,,,,,True,,False,False,,True,,,,,
01007,622,920.0,384.0,,,,,566.0,,2334.5,426.1,,937.0,,,,,,298.0,-238.0,,,,,-56.0,,1712.5,-195.9,,315.0,,,,,,True,,,,,True,,False,True,,False,,,,,
01009,1271,2235.0,1528.0,,,,,1842.0,,2366.4,1163.7,,2696.0,,,1684.7,,,964.0,257.0,,,,,571.0,,1095.4,-107.3,,1425.0,,,413.7,,,True,,,,,True,,False,True,,False,,,True,,
01011,282,135.0,0.0,,,,,195.0,,52.8,75.2,,132.0,,,,,,-147.0,-282.0,,,,,-87.0,,-229.2,-206.8,,-150.0,,,,,,False,,,,,True,,False,False,,False,,,,,
01013,340,435.0,38.0,,,,,381.0,,448.6,317.4,,424.0,,,,,,95.0,-302.0,,,,,41.0,,108.6,-22.6,,84.0,,,,,,False,,,,,True,,False,True,,True,,,,,
01015,2902,4170.0,3208.0,,,,,3253.0,,1674.5,2093.1,,4743.5,,,2992.8,,,1268.0,306.0,,,,,351.0,,-1227.5,-808.9,,1841.5,,,90.8,,,True,,,,,True,,True,True,,False,,,True,,
01017,918,595.0,659.0,,,,,731.0,,201.4,380.2,,500.5,,,,,,-323.0,-259.0,,,,,-187.0,,-716.6,-537.8,,-417.5,,,,,,True,,,,,True,,False,False,,False,,,,,
01019,373,455.0,396.0,,,,,737.0,,378.9,273.6,,521.5,,,,,,82.0,23.0,,,,,364.0,,5.9,-99.4,,148.5,,,,,,True,,,,,False,,True,False,,False,,,,,
01021,767,745.0,278.0,,,,,1174.0,,405.2,477.3,,790.0,,,382.0,,,-22.0,-489.0,,,,,407.0,,-361.8,-289.7,,23.0,,,-385.0,,,False,,,,,False,,False,False,,False,,,False,,
01023,47,100.0,63.0,,,,,378.0,,86.3,74.2,,82.0,,,,,,53.0,16.0,,,,,331.0,,39.3,27.2,,35.0,,,,,,True,,,,,False,,True,True,,True,,,,,
01025,806,705.0,612.0,,,,,631.0,,10844.4,561.6,,919.0,,,332.3,,,-101.0,-194.0,,,,,-175.0,,10038.4,-244.4,,113.0,,,-473.7,,,False,,,,,False,,False,False,,False,,,False,,
01027,247,270.0,237.0,,,,,347.0,,55.3,130.6,,232.0,,,,,,23.0,-10.0,,,,,100.0,,-191.7,-116.4,,-15.0,,,,,,True,,,,,False,,False,False,,True,,,,,
01029,273,325.0,32.0,,,,,421.0,,255.9,152.7,,266.0,,,,,,52.0,-241.0,,,,,148.0,,-17.1,-120.3,,-7.0,,,,,,False,,,,,False,,True,False,,True,,,,,
01031,1452,1345.0,1213.0,,,,,1025.0,,1363.6,735.8,,1511.0,,,1041.6,,,-107.0,-239.0,,,,,-427.0,,-88.4,-716.2,,59.0,,,-410.4,,,False,,,,,False,,True,False,,True,,,False,,
01033,1396,1420.0,912.0,,,,,1751.0,,929.3,785.7,,1337.0,,,1300.1,,,24.0,-484.0,,,,,355.0,,-466.7,-610.3,,-59.0,,,-95.9,,,False,,,,,False,,False,False,,False,,,False,,
01035,175,145.0,255.0,,,,,259.0,,24.6,128.1,,200.0,,,,,,-30.0,80.0,,,,,84.0,,-150.4,-46.9,,25.0,,,,,,False,,,,,False,,False,False,,True,,,,,
01037,180,120.0,124.0,,,,,208.0,,38.5,145.4,,40.0,,,,,,-60.0,-56.0,,,,,28.0,,-141.5,-34.6,,-140.0,,,,,,True,,,,,True,,False,True,,False,,,,,
01039,689,910.0,276.0,,,,,815.0,,586.0,557.6,,894.0,,,513.4,,,221.0,-413.0,,,,,126.0,,-103.0,-131.4,,205.0,,,-175.6,,,False,,,,,True,,True,True,,True,,,True,,
01041,408,290.0,167.0,,,,,269.0,,408.5,158.0,,395.0,,,,,,-118.0,-241.0,,,,,-139.0,,0.5,-250.0,,-13.0,,,,,,False,,,,,False,,True,False,,True,,,,,
01043,2016,3040.0,2251.0,,,,,2950.0,,1437.4,1883.6,,2759.0,,,2330.1,,,1024.0,235.0,,,,,934.0,,-578.6,-132.4,,743.0,,,314.1,,,True,,,,,True,,True,True,,True,,,True,,
